word,count
Състав,261
на,603083
Парламента,10849
вж,2442
протоколи,777
Одобряване,274
протокола,2070
от,165458
предишното,406
заседание,1573
протоколите,122
Проверка,36
пълномощията,51
Внасяне,118
документи,1181
Въпроси,94
с,92668
искане,1022
за,256378
устен,493
отговор,2804
и,328063
писмени,167
декларации,510
внасяне,249
Петиции,57
Предаване,112
текстове,438
споразумения,2644
Съвета,10038
Действия,107
предприети,772
вследствие,708
резолюции,500
Дневен,211
ред,2465
следващото,421
Закриване,203
заседанието,934
Se,26
levanta,13
la,62
sesión,36
a,105
las,48
19,448
45,178
horas,49
Избор,13
заместник,892
председатели,128
Европейския,31745
парламент,11000
срок,950
депозиране,6
кандидатури,24
Die,44
Sitzung,43
wird,43
um,50
12,1160
40,750
Uhr,49
unterbrochen,9
und,11
15,1160
00,456
wiederaufgenommen,2
квестори,4
25,903
18,680
geschlossen,9
Откриване,183
9,862
35,267
eröffnet,25
комисиите,290
предложения,3468
изменения,2002
La,111
seduta,46
sospesa,16
alle,63
è,46
ripresa,15
21,490
23,554
Съобщаване,28
общи,1511
позиции,541
séance,34
suspendue,10
à,55
11h35,1
dans,2
l,16
attente,1
de,401
Heure,5
des,17
votes,10
est,56
reprise,10
midi,1
Анкетна,1
комисия,4676
по,99149
кризата,3679
в,212830
осигурителната,7
компания,84
Equitable,3
Life,3
удължаване,224
мандата,501
Съобщение,31
председателството,1104
1,2743
вот,1304
2,2270
Препоръка,18
José,23
Ribeiro,5
e,120
Castro,36
4,1221
Сертифициране,2
машинисти,7
управляващи,146
локомотиви,10
влакове,85
железопътната,97
система,5463
Общността,2083
6,929
Приложимо,2
право,4284
извъндоговорните,3
задължения,991
Рим,103
II,527
8,1236
Седми,3
Осми,3
годишни,131
доклади,841
относно,20645
износа,358
оръжие,344
Поправки,235
намерения,474
гласуване,2305
делегациите,209
Искане,74
снемане,84
парламентарен,392
имунитет,180
Решения,85
някои,8407
Писмени,724
вписани,80
регистъра,158
член,9090
116,70
правилника,101
приети,1094
настоящото,1206
График,114
следващите,1536
заседания,311
Прекъсване,79
сесията,218
Dichiaro,3
interrotta,2
sessione,3
del,32
Parlamento,5
europeo,3
tolta,21
13,556
защита,5399
Назначения,6
Председателския,130
съвет,2754
Изпращане,42
Кандидатури,2
парламентарните,165
комисии,350
Време,549
24,460
The,72
sitting,40
was,19
opened,6
at,53
09,34
05,112
Предпазване,1
пътниците,1119
разместване,6
багажи,1
Одобрението,24
моторни,55
превозни,614
средства,6151
отношение,16590
предното,3
зрително,1
поле,265
водача,33
моторното,2
превозно,49
средство,817
3,1608
Споразумение,279
научно,229
технологично,184
сътрудничество,6646
между,15204
EО,152
Корея,576
Включването,72
устойчивостта,416
политиките,1221
развитието,3198
5,1696
Проект,59
изменящ,4
бюджет,1975
2007,1401
съюз,29564
финансовата,2684
г,40515
7,955
партньорство,2256
областта,7409
рибарството,1000
Европейската,8601
общност,1921
Република,822
Габон,4
10,1779
Давностни,1
срокове,402
при,13314
трансгранични,259
спорове,455
свързани,4803
телесни,38
повреди,15
злополуки,51
летален,2
изход,258
Отношенията,76
ЕС,24575
тихоокеанските,20
острови,510
Стратегия,138
засилено,288
Препоръките,32
към,28249
Комисията,31631
устав,17
Европейското,255
частно,200
дружество,424
Damit,4
ist,5
die,11
Abstimmungsstunde,5
beendet,3
Поръчение,1
възложено,30
Posiedzenie,37
zostało,37
zamknięte,23
o,49
godz,37
22,373
Разисквания,102
случаи,2603
нарушаване,476
правата,10317
човека,7404
демокрацията,1954
принципа,1871
правовата,1052
държава,7186
обявяване,117
внесените,192
резолюция,3808
Класификация,1
необработен,4
дървен,300
материал,465
Инфраструктура,4
пространствена,3
информация,4633
INSPIRE,2
Тематична,3
стратегия,3659
рециклирането,81
отпадъци,987
Ролята,206
жените,4146
Турция,2289
Ciò,4
conclude,6
il,9
turno,10
di,13
votazioni,8
Das,2
Protokoll,2
der,22
vorangegangenen,1
genehmigt,2
A,96
sessão,7
suspensa,4
às,11
19h05,1
é,6
reiniciada,2
21h00,2
Климатичните,2
промени,2497
внесени,530
PNR,174
SWIFT,134
mezzanotte,1
aperta,10
Макро,1
финансова,3255
помощ,5812
Молдова,635
Определяне,6
технически,752
мерки,8522
опазване,692
популации,13
далекомигриращи,1
видове,1167
риби,33
Плаващи,1
мрежи,819
Трансевропейската,9
транспортна,222
мрежа,872
Eвропейска,3
политика,11399
радиочестотния,137
спектър,293
Nous,3
en,12
avons,2
terminé,2
avec,3
les,5
продължение,1004
L,23
ordre,1
du,18
jour,1
appelle,1
suite,1
14,585
heures,9
следващата,1219
месечна,170
сесия,547
closed,16
Упражняване,2
глас,619
време,12043
общо,1334
събрание,164
страна,10273
акционери,34
дружества,1607
Бюджетна,14
развиващите,1453
се,158887
страни,9106
Прилагането,144
плана,650
действие,2612
борба,2598
нелегалния,24
безотчетен,1
нерегламентиран,6
риболов,637
Стратегии,3
индикативни,10
програми,1959
съответно,382
Малайзия,115
Бразилия,628
Пакистан,777
ЕО,1072
Русия,2769
визите,358
краткосрочно,63
пребиваване,306
реадмисията,19
Реформата,59
общата,2216
организация,1292
пазара,3962
вино,153
Подготвителен,1
доклад,6787
общите,882
насоки,821
икономическа,3067
Годишният,42
ЕИБ,609
2005,521
wieder,10
aufgenommen,10
нарушения,865
разискване,4021
Диалог,5
китайското,104
правителство,2671
представителите,458
Далай,96
Лама,96
Ogłaszam,11
przerwę,2
w,12
sesji,11
Parlamentu,11
Europejskiego,11
16,578
Трансфер,63
бюджетни,785
политическите,1447
групи,2470
Подписване,50
актове,786
процедурата,1235
съвместно,1275
вземане,994
решение,5870
Брой,3
числен,2
състав,178
междупарламентарните,19
делегации,118
годишната,79
Declaro,1
cerrado,1
el,4
periodo,1
sesiones,1
2006,1036
Europeo,1
Ich,5
erkläre,4
Sitzungsperiode,4
2008,2261
Europäischen,2
Parlaments,2
für,4
Финансиране,11
интервенции,82
ФЕОГА,1
Дерогация,3
Регламент,641
2597,1
97,50
млякото,199
пиене,10
произведено,89
Естония,265
дисциплина,299
Пруденциална,1
оценка,2475
придобиванията,6
увеличенията,15
дяловото,12
участие,1944
във,12894
финансовия,695
сектор,4171
Корпоративна,4
социална,1752
отговорност,4260
Управление,20
авторско,39
сродните,6
му,5314
права,5355
законни,133
онлайн,373
музикални,17
услуги,3377
737,1
terminée,1
συνεδρίαση,22
διακόπτεται,1
στις,24
11,837
20,2888
μ,32
броя,844
числения,2
Търговията,58
месо,468
едър,22
рогат,34
добитък,72
Ратифициране,4
Конвенцията,633
МОТ,244
работата,3218
море,1320
Социални,4
общ,1376
интерес,2343
Сключването,38
споразумение,5794
въздушен,189
транспорт,2420
нейните,771
държави,18160
членки,21974
една,9695
Съединените,1243
американски,636
щати,1281
друга,3024
suspendida,11
se,19
reanuda,12
предложение,4269
Хепатит,1
C,96
писмена,2726
декларация,585
предоставянето,860
здравни,735
Босна,475
Херцеговина,387
Преговори,8
сключване,279
асоцииране,453
неговите,1295
страните,2062
Централна,550
Америка,638
Регионална,21
островите,75
природните,375
икономически,4204
ограничения,1047
местните,1149
власти,193
развитиe,1
55,164
Камбоджа,45
Нигерия,143
Атаката,2
срещу,7459
Галина,1
Козлова,1
административния,56
организацията,280
Mari,1
Uchem,1
главен,94
редактор,6
литературното,3
списание,19
Ontšõko,1
close,1
cierra,3
Увеличаване,4
капитала,277
инвестиционен,50
фонд,3050
имунитета,99
привилегиите,52
Giuseppe,4
Gargani,5
Изисквания,10
държавата,1821
флага,43
Гражданска,18
финансови,2389
гаранции,765
корабособствениците,25
Сигурност,14
футболни,3
мачове,5
Бъдещето,85
Косово,739
Бъдеще,7
собствените,1043
ресурси,3004
Насоки,17
бюджетна,359
процедура,1605
професионалния,187
футбол,33
Европа,21289
Интеграцията,22
новите,2517
ОСП,1029
votaciones,2
Декларация,27
интереси,1622
правителството,1551
аспекти,1537
въздушните,81
Relazione,47
Costa,53
Тарифни,2
