letter,count
í,2462
á,4487
ó,2220
ä,1902
º,63
é,7736
ü,2586
ï,469
ö,5491
ø,306
ã,376
ô,539
è,1616
ê,508
Ü,20
Á,316
à,1148
ò,338
û,26
Ö,394
â,99
ç,665
ú,842
ñ,496
¾,3
æ,267
É,103
î,17
µ,14
Å,250
ß,349
å,79
½,18
Ø,22
Ê,8
Ì,20
Í,58
Ô,38
Ï,37
ù,11
¼,1
Ù,1
Ñ,2
ì,23
²,10
ë,111
Ý,2
À,1
Â,18
_,44
õ,14
þ,1
ý,78
ð,1
Ó,88
Α,162
Ν,107
Τ,155
Ο,99
Ε,338
Ι,81
Κ,11
ă,354
ο,15
ć,226
š,485
č,687
ş,299
ί,4
Μ,48
ő,167
Š,542
ė,185
ł,241
Č,42
Ž,43
Ż,3
ń,368
ę,92
Ρ,11
ś,61
Є,1
в,8
р,10
о,14
п,3
е,15
й,4
с,8
ъ,2
к,6
и,8
а,21
л,5
м,4
н,9
т,11
і,3
є,1
д,5
ю,1
У,1
ї,1
Ś,15
ğ,80
Ç,65
ľ,89
ř,47
ā,2
Ő,81
ň,78
ž,85
¹,3
ū,54
ī,49
Ľ,3
ů,3
ź,18
ť,8
œ,10
ą,13
ě,10
Î,2
Ş,13
ų,2
δ,4
ε,7
ή,4
χ,5
ρ,11
η,2
μ,3
ά,4
τ,7
ω,1
ν,5
İ,1
ķ,6
Β,11
Н,2
з,4
я,3
г,2
ı,11
β,6
ǔ,1
б,2
ţ,53
Д,1
ш,4
Ţ,113
Đ,13
А,1
М,2
ż,10
Ģ,2
ǎ,10
Ł,12
Ř,2
³,1
Ú,3
ē,2
ĉ,1
ǐ,4
υ,2
α,8
ι,6
σ,2
ώ,2
κ,4
ύ,1
Π,1
ό,2
đ,3
ď,2
έ,5
φ,1
λ,3
ς,2
ņ,3
ŵ,1
О,1
ч,3
у,2
ж,1
П,1
Т,1
ы,1
ь,2
Ć,1
ʻ,2
ș,2
Ð,1
ō,1
γ,1
Υ,3
π,6
ʼ,179
Ä,1
