letter,count
ó,2364528
í,1320045
ñ,522260
á,1035194
é,612799
ú,289012
ä,1771
É,8622
ü,7562
º,8711
Ú,1314
ö,5206
ø,296
ô,196
ç,536
ê,355
Á,7933
ã,348
ª,416
è,1347
ò,299
û,33
ë,102
à,426
Ê,8
Í,264
Ö,200
Ç,101
Å,75
Ó,330
µ,15
æ,211
³,14
ï,256
ß,339
å,66
_,38
Ø,17
ð,1
ý,82
â,75
Ý,3
ù,6
Æ,2
Ü,21
Ï,4
²,14
Ñ,3
Ô,1
Ä,4
Ì,11
À,1
ì,31
î,37
Â,3
È,1
½,4
õ,12
Α,35
σ,40
ϊ,2
ă,281
Η,1
Ρ,4
ν,17
Ε,9
ł,192
Ι,20
Ν,8
ć,162
ο,28
š,382
č,580
ź,15
Ο,6
Μ,9
Š,513
ė,135
Č,40
Ž,24
ń,305
ķ,9
ś,52
ę,76
Є,1
в,8
р,10
о,14
п,3
е,15
й,4
с,8
ъ,2
к,6
и,8
а,21
л,5
м,4
н,9
т,11
і,3
є,1
д,5
ю,1
У,1
ї,1
α,29
Œ,3
ĺ,1
ľ,55
Κ,10
ő,148
Ś,10
ā,2
į,2
ř,41
ι,17
ρ,26
Ő,80
ň,69
ž,72
ū,41
ż,44
Ľ,2
ů,1
ī,24
Ÿ,1
ť,9
Õ,1
ě,10
ş,266
Î,2
Ş,12
δ,10
ε,14
ί,12
ή,10
χ,6
η,24
μ,11
ά,5
τ,26
ω,3
İ,1
ğ,61
ų,1
œ,3
Н,2
з,4
я,3
г,2
ı,9
ǔ,1
б,2
ţ,23
Д,1
ш,4
Β,8
þ,2
¹,1
Ţ,105
¾,4
Đ,11
π,13
ό,8
ψ,5
φ,7
ς,13
ώ,3
ύ,4
κ,6
υ,11
β,13
λ,6
γ,1
А,1
М,2
Ż,1
Ģ,3
ą,8
ǎ,9
Þ,3
¼,1
Ł,8
Ř,2
ē,2
ĉ,1
ǐ,2
Π,2
đ,2
ď,2
έ,5
ņ,3
Τ,1
ŵ,1
ζ,1
ξ,1
О,1
ч,3
у,2
ж,1
П,1
Т,1
ы,1
ь,2
Ć,1
ș,1
Ð,1
ō,1
Υ,3
ʼ,10
ˇ,16
