word,count
Reanudación,225
del,647907
período,11606
de,3844857
sesiones,4320
Declaro,571
reanudado,345
el,1375508
Parlamento,136938
Europeo,79876
interrumpido,698
viernes,1380
17,3698
diciembre,7238
pasado,20232
y,1423324
reitero,308
a,1214092
Sus,3614
Señorías,31457
mi,69306
deseo,11871
que,2051997
hayan,8182
tenido,13264
unas,16550
buenas,5073
vacaciones,792
Como,21594
todos,85587
han,117898
podido,6881
comprobar,3181
gran,43453
efecto,15094
año,38039
2000,11824
no,463276
se,599276
ha,256257
producido,4462
En,151509
cambio,20038
los,1122279
ciudadanos,50939
varios,8871
nuestros,36351
países,98632
sido,46629
víctimas,8782
catástrofes,2552
naturales,3810
verdaderamente,3406
terribles,949
solicitado,2313
un,525228
debate,55192
sobre,242086
tema,24531
para,494583
próximos,6248
días,8770
en,1531406
curso,4136
este,231962
A,28420
la,2495865
espera,4790
produzca,1798
acuerdo,62629
con,443114
muchos,26998
colegas,15671
me,76367
lo,251531
pedido,3598
pido,5426
hagamos,1605
minuto,1778
silencio,1340
memoria,954
todas,35339
las,769056
tormentas,158
distintos,6530
Unión,151380
Europea,134319
afectados,4355
Invito,188
nos,80690
pongamos,474
pie,2236
guardar,285
El,132503
guarda,643
Señora,27557
Presidenta,29370
una,516713
cuestión,53464
procedimiento,16970
Sabrá,13
usted,27948
por,469259
prensa,4066
televisión,2498
serie,12038
explosiones,78
asesinatos,865
Sri,656
Lanka,652
Una,13304
personas,42734
recientemente,4705
asesinado,370
al,302142
Sr,52549
Kumar,1
Ponnambalam,1
quien,7436
hace,36253
pocos,3574
meses,12321
visitó,291
Sería,2902
apropiado,1886
escribiese,7
carta,3146
Presidente,134260
expresando,641
condolencias,359
esa,24230
otras,26544
muertes,1095
violentas,271
pidiéndole,59
haga,6846
todo,82148
posible,37295
encontrar,9444
reconciliación,1322
pacífica,1821
ante,25480
extremadamente,3501
difícil,12596
situación,49480
está,81764
viviendo,888
su,216692
país,44501
Sí,1983
señor,72434
Evans,481
pienso,4081
iniciativa,16108
como,225841
acaba,6085
sugerir,613
sería,17743
muy,88214
adecuada,6549
Si,30370
Asamblea,12827
haré,807
Me,28140
gustaría,25507
asesorara,3
Artículo,544
143,113
concerniente,451
inadmisibilidad,59
Mi,7397
pregunta,18290
refiere,14605
asunto,19037
hablará,198
jueves,2361
día,24683
volveré,381
plantearla,32
informe,111630
Cunha,314
programas,15932
dirección,7851
plurianual,1165
presenta,4029
contiene,4168
propuesta,60295
apartado,8362
6,5998
torno,5019
forma,49146
penalizaciones,119
basada,4240
cuotas,3430
debe,71016
aplicarse,2660
cumplan,2245
anualmente,519
sus,108775
objetivos,24921
reducción,10895
flota,1833
estipula,651
pesar,16515
principio,24272
estabilidad,9919
relativa,11180
Creo,24734
es,426688
legal,4660
fundamental,14638
políticas,29017
pesqueras,1104
comunitarias,5468
subvierta,2
legalmente,1149
inadmisible,988
Quiero,12341
saber,11263
si,90509
puede,66412
hacer,57914
tipo,22171
objeción,688
sólo,38288
legislativa,3521
algo,26631
puedo,12773
plantear,3920
Su,6033
Señoría,4468
así,47135
desea,4659
podrá,6151
esta,161061
ese,30517
momento,30314
decir,50159
antes,29677
presente,14266
coincidiendo,92
primer,32812
parcial,2864
lamentablemente,2867
Estados,128159
Unidos,19598
Texas,44
fijado,1693
próximo,8133
ejecución,6330
condenado,960
pena,5819
capital,5739
joven,1277
34,837
años,48378
llamaremos,23
nombre,29611
Hicks,1
petición,5607
diputado,4520
francés,2693
Zimeray,19
presentado,11778
