letter,count
ä,12826576
ö,1566573
í,2480
á,4588
ó,2362
Ä,19493
º,73
é,7183
ø,309
ã,436
ô,84
è,1431
Ö,818
ç,608
ê,356
Ü,17
ü,2886
Á,312
²,7
ò,327
û,24
ë,81
à,433
ñ,502
ž,2050
ú,893
æ,582
É,81
µ,14
³,8
ì,20
ï,274
ß,374
å,61
Å,330
À,4
ù,12
Ì,4
Ï,10
¼,1
Í,59
Þ,3
î,20
È,6
Ø,1
â,80
_,30
Ê,6
Ñ,1
Â,78
ý,91
Ý,1
ð,3
Ó,84
½,7
Ç,9
õ,19
š,6345
Α,45
Ε,35
ă,327
Ι,30
Ν,20
ć,209
ο,13
č,644
ί,10
Š,568
Ο,7
Μ,8
ł,312
ő,171
ė,218
ś,40
ż,47
Č,39
ń,321
Ž,49
Ż,3
ę,83
Ρ,8
Ś,11
ľ,57
ļ,1
Τ,4
ř,57
ā,5
ň,72
¹,4
ū,54
ī,51
Ő,68
ů,2
ź,19
Ģ,8
ą,14
ě,10
Î,3
ť,6
Ş,13
ţ,47
ş,298
ų,3
δ,9
ε,16
ή,6
χ,7
ρ,20
η,10
μ,6
ά,4
τ,13
ω,1
ν,9
İ,1
ğ,42
ķ,7
Β,10
Н,2
е,12
з,4
а,15
в,5
и,7
с,7
м,2
я,3
г,2
т,8
ı,10
β,25
ǔ,1
д,4
о,12
б,2
ъ,1
р,6
н,7
Д,1
ш,4
л,4
Κ,4
þ,3
Ţ,108
Đ,11
Ð,2
ǎ,10
Œ,3
σ,16
υ,6
α,14
ζ,2
ι,14
ς,9
π,7
Ł,12
Õ,2
ĳ,3
Ř,2
ē,2
œ,5
Ľ,1
ĉ,1
ώ,2
κ,5
ύ,2
Π,2
ό,3
đ,2
ď,2
έ,5
φ,1
λ,5
ņ,3
ŵ,1
γ,2
ξ,1
О,1
ч,3
п,1
к,3
у,2
ж,1
й,2
П,1
Т,1
ы,1
ь,2
Ć,1
ș,1
ō,1
Υ,3
ʼ,2
¾,1
Ô,1
ċ,2
ŝ,1
Ú,1
