letter,count
é,7210720
à,1289299
è,998549
ê,439158
À,28929
É,172844
ç,67267
î,54577
â,42220
í,2315
á,4075
ó,2145
û,53641
ù,47948
ä,1920
ô,121487
º,1639
ï,12093
ö,6094
ø,308
ã,402
ë,7292
ü,2497
Á,314
Ç,211
Â,97
ò,317
Ê,344
Î,215
ñ,508
Ö,395
ú,618
æ,346
²,43
µ,20
³,18
Å,214
ß,354
å,65
Ü,17
Ù,1
Ë,2
Í,32
ì,35
½,4
Æ,2
Ø,29
È,58
þ,5
_,138
Ï,1
Ì,6
õ,15
ý,67
Ý,1
ð,3
Ó,84
Ô,10
œ,28524
Α,60
Œ,22
ă,296
Ι,22
Ν,16
Τ,2
š,403
č,588
ş,262
ί,9
Ο,7
Μ,18
Β,10
ő,125
ń,334
Š,506
ė,170
ł,228
Č,42
Ž,45
Ż,3
Κ,4
ę,77
Ρ,8
ś,58
ć,169
Є,1
в,8
р,10
о,14
п,3
е,15
й,4
с,8
ъ,2
к,6
и,8
а,21
л,5
м,4
н,9
т,11
і,3
є,1
д,5
ю,1
У,1
ї,1
ŕ,5
ů,1
Ś,13
ą,18
ź,20
ļ,1
ο,14
β,8
ā,2
ř,46
Ő,87
ň,73
ž,63
ū,47
ī,49
ğ,73
Ε,19
ľ,52
ť,8
ě,10
ǔ,10
Ş,11
ţ,41
Υ,4
ų,2
İ,1
ķ,7
Н,2
з,4
я,3
г,2
ı,11
б,2
Д,1
ш,4
¹,2
Ţ,99
Đ,12
Þ,1
А,1
М,2
ż,24
Ú,2
Ģ,3
ǎ,10
Ł,12
Ľ,2
Ř,2
σ,16
υ,6
ν,9
ε,16
δ,7
ρ,19
α,15
η,11
λ,6
ή,6
γ,3
ι,14
τ,14
ς,9
μ,6
ĉ,1
ǐ,5
χ,5
ώ,2
κ,5
ύ,2
Π,2
ό,4
đ,2
ď,2
έ,5
φ,3
ᵉ,28
ņ,3
ᵐ,25
ŵ,1
ζ,1
ά,4
π,7
ψ,1
ξ,1
ș,1
О,1
ч,3
у,2
ж,1
П,1
Т,1
ы,1
ь,2
Ć,1
ē,1
¾,1
Ð,1
ō,1
ʼ,1872
Ä,1
ˆ,1
