letter,count
ł,926063
ó,739861
ś,539813
ę,830946
ń,198407
ą,877143
á,1623
í,462
č,438
ż,749067
ć,428889
à,138
é,1391
è,531
Ś,7995
ź,35598
Ώ,4
ρ,41
α,34
τ,31
ω,8
ν,27
ψ,3
η,31
φ,9
ο,35
ι,36
ώ,6
έ,9
λ,14
ξ,5
ε,33
ã,103
ò,18
ö,1111
Ż,2433
Κ,7
ύ,6
σ,43
δ,19
κ,10
π,15
ή,10
ς,17
υ,25
ό,8
Ε,16
ϊ,2
β,9
ί,20
γ,5
μ,16
ü,706
χ,9
ζ,5
ř,40
š,277
ů,1
ä,408
Ψ,1
õ,2
ê,121
Ö,38
ß,145
Ł,1774
Å,8
ş,202
ţ,18
ă,267
Š,355
ø,120
Á,46
ç,189
Ó,61
_,60
Ź,61
ý,43
¹,1
ň,64
î,5
ú,370
Ţ,107
Č,38
â,74
ë,10
ľ,24
Ι,23
Ν,15
ï,34
²,7
ė,103
ž,41
ğ,58
Đ,12
Α,38
ñ,88
Ć,7
Β,7
É,19
ū,49
Ő,21
Ş,11
ť,5
Ο,13
å,2
ı,6
Í,13
Ç,3
û,6
Ž,15
º,14
Ģ,2
ī,16
œ,3
ǎ,8
Τ,10
Ľ,2
ő,120
ě,7
ű,1
Ü,6
Ρ,1
Ą,1
Ř,2
³,1
ô,7
ē,2
⅔,2
Μ,10
ĉ,1
ǐ,4
ù,1
ˇ,1
æ,6
ķ,3
Π,2
đ,2
¾,1
ď,2
ņ,3
¼,2
ŵ,1
ì,1
О,1
т,7
е,8
ч,3
с,6
в,4
о,9
п,1
а,11
н,6
и,4
Н,1
ш,3
к,3
у,2
ж,1
й,2
з,2
м,1
л,3
П,1
р,4
я,2
г,1
д,1
Т,1
ы,1
ь,2
ā,1
Ð,1
ō,1
⅓,1
Ę,1
Υ,3
ά,3
