word,count
Reinício,229
da,910414
sessão,10184
Declaro,388
reaberta,295
a,2182064
do,781512
Parlamento,139944
Europeu,83889
que,1813602
tinha,7877
sido,30397
interrompida,586
na,328438
sexta,1341
feira,7051
17,3133
de,2576869
Dezembro,7260
último,17900
e,1445841
renovo,21
todos,93208
os,588965
meus,12845
votos,4380
esperando,514
tenham,9979
tido,3586
boas,6615
férias,889
Como,21916
puderam,709
constatar,2998
o,1206712
grande,42024
bug,21
ano,33043
2000,11902
não,459958
aconteceu,4868
Em,56307
contrapartida,2116
cidadãos,49511
alguns,33282
dos,436633
nossos,37481
países,99598
foram,38119
vítimas,9364
catástrofes,3055
naturais,3771
verdadeiramente,6519
terríveis,947
Os,44448
senhores,11582
manifestaram,941
desejo,8987
se,505933
proceder,6786
um,497959
debate,49367
sobre,183370
assunto,16718
nos,182278
próximos,7390
dias,9018
durante,23844
este,118259
período,18584
sessões,3215
Entretanto,2156
gostaria,51061
como,248858
também,165312
me,84848
foi,88791
pedido,10426
por,295534
certo,12410
número,23304
colegas,26291
observássemos,8
minuto,1690
silêncio,1392
todas,36974
as,443488
nomeadamente,20704
das,275187
tempestades,194
diferentes,19075
União,150930
Europeia,137106
afectados,2996
Convido,436
levantarem,85
para,578739
O,154006
pé,1729
guarda,792
Senhora,46004
Presidente,172183
intervenho,682
ponto,37697
ordem,20445
Certamente,613
já,79583
tomou,2413
conhecimento,9408
pelas,18054
notícias,1696
transmitidas,384
imprensa,3882
televisão,2356
diversos,5670
atentados,1347
à,316129
bomba,386
assassínios,379
perpetrados,387
no,398531
Sri,597
Lanka,575
Uma,15120
pessoas,49278
recentemente,6790
assassinadas,192
senhor,78622
Kumar,1
Ponnambalam,1
ainda,69313
há,64316
poucos,2894
meses,12386
visitara,1
Será,6568
senhora,32700
poderia,10164
enviar,2978
uma,526433
carta,3580
manifestando,324
pesar,836
esta,110553
outras,27672
mortes,1248
violentas,241
perpetradas,144
seu,84765
país,45752
instando,164
envidar,1429
esforços,19305
ao,269770
alcance,3996
procurar,5345
obter,7942
reconciliação,1287
pacífica,1963
situação,55467
extremamente,14739
difícil,13020
ali,1999
vive,1860
Sim,1607
Senhor,159985
Deputado,8796
Evans,474
penso,16759
iniciativa,16403
sentido,40251
acaba,3771
sugerir,1019
seria,19649
perfeitamente,5481
adequada,6366
Se,27931
assembleia,9120
estiver,2561
acordo,55963
farei,525
sugeriu,448
deputado,64448
Nos,4483
termos,33587
artigo,18964
143º,39
Regimento,6012
desse,11575
parecer,9033
em,651499
relação,29564
inadmissibilidade,43
proposta,66341
A,194707
questão,76535
pretendo,1313
focar,683
incide,761
relatório,111771
será,37851
aqui,41437
tratado,2970
quinta,2460
ocasião,5941
tenciono,477
levantá,23
