word,count
Componenţa,233
Parlamentului,8405
a,241343
se,54238
vedea,2353
procesul,5073
verbal,2772
Aprobarea,329
procesului,1570
al,35937
şedinţei,632
precedente,203
Verificarea,44
prerogativelor,50
Depunere,6
de,447894
documente,586
Declaraţii,490
scrise,955
şi,196516
întrebări,1278
orale,201
depunere,141
consultaţi,919
Petiţii,50
Transmiterea,161
către,10553
Consiliu,2126
textelor,254
acordurilor,706
Cursul,11
dat,1698
rezoluţiilor,106
Ordinea,280
zi,2963
următoarei,342
şedinţe,400
Ridicarea,214
Se,1477
levanta,13
la,129338
sesión,36
las,66
19,443
45,176
horas,49
Alegerea,52
vicepreşedinţilor,6
European,14191
termenul,275
candidaturilor,10
Die,42
Sitzung,41
wird,41
um,46
12,1154
40,756
Uhr,45
unterbrochen,7
und,9
15,1165
00,396
wiederaufgenommen,2
chestorilor,5
25,879
18,700
geschlossen,9
Deschiderea,234
9,877
35,268
eröffnet,25
Depunerea,209
documentelor,363
comisiilor,294
amendamentelor,276
La,2501
seduta,45
sospesa,15
alle,61
è,46
ripresa,15
21,469
23,542
Comunicarea,173
poziţiilor,82
comune,3840
ale,24582
séance,35
suspendue,10
à,62
11h35,1
dans,6
l,4699
attente,1
Heure,5
des,375
votes,10
est,459
reprise,10
midi,1
Comisia,15233
anchetă,233
privind,27408
criza,2917
societăţii,837
asigurări,462
Equitable,2
Life,5
prelungirea,169
mandatului,559
Preşedintelui,158
1,2733
vot,2268
2,2232
Modificarea,86
Acordului,468
parteneriat,1493
ACP,600
CE,1288
Acordul,1273
Cotonou,153
4,1238
Certificarea,2
mecanicilor,7
locomotivă,19
care,134282
conduc,185
locomotive,7
trenuri,31
în,307816
sistemul,2101
feroviar,358
comunitar,1220
6,937
Legea,103
aplicabilă,96
obligaţiilor,152
necontractuale,11
Roma,168
II,601
8,1140
Al,764
şaptelea,141
optulea,69
raport,9364
anual,800
exportul,109
armament,35
Corectările,215
voturilor,301
intenţiile,264
delegaţiilor,165
Cerere,68
ridicare,83
imunităţii,73
parlamentare,671
Decizii,78
anumite,3077
înscrise,106
registru,291
articolul,2382
116,70
din,88388
Regulamentul,2096
procedură,2332
adoptate,1452
cursul,770
prezentei,205
Calendarul,124
următoarelor,225
Întreruperea,74
sesiunii,209
Dichiaro,3
interrotta,2
sessione,3
del,37
Parlamento,5
europeo,3
tolta,21
13,805
apărare,753
Numiri,8
comisii,308
propunerea,3638
Conferinţei,146
preşedinţilor,160
Continuări,75
comisiile,145
Timpul,160
afectat,649
votului,758
24,467
The,81
sitting,35
was,16
opened,6
at,53
09,22
05,110
Protecţia,165
pasagerilor,692
împotriva,9157
deplasării,19
bagajelor,28
Omologarea,3
vehiculelor,189
cu,92782
motor,86
privire,10628
câmpul,54
vizibilitate,64
înainte,3833
conducătorului,9
auto,339
3,1585
Coreea,510
cooperare,2957
ştiinţifică,214
tehnologică,256
Integrarea,67
durabilităţii,73
politicile,1554
pentru,132657
dezvoltare,6483
5,1696
Proiect,37
buget,1524
rectificativ,140
nr,874
2007,1405
7,940
domeniul,6929
pescuitului,1556
între,9415
Comunitatea,511
Europeană,16447
Republica,1320
Gaboneză,1
10,1737
Termenele,7
prescripţie,3
aplicabile,287
cadrul,12404
litigiilor,175
transfrontaliere,747
vătămările,6
corporale,100
accidentele,84
mortale,28
Relaţiile,65
UE,28281
insulele,73
Pacific,190
Strategie,59
un,72434
consolidat,383
Statutul,110
private,844
europene,10626
Damit,4
ist,10
die,13
Abstimmungsstunde,5
beendet,3
Misiune,1
încredinţată,11
unui,11532
deputat,828
avizelor,55
Posiedzenie,37
zostało,37
zamknięte,23
o,107715
godz,37
22,367
Dezbateri,93
asupra,13871
cazurilor,281
încălcare,635
drepturilor,6568
omului,6886
democraţiei,762
statului,1407
drept,4313
anunţarea,67
propunerilor,418
rezoluţie,1964
depuse,931
Abrogarea,17
Directivei,792
68,36
89,35
CEE,174
clasificarea,33
lemnului,108
stare,298
brută,22
Infrastructura,23
informaţii,1920
spaţiale,11
Comunitate,117
INSPIRE,2
O,2665
strategie,1987
tematică,22
reciclarea,75
deşeurilor,184
Rolul,248
femeii,284
viaţa,804
socială,3454
economică,7483
politică,6830
Turcia,1454
Ciò,4
conclude,7
il,9
turno,11
di,22
votazioni,8
Das,2
Protokoll,2
der,21
vorangegangenen,1
genehmigt,2
A,2094
sessão,7
suspensa,4
às,11
19h05,1
é,6
reiniciada,2
21h00,2
Schimbări,4
climatice,3376
propuneri,2948
PNR,179
SWIFT,237
mezzanotte,1
aperta,10
Sprijin,480
macrofinanciar,8
acordat,1555
Moldovei,107
Măsuri,91
tehnice,849
conservare,101
anumitor,849
stocuri,65
peşti,38
mari,3313
migratori,5
Setci,1
derivă,67
Raport,37
special,10560
2005,523
Curţii,742
Conturi,932
reţeaua,163
transeuropeană,19
transport,1880
Politica,694
europeană,6278
spectrului,122
frecvenţe,17
radio,192
Nous,3
en,32
avons,2
terminé,2
avec,4
les,4
continuare,2539
L,118
ordre,1
du,25
jour,1
appelle,1
suite,2
14,620
heures,9
perioade,474
sesiune,444
closed,15
Exercitarea,7
acţionarilor,31
Ajutor,15
bugetar,733
ţărilor,1433
curs,2521
Plan,53
acţiune,1990
ilegal,607
nedeclarat,63
nereglementat,86
Documente,2
naţionale,2919
programe,1059
indicative,11
Malaysia,100
Brazilia,516
Pakistan,448
Acord,170
Rusia,2393
facilitarea,422
eliberării,113
vizelor,877
scurtă,367
şedere,308
readmitere,25
Reforma,76
organizării,98
pieţei,1778
vitivinicole,16
Orientări,15
generale,802
politicii,4369
economice,6561
BEI,668
wieder,8
aufgenommen,8
Dezbatere,12
cazuri,1568
dezbatere,3504
Dialog,10
guvernul,2029
chinez,143
trimişii,3
lui,2161
Dalaï,1
Lama,97
Ogłaszam,11
przerwę,2
w,12
sesji,11
Parlamentu,11
Europejskiego,11
16,565
Transferuri,63
credite,445
grupurilor,737
politice,4471
Semnarea,74
actelor,288
prin,20591
procedura,1089
codecizie,348
Numărul,178
componenţa,51
numerică,12
interparlamentare,33
Încheierea,68
anuale,446
Declaro,1
cerrado,1
el,951
periodo,1
sesiones,1
2006,1036
Europeo,1
Ich,5
erkläre,4
Sitzungsperiode,4
2008,2241
Europäischen,2
Parlaments,2
für,4
Finanţarea,55
intervenţiilor,51
FEOGA,1
Garantare,2
Derogare,1
259,2
97,40
ceea,19569
ce,37319
priveşte,7342
laptele,81
consum,309
produs,738
Estonia,149
Regulamentului,693
2040,4
2000,378
Consiliului,7803
disciplina,126
bugetară,724
Evaluarea,95
prudenţială,10
achiziţiilor,79
majorărilor,2
participaţii,3
deţinute,85
entităţi,73
sectorul,3581
financiar,3393
Responsabilitatea,85
corporativă,25
nou,4858
Gestiunea,6
colectivă,205
transfrontalieră,375
autor,504
conexe,94
serviciile,1822
muzică,22
on,89
line,64
legale,596
737,1
terminée,1
συνεδρίαση,22
διακόπτεται,1
στις,23
11,834
20,2061
μ,32
membri,1022
Comercializarea,18
cărnii,130
provenind,169
bovine,29
vârstă,739
douăsprezece,35
luni,2442
sau,18095
mai,73944
puţin,3033
Ratificarea,19
Convenţiei,229
consolidate,348
munca,1627
maritimă,310
OIM,251
Servicii,10
sociale,4762
interes,1155
general,2730
Uniunea,13554
transportul,1158
aerian,734
statele,12078
sale,4919
membre,21556
pe,67904
parte,8668
Statele,2389
Unite,3318
Americii,480
altă,3168
suspendida,11
reanuda,12
Numirea,58
delegaţiile,43
Hepatita,1
C,151
declaraţie,506
scrisă,206
Acţiunea,35
Comunităţii,380
prestaţiile,10
asistenţă,1339
medicală,736
Bosnia,369
Herţegovina,248
Negocierea,11
acord,11790
asociere,571
America,636
Centrală,703
Constrângerile,5
insulare,40
naturale,1318
contextul,2043
regionale,1423
Autorităţile,125
locale,1515
cooperarea,2523
55,160
Cambodgia,66
Nigeria,123
Atac,3
Galinei,1
Kozlova,1
membru,3956
consiliului,74
administraţie,143
Organizaţiei,435
Mari,5
Uchem,1
redactor,2
şef,87
revistei,3
literare,12
Ontšõko,1
close,1
cierra,4
Participarea,72
creşterea,1814
capitalului,234
Fondului,1083
Investiţii,281
Cererea,91
Giuseppe,5
Gargani,5
Respectarea,61
statelor,6368
pavilion,41
Răspundere,1
civilă,939
garanţii,337
financiare,5803
armatorilor,7
Siguranţa,112
meciurile,2
fotbal,57
Viitorul,125
Kosovo,848
rolul,2449
resurselor,1613
proprii,624
Uniunii,12594
Europene,12424
bugetare,1337
fotbalului,13
profesionist,69
Europa,13744
noilor,785
state,6432
PAC,865
votaciones,3
Declaraţie,23
interese,708
Malaezia,6
aspecte,3242
serviciilor,1587
aeriene,811
Relazione,46
Costa,63
Contingente,2
tarifare,144
importurile,302
Bulgaria,747
România,1067
zahăr,54
trestie,4
Graefe,19
zu,20
Baringdorf,22
Vural,1
Öger,2
Speroni,23
Descărcarea,170
gestiune,1341
Secţiunea,51
IV,47
Curtea,1224
Justiţie,394
Caspary,48
V,239
VI,31
Comitetul,273
Economic,199
Social,246
VIII,22
Ombudsmanul,211
VIIIB,1
Autoritatea,264
Datelor,74
şaselea,35
nouălea,30
Fond,138
Dezvoltare,404
FED,81
Camre,1
Centrul,152
Dezvoltarea,250
Formării,26
Profesionale,26
Herczog,55
Fundaţia,28
Îmbunătăţirea,49
Condiţiilor,10
Viaţă,10
Muncă,68
Observatorul,54
Fenomenelor,1
Rasiste,1
Xenofobe,1
Droguri,66
Toxicomanie,63
Agenţia,242
Mediu,75
Securitate,416
Sănătate,50
17,564
Traduceri,20
Organismele,28
Medicamente,74
Eurojust,111
Formare,34
Profesională,3
Maritimă,72
Aeriană,3
Alimentară,76
Prevenirea,62
Controlul,102
Bolilor,41
Securitatea,140
Reţelelor,11
Informatice,24
AESRID,1
33,111
VII,18
Regiunilor,97
34,132
Reconstrucţie,31
Combaterea,97
HIV,148
SIDA,169
ţările,4022
vecine,329
2009,3632
Andrejevs,1
Întrebare,7
prealabilă,311
homofobia,19
19h35,1
ouverte,4
9h00,1
datelor,1431
referitoare,5182
conturile,257
Rapport,96
García,53
Margallo,12
y,14
Marfil,9
Certains,1
députés,1
continuent,1
protester,1
et,11
demander,1
parole,2
multilateral,133
stabilirea,1161
spaţiu,320
comun,2322
european,9485
ECAA,1
Lichtenberger,36
Après,1
le,17660
vote,59
tumulte,1
s,14027
amplifie,1
cadru,2977
program,1581
mediu,3267
nuclear,304
Federaţia,85
Rusă,91
Protocolul,176
acţiunile,745
justiţie,642
procedurile,987
judiciare,294
acordarea,893
despăgubiri,139
Remek,9
gestionarea,1157
riscurilor,363
inundaţii,72
Recommandation,4
Seeber,14
port,88
reformulare,5
Vlasto,11
Organizaţiile,29
inspecţie,50
control,1855
navelor,232
Grandes,12
Pascual,12
Comisie,3538
temporară,249
schimbările,2045
Proposition,10
décision,1
Acţiuni,12
cazul,5474
încălcării,141
normelor,800
comunitare,901
practicile,378
anticoncurenţiale,18
abuzul,104
poziţie,963
dominantă,61
Sánchez,40
Presedo,14
résolution,10
utilizarea,2390
durabilă,1656
Liotard,31
Corectări,2
şedinţele,29
levée,21
23h25,1
Simplificare,1
raţionalizare,9
rapoartelor,206
punerea,2865
aplicare,8086
directivelor,168
protecţia,2079
sănătăţii,722
securităţii,869
muncă,10239
Bericht,54
Figueiredo,32
Compensare,1
costurilor,787
suplimentare,1566
suportate,146
comercializarea,179
produse,2546
pescăreşti,60
Azore,115
Madeira,249
Insulele,151
Canare,60
departamentele,32
franceze,206
Guiana,3
Réunion,15
perioada,1645
2013,1293
Freitas,1
Deciziei,37
2004,547
585,1
instituire,183
consiliilor,28
consultative,33
Attwooll,3
0078,1
Situaţia,450
femeilor,2364
handicap,547
Herranz,5
Informaţii,90
bază,2731
parităţile,1
puterii,320
cumpărare,91
Bowles,48
Echipe,1
intervenţie,322
rapidă,1040
frontieră,350
Deprez,27
Conservarea,30
exploatarea,473
piscicole,100
Gklavakis,1
Galileo,126
Entschließungsantrag,14
Finanţele,5
publice,4106
UEM,61
Lauk,1
Represiune,1
recentă,307
manifestărilor,7
Joint,6
motion,7
for,64
resolution,12
Răpirea,4
jurnalistului,18
Alan,4
Johnston,1
Gaza,586
Filipine,67
Zimbabwe,232
For,26
the,211
results,25
and,66
other,25
details,25
see,25
Minutes,19
I,324
declare,103
adjourned,6
session,18
of,46
Parliament,6
comisiei,521
temporare,210
termen,3531
Consolidarea,116
legislaţiei,899
informării,62
consultării,78
lucrătorilor,1598
λήγει,13
Simplificarea,85
modificări,676
Informe,32
Reynaud,1
Norme,18
cantităţile,16
nominale,21
produselor,2105
preambalate,5
Recomendación,4
Toubon,12
Industria,147
automobilă,3
omologarea,16
autovehiculelor,225
remorcilor,20
acestora,4238
precum,10297
sistemelor,883
Harbour,113
Post,4
echiparea,7
oglinzi,2
retrovizoare,2
vehiculele,255
grele,242
Propuestas,1
Conferencia,1
Presidentes,1
Cornul,64
Africii,303
politic,2701
regional,556
pace,941
securitate,3108
Kaczmarek,7
Euratom,112
Maldeikis,8
mediului,2063
înconjurător,388
radiaţiilor,9
ca,33667
urmare,13276
prăbuşirii,21
avion,81
militar,209
Groenlanda,79
petiţia,14
720,19
2002,342
Wallis,87
Locuinţele,6
politica,5101
regională,1010
Andria,1
Aportul,2
