letter,count
á,1529721
ú,769964
ž,765750
ý,800785
í,831471
é,655351
č,682750
š,557740
ň,103243
ľ,326496
ó,205662
ť,597602
Š,6600
Ú,53730
Č,14541
à,121
è,509
ł,166
ę,87
ô,198826
ä,60358
Ώ,4
ρ,43
α,38
τ,36
ω,9
ν,30
ψ,3
η,35
φ,9
ο,42
ι,40
ώ,6
έ,9
λ,15
ξ,6
ε,35
ď,85746
ã,97
ò,16
Ľ,1386
ö,1175
Ž,3548
Κ,8
ύ,8
σ,47
δ,21
κ,12
π,17
ή,11
ς,21
υ,30
ό,7
Ε,11
ϊ,3
β,3
ί,22
γ,5
μ,16
ĺ,5516
ü,742
χ,9
ζ,5
ř,41
Å,8
ů,1
Ψ,1
ŕ,4568
õ,2
Ö,41
ß,136
Á,1639
Ď,6769
ş,185
ţ,20
ă,269
Í,3366
ø,108
ç,176
Ť,317
Ó,54
Ý,3
_,32
ě,11
ń,150
ê,118
â,55
¹,1
î,12
Ţ,106
ë,46
ś,17
ć,43
ï,32
Ć,1
Ι,4
Ν,4
Α,12
ė,158
ñ,82
Ň,5
Đ,3
Ĺ,1
ő,98
µ,1
ū,40
Ő,21
đ,2
Ş,11
É,27
Â,1
ű,13
ą,10
Ż,1
æ,8
ź,6
ż,6
û,4
ğ,48
ı,5
Ç,1
º,14
Ģ,2
Ś,6
ˇ,2
Ô,8
ī,35
ǎ,10
å,1
Ü,5
Ρ,1
Ł,3
Ř,2
³,2
œ,2
ù,1
Τ,3
Ο,4
ķ,3
Π,2
ņ,3
²,5
ŵ,1
ì,1
Ø,5
О,1
т,7
е,8
ч,3
с,6
в,4
о,9
п,1
а,11
н,6
и,4
Н,1
ш,3
к,3
у,2
ж,1
й,2
з,2
м,1
л,3
П,1
р,4
я,2
г,1
д,1
Т,1
ы,1
ь,2
ā,1
ē,1
ō,1
Δ,1
Λ,1
Β,2
Υ,3
ά,3
