word,count
Schválenie,408
zápisnice,377
z,62960
predchádzajúceho,615
rokovania,4197
pozri,3079
zápisnicu,3023
Zloženie,333
výborov,571
a,480957
delegácií,290
Predložené,316
dokumenty,897
Písomné,1169
vyhlásenia,2349
článok,2123
116,124
rokovacieho,1029
poriadku,1939
Opatrenia,341
prijaté,1947
v,309107
následnosti,39
na,235507
pozície,895
uznesenia,3357
Parlamentu,9633
Zaslanie,156
textu,1037
zmlúv,907
poskytnutých,203
Radou,2059
Petície,77
Podpis,70
aktov,355
prijatých,664
spolurozhodovacom,79
postupe,493
Zriadenie,71
vyšetrovacieho,15
dočasného,120
výboru,1643
Program,663
práce,6446
nasledujúci,404
deň,2027
Skončenie,249
Zasedání,10
skončilo,289
ve,5
23,804
00,728
Otvorenie,282
The,77
sitting,24
was,14
opened,4
at,32
9,1314
Rozhodnutie,306
o,132356
naliehavom,23
Rozprava,1380
prípadoch,2512
porušenia,520
ľudských,8024
práv,12390
demokracie,2722
princípov,361
právneho,2390
štátu,4081
oznámenie,848
podaných,97
návrhoch,880
1,4383
Zmena,278
doplnenie,575
nariadenia,3948
č,2074
533,1
2004,1120
Chorvátsko,621
hlasovanie,3091
2,3474
Protokol,52
k,54043
rámcovej,341
dohode,2140
obchode,1577
spolupráci,2290
s,99932
Kórejskou,33
republikou,442
po,14930
rozšírení,265
3,2513
Zaradenie,30
Maldív,4
do,47454
zoznamu,444
krajín,9512
ktoré,78086
sa,243974
tsunami,23
Indickom,30
oceáne,110
decembri,726
vzťahuje,642
príslušné,1160
rozhodnutie,3516
Rady,9550
4,1984
Štatistika,41
dopravy,3727
tovaru,934
vnútrozemských,52
vodných,202
cestách,480
5,2741
Občianstvo,11
Únie,4007
správa,7978
6,1562
Boj,374
proti,20332
obchodovaniu,451
so,16986
ženami,633
deťmi,355
7,1530
Vonkajšia,13
politika,4514
Spoločenstva,4747
oblasti,26660
letectva,384
8,1726
Vzťahy,117
Ruskom,1311
Čínou,485
leteckej,1076
Nous,13
en,37
avons,8
à,75
présent,9
terminé,8
avec,12
la,123
première,1
séance,32
de,941
votes,18
l,36
année,1
2006,2192
Opravy,267
výsledkov,1004
hlasovania,3895
La,161
suspendue,12
12h35,2
est,84
reprise,12
15h05,2
Posiedzenie,26
zostało,26
zamknięte,13
godz,26
05,179
Se,40
abre,20
sesión,45
las,55
horas,55
Finančný,61
výhľad,104
Obmedzujúce,2
opatrenia,10867
osobám,387
podozrivým,16
účasti,965
atentáte,2
Rafiqa,1
Haririho,2
Nakladanie,8
odpadom,315
ťažobného,13
priemyslu,1990
Voda,28
určená,236
kúpanie,6
Uplatňovanie,135
ustanovení,908
Aarhuského,11
dohovoru,985
inštitúcie,3265
orgány,3419
10,2843
Homofóbia,3
Európe,10754
11,1279
Klimatické,37
zmeny,4534
12,1864
Environmentálne,36
aspekty,1302
trvalo,2232
udržateľného,1042
rozvoja,4015
Con,4
questo,2
si,44194
conclude,10
il,13
turno,20
di,24
votazioni,11
seduta,41
sospesa,13
alle,53
13,1023
20,3459
è,42
ripresa,13
15,1876
nasledujúcej,134
schôdze,333
levanta,14
24,718
30,1986
Oznámenie,180
spoločných,1578
pozícií,229
Úpadok,6
spoločnosti,7058
Equitable,22
Life,26
Assurance,3
Society,10
Predpokladané,5
využívanie,1531
európskych,8361
prostredníctvom,8406
CIA,156
účely,1312
prepravy,412
nezákonného,307
zadržiavania,92
väzňov,623
Pravidlá,149
správania,590
poslancov,3354
zmena,1201
Vykonávanie,115
Európskej,29748
charty,248
pre,78378
malé,2280
podniky,3522
Spoločná,298
organizácia,719
trhu,10064
cukrom,58
Režimy,9
podpory,2954
poľnohospodárov,1503
cukor,74
Čečensko,8
voľbách,834
občianska,245
spoločnosť,2197
Rusku,832
Budúcnosť,127
lisabonskej,880
stratégie,4451
ohľadom,1067
rodovú,468
