letter,count
ž,418217
č,899755
š,502137
á,1538
í,506
à,126
é,1304
è,519
ł,172
ę,78
ó,623
Č,18722
Ώ,4
ρ,38
α,31
τ,29
ω,8
ν,25
ψ,3
η,29
φ,9
ο,34
ι,32
ώ,6
έ,9
λ,13
ξ,5
ε,29
ã,81
ò,20
ö,1458
Š,8901
Κ,7
ύ,6
σ,37
δ,17
κ,10
π,15
ή,9
ς,15
υ,23
ό,6
Ε,9
ϊ,2
β,2
ί,17
γ,4
μ,16
ü,815
Ž,6086
χ,8
ζ,4
ř,49
ů,2
ä,461
Ψ,1
ï,33
õ,24
Ö,37
ß,150
Å,12
ş,210
ţ,26
ă,307
ń,216
Á,42
ç,170
_,57
³,2
ý,44
ê,114
ć,184
â,55
Ü,10
Ĺ,1
ú,214
ś,28
ø,1326
ë,59
ľ,26
ğ,45
đ,16
î,10
½,1
ė,73
Đ,11
ŕ,11
ñ,69
ő,136
µ,1
Ţ,105
ū,32
É,21
Í,11
Ő,22
Ş,9
ť,5
Ó,34
Ď,1
Â,1
å,2
ű,14
ą,12
Ç,2
ź,13
Ż,1
ż,7
û,4
Ģ,2
Α,18
Ι,4
Ν,2
ǎ,8
Ś,6
ī,13
È,1
Ł,11
Ľ,2
ň,69
Ø,1
ě,8
Ć,3
º,16
Ρ,1
Ř,2
æ,8
ì,2
ô,6
ē,2
œ,2
ĉ,1
ǐ,4
ˇ,1
ķ,3
Π,2
ı,3
ď,2
ņ,3
Τ,1
²,6
Β,1
ŵ,1
О,1
т,7
е,8
ч,3
с,6
в,4
о,9
п,1
а,11
н,6
и,4
Н,1
ш,3
к,3
у,2
ж,1
й,2
з,2
м,1
л,3
П,1
р,4
я,2
г,1
д,1
Т,1
ы,1
ь,2
ā,1
Ð,2
ō,1
Υ,3
ά,3
