letter,count
Å,9586
ö,4379869
å,3786914
ä,5210070
é,38970
í,3203
á,5161
ó,2728
Ä,26718
Ö,13323
º,93
è,3231
ø,303
ã,500
Î,3
ô,94
ê,369
ü,3593
Á,305
ç,1062
ò,326
û,26
ë,179
à,546
ñ,565
ú,942
æ,255
É,92
µ,13
ï,355
ß,315
Ü,18
ù,14
â,71
Ù,1
À,4
Í,142
ì,16
²,11
Ç,13
Ø,2
î,27
ð,5
Ï,2
_,37
õ,20
ý,79
Ý,4
Ó,91
Α,33
Â,1
ă,317
ş,252
š,545
č,609
Ο,7
Μ,2
Ι,32
Ν,14
Ε,39
ő,201
ł,461
ń,369
ś,46
Š,661
ż,69
ė,182
Č,41
Ž,48
Ż,3
ř,84
ę,92
Є,1
в,8
р,10
о,14
п,3
е,15
й,4
с,8
ъ,2
к,6
и,8
а,20
л,5
м,4
н,9
т,11
і,3
є,1
д,5
ю,1
У,1
ї,2
ĺ,11
Ś,17
ľ,98
ļ,1
½,15
Κ,8
ā,7
Ő,89
ň,75
ī,52
Ľ,3
ů,2
ž,86
ź,19
ć,183
Ģ,13
ť,8
ą,14
ě,13
Ş,14
ū,71
ų,2
δ,9
ε,16
ί,8
ή,7
χ,6
ρ,19
η,10
μ,7
ά,4
τ,13
ω,1
ν,9
ğ,74
İ,1
ķ,7
Β,10
Н,2
з,4
я,3
г,2
ı,9
β,4
ŭ,3
б,2
ţ,43
Д,1
ш,4
Ţ,108
Đ,10
Ì,1
Ǻ,1
ǎ,6
Ł,12
Έ,1
Ρ,1
Ř,2
σ,16
υ,6
α,13
λ,6
γ,3
ι,14
ς,9
È,1
ē,4
œ,3
ĉ,1
Œ,1
ώ,2
κ,5
ύ,2
Π,2
ό,3
ď,2
ο,9
έ,5
φ,1
ņ,3
ŵ,1
ˮ,20
ζ,1
ξ,1
О,1
ч,3
у,2
ж,1
П,1
Т,1
ы,1
ь,2
А,1
Ć,1
Ð,1
ō,1
Υ,3
π,6
ʼ,12
¼,2
¾,2
ÿ,1
Ú,1
