word,count
а,6205877
о,4741432
е,4709486
и,4509369
т,3953942
н,3834131
с,2636043
р,2616295
в,2346547
д,1834848
п,1640890
к,1571491
л,1421937
з,1249978
м,1246962
я,898626
ъ,827578
г,700931
б,693550
ч,646392
у,543296
ж,441769
щ,329647
ц,313516
й,248178
х,211573
ш,176061
ф,123346
ю,99785
ь,6799
á,756
é,540
і,448
ö,391
è,347
ó,270
í,232
ü,218
ä,170
ă,163
à,120
ł,118
š,114
σ,104
č,98
α,88
ş,79
ε,78
ţ,77
ń,76
ê,72
ι,71
ę,69
ň,69
τ,65
ρ,64
ß,62
ο,62
η,61
ã,59
ø,54
υ,53
μ,53
â,51
ė,50
ν,48
ç,47
ć,46
ί,45
ς,43
ñ,43
δ,37
ï,32
π,32
ú,31
κ,31
ž,29
ř,28
ή,27
ő,26
ū,25
λ,22
º,19
ό,16
γ,15
_,15
ò,14
ý,14
ś,13
χ,12
ύ,11
ī,10
β,10
φ,9
ą,9
ζ,8
ω,8
đ,8
ψ,7
ô,7
ѝ,7
ż,5
ǎ,5
έ,5
ά,4
ϊ,4
ź,4
²,4
ώ,3
ğ,3
ņ,3
æ,3
ı,3
ľ,3
õ,2
å,2
ë,2
ě,2
ē,2
ù,2
ď,2
ť,2
ξ,2
œ,1
ŵ,1
ì,1
ы,1
ā,1
ð,1
