letter,count
С,107006
ъ,827573
с,2529037
т,3896409
а,6179147
в,2291722
н,3786275
П,79170
р,2596002
л,1410904
м,1225185
е,4586094
ж,440359
п,1561720
о,4703911
к,1508717
и,4477672
О,37521
д,1805165
б,668061
я,896994
ш,172495
з,1230219
щ,322533
В,54825
у,536716
г,659088
ц,309883
Д,29683
й,247290
ю,97706
З,19759
ó,265
И,31697
Е,123392
ö,383
è,347
é,533
à,120
А,26730
ф,115857
Р,20293
ч,641717
Г,41843
Н,47856
К,62774
х,205029
ь,6799
ł,115
ę,69
Т,57533
ò,14
ã,59
М,21777
У,6580
Б,25489
Л,11033
ä,170
ü,216
Ф,7489
σ,104
υ,50
ν,43
ε,59
δ,37
ρ,64
ί,45
α,63
η,61
ι,69
κ,15
ό,16
π,29
τ,64
ς,43
μ,41
Х,6544
Ц,3633
š,102
õ,2
Ö,8
Ш,3566
í,227
á,731
ß,62
λ,22
ή,27
γ,15
χ,12
ζ,8
Ч,4675
Å,2
č,74
ý,14
Й,888
Ж,1410
Щ,7114
ï,32
Я,1632
І,448
Κ,16
ο,59
ψ,7
φ,9
Β,6
Μ,12
ά,4
ώ,3
ύ,11
ω,8
Ε,19
ϊ,4
β,4
ç,47
ê,72
ë,2
ą,9
Ю,2079
ô,7
ñ,43
Ł,3
ź,4
Š,12
ő,20
ī,10
Ó,5
ř,26
ė,50
Ř,2
Ţ,72
ă,163
ž,22
ć,45
ń,76
ś,12
ø,54
ú,31
ţ,5
ğ,3
ż,5
Ъ,5
Á,25
ş,70
Ž,7
º,19
_,15
â,51
Ν,5
ľ,2
ň,69
ě,2
Č,24
É,7
ē,2
œ,1
Α,25
Ľ,1
ū,25
ù,2
Ι,2
ǎ,5
Ő,6
Π,3
Ü,2
ď,2
ť,2
έ,5
ņ,3
Τ,1
Í,5
ŵ,1
ì,1
ξ,2
Ο,3
ы,1
ā,1
ѝ,7
Ś,1
Đ,8
Ć,1
Ð,1
æ,3
²,4
Ş,9
ı,3
Υ,3
