word,count
да,331993
за,262648
от,169141
се,158928
е,137381
че,115144
по,105181
това,80336
не,77504
г,64279
ще,61726
трябва,56810
които,53120
като,51621
са,46299
комисията,36261
европейския,33510
н,32229
съюз,30054
към,28550
си,28392
много,27612
бъде,27208
до,27038
този,26503
което,26408
председател,25049
ес,24577
но,24202
която,23915
който,23729
всички,23401
тази,23331
както,23313
тези,23143
също,22839
така,22735
членки,21974
европа,21289
относно,21283
а,20586
най,20109
има,19945
може,18688
или,18409
държави,18187
бъдат,18094
ние,17552
държавите,17137
отношение,16590
само,15941
ни,15908
през,15735
между,15406
беше,15384
ако,14808
във,14777
при,14628
още,12654
аз,12596
време,12592
европейската,12346
въпрос,12165
парламент,12160
следва,12071
бих,11935
със,11859
те,11832
подкрепа,11620
върху,11474
политика,11428
защото,11240
парламента,11159
съм,11001
когато,10826
европейският,10783
все,10744
тъй,10652
вече,10589
други,10537
няма,10510
един,10485
повече,10483
правата,10476
след,10438
една,10347
съвета,10104
доклада,10095
сме,10027
обаче,9997
искам,9872
считам,9664
член,9279
някои,9199
преди,9185
могат,9184
страни,9112
жо,9092
им,9075
важно,8869
чрез,8787
би,8717
можем,8696
мерки,8595
защо,8556
ви,8488
начин,8333
цел,8333
сега,8190
години,8088
развитие,8082
днес,7957
той,7919
връзка,7709
особено,7616
въпроси,7597
криза,7515
хора,7494
срещу,7478
европейски,7426
европейските,7421
областта,7419
човека,7404
нашите,7333
поради,7331
държава,7200
въпреки,7038
без,7017
сигурност,6987
всичко,6869
доклад,6867
ето,6798
предвид,6777
тя,6747
затова,6719
сътрудничество,6664
равнище,6572
възможност,6496
значение,6357
част,6344
искал,6315
благодаря,6249
пред,6218
бяха,6164
средства,6155
пазар,6111
гласувах,6104
споразумение,6073
ми,6030
необходимо,5983
въпроса,5949
работа,5949
имаме,5945
решение,5936
хората,5909
ясно,5885
го,5877
възможно,5858
граждани,5848
помощ,5823
гражданите,5822
голяма,5749
имат,5698
например,5581
тук,5549
година,5542
освен,5521
комисия,5503
система,5479
защита,5441
гарантира,5432
няколко,5426
предложението,5414
дори,5400
дали,5391
права,5383
му,5314
договора,5310
как,5227
тях,5168
господа,5138
госпожи,5101
политиката,5072
нови,5027
според,5026
нас,5021
то,4980
разбира,4974
специално,4962
наистина,4959
ли,4933
едно,4924
жа,4896
действия,4863
нещо,4861
свързани,4805
рамките,4797
парламентът,4772
среда,4739
изключително,4737
продукти,4667
основните,4661
информация,4644
под,4636
цели,4627
внимание,4566
какво,4566
места,4565
лисабон,4554
мен,4525
управление,4512
малко,4483
първо,4460
решения,4407
проблеми,4374
точка,4342
политически,4332
жените,4324
климата,4301
право,4295
отговорност,4286
факта,4282
предложение,4282
евро,4272
икономически,4228
нашата,4224
място,4215
предприятия,4200
надявам,4195
момента,4193
именно,4191
органи,4180
напълно,4175
сектор,4171
включително,4171
роля,4153
случай,4128
групата,4031
разискване,4023
означава,4011
отново,3993
потребителите,3985
толкова,3977
всеки,3976
кризата,3964
пазара,3962
докладът,3956
положение,3950
резолюция,3914
бъдеще,3904
отнася,3884
ги,3859
условия,3843
искаме,3843
направи,3808
стратегия,3797
резултат,3781
споразумението,3781
създаването,3768
кажа,3743
името,3710
него,3692
съветът,3689
става,3669
всъщност,3667
следователно,3666
проблем,3587
й,3566
различни,3546
подход,3545
положението,3529
две,3514
дейност,3510
институции,3509
европейска,3486
предложения,3477
правото,3473
искала,3462
форма,3460
последните,3452
област,3447
план,3442
всяка,3435
бюджета,3432
важен,3428
директивата,3428
заедно,3427
околната,3417
изменението,3396
работата,3392
света,3388
услуги,3377
мисля,3359
председателство,3339
съюза,3338
важна,3335
данни,3333
развитието,3332
стратегията,3326
необходимостта,3325
приветствам,3325
своите,3317
