word,count
í,2457521
á,1720787
ě,1089832
é,962985
ř,933557
ž,832082
ý,673135
č,612000
š,486231
ů,438265
ú,125193
ň,60644
ť,23080
ó,11258
ď,10822
ö,1231
ü,770
è,529
ä,418
ă,296
ş,210
ł,183
ė,178
ç,178
à,159
ő,150
ß,144
ń,143
ţ,135
ć,121
ø,118
ê,116
ę,83
ñ,82
ã,81
â,63
ľ,59
α,59
ū,49
ι,47
σ,44
ğ,44
ρ,42
ο,42
ε,42
τ,39
ï,36
ν,36
η,32
_,28
υ,28
ś,23
μ,21
δ,20
ί,20
ë,19
π,19
κ,19
ô,18
ς,17
ī,16
β,16
ò,15
λ,14
º,14
å,14
а,11
ą,10
đ,10
о,10
ώ,10
φ,9
έ,9
ή,9
χ,9
ĺ,9
ź,9
ż,9
ω,8
ì,8
æ,8
е,8
т,8
ό,7
н,7
ύ,6
î,6
ˇ,6
ı,6
û,6
ǎ,6
с,6
ξ,5
ζ,5
²,5
ά,4
γ,4
в,4
и,4
р,4
ψ,4
ķ,3
ņ,3
ч,3
ш,3
к,3
л,3
ϊ,2
õ,2
ŕ,2
ű,2
ģ,2
ù,2
ē,2
œ,2
ǐ,2
у,2
й,2
з,2
я,2
ь,2
п,2
¹,1
µ,1
ŵ,1
ж,1
м,1
г,1
д,1
ы,1
ā,1
ð,1
ō,1
