letter,count
á,1720420
í,2455823
ř,928078
Č,11006
ý,673134
ž,829516
ů,438265
š,481339
č,600994
ě,1089830
é,962960
ú,120021
ť,22883
à,159
è,529
ł,178
ę,83
ó,11214
Ú,5172
ň,60644
Ώ,4
ρ,41
α,41
τ,35
ω,8
ν,29
ψ,3
η,32
φ,9
ο,36
ι,39
ώ,6
έ,9
λ,14
ξ,5
ε,35
σ,44
υ,25
δ,20
ί,20
κ,12
ό,7
π,17
μ,21
β,9
ά,4
ς,17
Š,4892
ã,81
Á,367
ò,15
ö,1180
Ž,2566
Κ,7
ύ,6
ή,9
Ε,7
ϊ,2
γ,4
ü,765
χ,9
ζ,5
ä,418
Ψ,1
Ř,5479
ď,10817
Í,1698
õ,2
Ö,51
ß,144
Å,13
ş,204
ţ,25
ă,296
Ó,44
ç,176
ŕ,2
_,28
ń,143
ø,113
Ť,197
ê,116
¹,1
î,6
Ţ,110
ï,36
ľ,57
ĺ,8
ë,19
ś,19
ć,120
ė,178
Ι,8
Ν,7
Α,18
ñ,82
Ĺ,1
Β,7
ˇ,6
ő,142
ğ,44
ı,6
µ,1
ū,49
Ď,5
Ő,8
Đ,9
Ź,1
Ş,6
Ο,6
É,25
ű,2
ą,10
Ç,2
û,6
ź,8
Ż,1
â,63
ż,8
º,14
Ģ,2
ì,8
ù,2
Ś,4
ī,16
ǎ,6
Ł,5
Ľ,2
Ý,1
æ,8
å,1
Ü,5
Ρ,1
Τ,4
ô,18
ē,2
œ,2
ǐ,2
Ě,2
ķ,3
Π,2
đ,1
ņ,3
²,5
ŵ,1
Ø,5
О,1
т,7
е,8
ч,3
с,6
в,4
о,9
п,1
а,11
н,6
и,4
Н,1
ш,3
к,3
у,2
ж,1
й,2
з,2
м,1
л,3
П,1
р,4
я,2
г,1
д,1
Т,1
ы,1
ь,2
ā,1
Ć,1
Ð,1
ō,1
Υ,3
