word,count
které,65294
evropské,47136
jsou,46655
jsem,41318
být,37529
této,36960
bych,34322
jsme,33769
která,32876
předsedající,32367
který,29280
pokud,26190
mezi,22785
protože,21285
státy,21073
jejich,20529
opatření,18553
při,18042
není,17532
evropská,17364
tyto,17144
již,17027
bychom,16205
budou,15983
své,15884
těchto,15744
abychom,15321
států,15295
nyní,15083
kteří,14827
důležité,14618
země,14516
když,14456
jde,13949
více,13854
zde,13274
před,13082
měli,13069
byly,12445
rovněž,12374
třeba,12284
všechny,12259
kterou,12243
ještě,12224
mít,12140
což,11800
zpráva,11437
evropský,11197
všech,10931
může,10926
cílem,10803
evropě,10676
další,10628
písemně,10514
pouze,10399
měla,10302
chtěl,10140
řešení,10090
mají,10018
případě,9818
usnesení,9780
sociální,9699
zprávu,9442
evropskou,9331
například,9305
právní,9207
prostředí,9156
kdy,9048
domnívám,8893
směrnice,8860
přístup,8844
odvětví,8831
jež,8813
pánové,8802
skutečně,8667
samozřejmě,8590
především,8522
situace,8463
evropských,8462
jednání,8410
hospodářské,8302
evropy,8297
zprávě,8282
zprávy,8275
větší,8184
době,8159
společenství,8086
zajistit,8056
lidí,7972
komisi,7968
lidských,7964
jste,7739
situaci,7634
jménem,7627
právě,7535
její,7524
neboť,7497
mezinárodní,7412
souvislosti,7331
potřebujeme,7318
nařízení,7266
stejně,7248
základě,7135
věci,7056
prostřednictvím,7055
společnosti,6871
občanů,6855
můžeme,6853
měly,6766
týkající,6726
zemích,6687
měl,6651
mohou,6592
způsobem,6530
všichni,6515
zcela,6414
dosáhnout,6390
státech,6329
vzhledem,6308
smlouvy,6287
komisaři,6262
říci,6205
předsedo,6042
svou,6034
doufám,5881
včetně,5857
svých,5783
ráda,5783
některé,5777
nadále,5739
lidé,5699
cíle,5691
pracovní,5674
skutečnost,5674
během,5655
týká,5552
chtěla,5471
společné,5446
prostředky,5438
bezpečnost,5428
současné,5370
mělo,5364
hlediska,5323
řízení,5291
prostředků,5282
hospodářství,5265
dále,5261
finančních,5257
nejsou,5127
světě,5108
jasně,5061
přijetí,5027
děkuji,4996
mého,4973
příliš,4927
prohlášení,4869
několik,4855
kromě,4854
velice,4823
nezbytné,4816
řekl,4814
všem,4810
souladu,4771
dobře,4766
financování,4755
změny,4740
vytvoření,4708
oblastech,4700
skutečnosti,4689
chci,4664
důvodu,4651
předpisy,4648
zdrojů,4635
představuje,4596
zásadní,4590
ohledně,4578
některých,4548
právních,4530
potravin,4527
milionů,4505
podmínky,4501
mě,4479
mnoha,4465
vítám,4427
přijmout,4412
straně,4407
vůči,4382
tímto,4379
dalších,4378
velké,4377
provádění,4355
otázce,4349
občany,4337
pracovních,4333
cílů,4324
organizace,4307
souhlasím,4305
partnerství,4268
díky,4254
předpisů,4249
nicméně,4229
snížení,4225
svůj,4222
ohledu,4199
plně,4191
zemědělství,4146
vzdělávání,4125
informace,4111
společně,4103
pozměňovací,4102
