word,count
Schválení,412
zápisu,473
předchozího,561
viz,3136
zápis,3062
Členství,222
ve,52169
výborech,495
delegacích,166
Předložení,271
dokumentů,778
Písemná,1172
prohlášení,4645
článek,2014
jednacího,1373
řádu,1727
Následný,86
postup,2338
základě,7135
postojů,274
usnesení,9301
Texty,97
smluv,848
dodané,94
Radou,2283
Petice,81
Podepisování,64
aktů,339
přijatých,643
postupem,648
spolurozhodování,562
Zřízení,75
vyšetřovacího,16
výboru,3429
dočasného,83
Plán,264
práce,7889
Pořad,274
jednání,8128
příštího,754
Ukončení,271
Zasedání,543
Zahájení,260
Rozhodnutí,503
naléhavém,18
postupu,2096
Rozpravy,120
případech,2494
porušování,1764
lidských,7963
práv,13663
demokracie,3412
právního,2193
státu,3950
oznámení,433
předložených,377
návrhů,3177
Změna,286
nařízení,6966
č,1907
533,1
Chorvatsko,604
hlasování,7922
Protokol,82
k,83073
Rámcové,54
dohodě,2206
obchodu,4413
spolupráci,6903
Korejskou,27
republikou,431
Doplnění,7
Malediv,5
seznam,895
zemí,11201
které,65249
po,14886
ničivých,23
vlnách,14
tsunami,120
Indickém,31
oceánu,273
prosinci,743
vztahuje,652
krytí,100
ztrát,136
úvěrů,357
Statistiky,86
přepravy,475
zboží,2095
vnitrozemských,126
vodních,277
cestách,194
Občanství,8
Unie,5510
zpráva,8180
Strategie,458
boje,2093
proti,19615
ženami,727
dětmi,331
ohroženými,45
sexuálním,74
vykořisťováním,56
Vnější,45
politika,4778
Společenství,5338
oblasti,25636
letectví,592
Vztahy,107
Rusko,1854
Čína,1200
letecké,1487
dopravy,3734
première,1
année,1
Opravy,277
12h35,2
Složení,141
Finanční,523
výhled,127
Omezující,8
opatření,18223
osobám,447
podezřelým,17
účasti,1169
zavraždění,57
Rafika,1
Harírího,3
Nakládání,13
odpady,248
těžebního,29
průmyslu,2622
Vody,1
ke,14321
koupání,6
Použití,50
ustanovení,2853
Aarhuské,12
úmluvy,807
orgány,6431
instituce,2043
Homofóbie,1
Evropě,10676
Změny,124
klimatu,6528
Environmentální,32
aspekty,1432
trvale,826
udržitelného,1062
rozvoje,3538
dílčího,125
Sdělení,170
společných,1446
Rady,9822
Úpadek,7
společnosti,6820
Domnělé,1
využití,1970
evropských,7913
strany,8284
CIA,153
převoz,41
nezákonné,330
zadržování,199
vězňů,474
Kodex,43
chování,1122
poslanců,2480
změna,1306
EP,635
Provádění,175
Evropské,33524
charty,110
malé,2819
podniky,4560
Společná,317
organizace,3325
trhů,1582
cukrem,54
Režimy,11
podpory,3423
zemědělců,793
cukr,55
Čečensko,9
volbách,809
občanská,463
společnost,2087
Rusku,902
Budoucnost,127
Lisabonské,4175
strategie,6344
ohledem,3791
rovnost,1004
pohlaví,1183
Ώρα,4
των,4
ψηφοφοριών,3
έληξε,4
στη,2
και,1
επαναλαμβάνεται,1
Ověřování,30
pověřovacích,47
listin,105
Peru,57
Vydání,13
bývalého,228
prezidenta,1242
Fujimoriho,1
proces,3528
ním,736
Postižení,6
rozvoj,6291
esto,1
concluye,1
votación,2
určitých,1119
dokumentech,271
Předání,100
textů,264
během,4808
schůze,235
Termíny,120
příštích,1058
Převody,79
prostředků,5282
Předpisy,42
sociální,9425
týkající,6726
silniční,860
Harmonizace,55
předpisů,4249
Rovnost,92
žen,5469
mužů,1512
unii,9491
Uplatňování,100
poštovní,103
směrnice,8271
Rybolovné,8
zdroje,3084
Středozemním,151
moři,1027
Přerušení,126
11h45,1
začalo,247
Obnovené,5
pneumatiky,35
Schvalování,12
typu,775
součástí,3297
mechanických,5
spojovacích,2
zařízení,1704
jízdních,23
souprav,5
vozidel,1021
trhu,10235
sušenými,2
krmivy,25
Zrušení,101
dvou,2540
měnové,592
politiky,13295
Malý,9
pohraniční,83
styk,100
vnějších,899
pozemních,128
hranicích,793
členských,16602
států,15295
Dohoda,830
partnerství,4190
mezi,22080
Šalamounovými,14
ostrovy,233
rybolovu,2503
Konfiskace,1
automobilů,688
řeckými,37
Expozice,1
zaměstnanců,1516
optickému,1
záření,65
Vliv,30
globalizace,888
vnitřní,2853
trh,6233
Vytápění,1
chlazení,35
obnovitelných,1075
zdrojů,4633
energie,6096
Hlasování,1472
concerning,1
předcházejících,73
Licence,3
řídícího,26
letového,118
provozu,1171
00H05,1
Strategické,44
pokyny,539
venkova,1166
období,5552
Nový,324
způsob,2779
financování,4656
rámci,12894
cílů,4305
tisíciletí,705
Situace,738
Bělorusku,669
volby,1621
dne,3504
března,965
Zvládání,7
rizik,759
krizí,1841
odvětví,8659
zemědělství,4016
unie,29394
lesního,54
hospodářství,5221
rozprava,3183
Kulturní,69
dědictví,690
Ázerbájdžánu,127
Guantanámo,2
uložená,81
rejstříku,236
Poslanecký,6
mandát,767
Uvolnění,117
přístavních,60
služeb,3810
ukončení,871
ročního,123
Potírání,10
rasismu,232
při,16536
fotbalových,22
utkáních,3
písemné,293
Ukrajina,529
některých,4547
aspektech,350
leteckých,557
Záruční,6
fond,1539
vnější,2091
akce,839
Zakládání,2
kapitál,349
akciové,16
Evropský,7889
institut,188
rovné,764
postavení,2410
Delokalizace,1
kontextu,1334
regionálního,258
rtuti,103
Informační,52
růst,2889
zaměstnanost,1655
pokračování,683
Chers,1
collègues,1
allons,1
reprendre,1
notre,1
sdělení,1883
úmyslu,1187
hlasovat,3229
Evropským,1713
společenstvím,513
Federativními,2
státy,21002
Mikronésie,3
Nejnutnější,2
údaje,2070
musejí,844
být,37501
obsaženy,145
licencích,5
Hodnocení,99
evropského,5131
zatykače,25
Čadu,307
Nucená,7
prostituce,96
světových,399
sportovních,162
událostí,728
Sociání,1
ochrana,1658
začleňování,526
techniky,132
šetrnější,70
