word,count
å,2600658
æ,2517976
ø,2089931
é,39869
ö,7009
á,4686
è,2991
ü,2925
í,2445
ó,2261
ä,1791
ú,884
š,884
č,651
ç,547
ñ,521
ô,430
à,402
ã,388
ß,384
ê,362
ò,332
ń,330
ă,295
ş,279
ï,262
ł,227
ő,214
ė,178
ć,161
ţ,130
º,114
ž,112
â,103
ę,91
ý,78
ë,75
½,73
ň,73
α,72
ʼ,62
ū,61
ś,59
ğ,49
ř,45
ī,44
ι,44
ľ,43
ε,38
ο,28
û,27
_,27
ì,27
µ,24
î,24
ν,24
ą,23
τ,23
õ,21
а,20
ρ,20
κ,20
ź,17
β,17
μ,16
е,15
о,15
ı,14
ù,14
σ,13
đ,13
ų,12
т,12
н,11
р,10
³,10
ǎ,10
ż,10
þ,10
ǔ,9
η,9
²,8
в,8
с,8
и,8
ě,8
δ,8
ς,8
π,8
υ,8
ť,7
ί,7
к,6
ή,6
χ,6
д,6
л,5
œ,5
ķ,5
ģ,5
έ,5
λ,5
м,5
й,4
ά,4
з,4
ш,4
ӕ,4
ǐ,4
ð,4
п,4
і,3
ā,3
я,3
ŏ,3
ό,3
ņ,3
ч,3
у,3
ъ,2
ĺ,2
ů,2
г,2
б,2
ē,2
ώ,2
ύ,2
γ,2
ь,2
є,2
į,1
ю,1
ї,1
ŝ,1
ω,1
i̇,1
¹,1
θ,1
φ,1
ŵ,1
ζ,1
ξ,1
ж,1
ы,1
舉,1
ō,1
ª,1
¼,1
¾,1
