letter,count
æ,2513827
ø,2066805
é,39430
í,2417
á,4416
ó,2175
ä,1790
Æ,4149
º,114
Å,2218
É,439
è,2988
ö,6567
ã,388
ô,428
ç,533
ê,362
Ü,22
ü,2903
Á,270
â,86
ò,332
à,399
ñ,521
Ö,442
ù,13
ú,882
ë,75
ï,257
ß,384
½,73
Ù,1
À,3
Í,28
ì,26
²,8
Ï,5
_,27
ý,77
ð,3
Ó,86
õ,19
Α,58
Ν,15
Τ,11
Ο,16
Â,17
ă,295
ο,12
Ι,32
š,380
č,613
Κ,15
Ε,24
ő,146
Š,504
ę,91
ų,12
į,1
ł,215
Ž,46
ń,330
ė,178
Є,1
в,8
р,10
о,14
п,3
е,15
й,4
с,8
к,6
и,8
а,20
л,5
м,4
н,9
т,11
і,3
є,1
д,5
ї,1
Ś,21
ć,160
ľ,41
ś,38
ř,43
ş,267
Ő,68
ā,3
ň,73
ž,66
ū,61
ī,44
ź,17
ť,7
ą,23
³,10
Õ,2
ě,8
Î,2
ǔ,9
Č,38
ı,14
Ş,12
œ,5
Ŝ,1
δ,8
ε,14
ί,7
ή,6
χ,6
ρ,18
η,9
μ,6
ά,4
τ,12
ω,1
ν,9
İ,1
ğ,49
Н,2
з,4
я,3
г,2
β,7
ţ,31
ш,4
Β,10
Ţ,99
ӕ,4
È,3
ǎ,10
Đ,11
ŏ,3
α,14
θ,1
þ,6
Ł,12
Ľ,2
Ř,2
ż,7
Ì,1
Þ,4
ē,2
Ô,2
υ,5
ι,12
σ,13
ώ,2
κ,5
ύ,2
Π,2
ό,3
έ,5
φ,1
λ,5
ς,8
ņ,3
ŵ,1
ζ,1
γ,2
ξ,1
О,1
ч,3
у,2
ж,1
П,1
Т,1
ы,1
ь,2
舉,1
Ć,1
Ð,1
Υ,3
π,6
ʼ,62
ª,1
Ä,1
¼,1
¾,1
