word,count
ü,2139214
ä,2085442
ö,809788
ß,743903
é,7110
á,4511
í,2352
ó,2258
è,1295
š,919
ú,877
č,658
ô,559
ç,555
à,552
ñ,480
ã,381
ê,351
ć,317
ă,314
ò,308
å,287
ø,281
ş,278
ï,265
ł,265
æ,249
ń,219
ő,208
ś,181
ţ,141
ė,122
ž,108
â,103
ę,95
º,89
ľ,77
ý,74
ň,73
ğ,70
ë,69
α,61
_,54
ř,51
ʼ,48
ī,47
ū,46
ì,38
ε,37
ι,35
ο,31
μ,30
ν,29
²,28
τ,27
δ,26
³,23
ρ,22
û,20
µ,19
õ,18
ı,18
а,17
ŏ,16
σ,16
î,16
ż,16
ź,15
ą,14
β,14
ί,13
η,13
ό,13
ù,13
о,13
е,12
đ,12
π,12
ς,11
κ,11
½,10
ǔ,10
ď,10
₂,10
н,9
υ,9
ť,8
т,8
ǎ,8
ή,7
ķ,7
и,7
с,7
λ,7
ě,6
χ,6
р,6
ά,5
в,5
έ,5
д,5
ð,5
м,5
з,4
ш,4
л,4
œ,4
γ,4
φ,4
ǐ,4
¼,3
¾,3
я,3
ģ,3
ē,3
ņ,3
ч,3
к,3
ª,3
¹,2
ĺ,2
ā,2
ů,2
ų,2
i̇,2
г,2
б,2
ώ,2
ύ,2
у,2
й,2
ь,2
舣,2
п,2
ļ,1
ŝ,1
ω,1
ъ,1
ŕ,1
ц,1
ĉ,1
ŵ,1
ζ,1
ψ,1
ξ,1
ж,1
ы,1
ș,1
ō,1
þ,1
