letter,count
ä,2015292
ü,2072503
ß,743903
ö,788186
í,2321
á,4255
Ä,70150
ó,2186
Ö,21602
Ü,66711
º,89
é,7045
ø,274
ã,381
ô,557
è,1294
ç,497
ê,351
Á,256
ò,308
û,20
ë,69
à,544
ñ,480
ú,877
æ,249
µ,19
ï,262
Å,223
å,64
É,65
Ø,7
Ì,3
Í,31
Ô,2
Ï,3
½,10
ù,12
¼,3
Ù,1
À,8
ì,35
²,28
â,100
Ç,58
³,23
_,54
È,1
î,14
¹,2
õ,18
ð,3
¾,3
ý,73
Ý,1
Ó,72
Â,3
ă,314
Α,45
Ι,20
Ν,18
ć,316
š,433
č,619
ł,256
ę,95
ś,170
ż,13
Ś,11
ő,134
ń,219
Š,486
ė,122
Č,39
Ž,44
ş,266
ı,18
Ż,3
ğ,70
ľ,75
ļ,1
ĺ,2
ā,2
Μ,19
ř,49
Ő,74
ň,73
ī,47
Ľ,2
Ε,20
ů,2
ž,64
ź,15
ť,8
ą,14
ě,6
Î,2
ǔ,10
Ş,12
ū,46
β,5
Ŝ,1
ų,2
δ,26
ε,17
ί,13
ή,7
χ,6
ρ,22
η,13
μ,11
ά,5
τ,16
ω,1
ν,11
İ,2
ķ,7
Н,2
е,12
з,4
а,16
в,5
и,7
с,7
м,2
я,3
г,2
т,8
д,4
о,12
б,2
ъ,1
р,6
н,7
ţ,41
Д,1
ш,4
л,4
Β,9
Ģ,3
Κ,6
œ,4
Ţ,100
ο,18
ǎ,8
Đ,10
Τ,11
М,3
ŏ,16
Ο,13
А,1
σ,16
υ,6
α,16
λ,7
γ,4
ι,15
ς,11
Ł,9
ό,13
Ř,2
ŕ,1
φ,4
ц,1
ē,3
ĉ,1
ǐ,4
ώ,2
κ,5
ύ,2
Π,3
đ,2
ď,10
έ,5
ņ,3
₂,10
ŵ,1
ζ,1
π,9
ψ,1
ξ,1
О,1
ч,3
п,1
к,3
у,2
ж,1
й,2
П,1
ы,1
ь,2
Ć,1
Ð,2
ș,1
舣,2
ō,1
þ,1
Υ,3
ʼ,48
ª,3
