word,count
é,7839
ö,5885
á,4803
ü,2606
í,2520
ó,2308
ä,1903
è,1616
à,1149
š,1027
ú,845
ç,730
č,729
ô,577
ê,516
ï,506
ñ,498
ã,376
ń,368
ă,354
ß,349
ε,345
ò,338
å,329
ø,328
ş,312
æ,267
ł,253
ő,248
ć,227
ė,185
ʼ,179
α,170
ţ,166
τ,162
ž,128
â,117
ο,114
ν,112
ë,111
ę,92
ľ,92
ι,87
ğ,80
ý,80
ň,78
ś,76
º,63
ū,54
μ,51
ī,49
ř,49
_,44
ì,43
û,26
а,22
ρ,22
î,19
½,18
ź,18
β,17
đ,16
е,15
о,15
κ,15
µ,14
õ,14
ą,13
ż,13
ù,12
т,12
ı,11
н,11
²,10
р,10
œ,10
ě,10
ǎ,10
в,8
с,8
и,8
ť,8
π,7
к,6
ķ,6
д,6
м,6
л,5
χ,5
έ,5
υ,5
ί,4
й,4
δ,4
ή,4
ά,4
з,4
ш,4
ǐ,4
п,4
¾,3
і,3
¹,3
ů,3
я,3
λ,3
ņ,3
ч,3
у,3
ъ,2
ā,2
ų,2
η,2
г,2
б,2
ģ,2
ē,2
σ,2
ώ,2
ό,2
ď,2
ς,2
ь,2
ʻ,2
ș,2
ð,2
є,2
¼,1
þ,1
ю,1
ї,1
ω,1
i̇,1
ǔ,1
³,1
ĉ,1
ύ,1
φ,1
ŵ,1
ж,1
ы,1
ō,1
γ,1
