word,count
become,18650
actually,13727
reasons,12152
thus,11233
everyone,10604
despite,9877
monetary,9419
namely,8995
completely,7683
extent,7461
affected,6877
shown,6670
yesterday,6442
comments,6435
created,6427
accepted,6320
closely,6164
remind,6136
colleague,6054
expenditure,5908
january,5821
demands,5776
weeks,5659
respond,5537
emphasise,5500
represents,5497
convinced,5357
thirdly,5232
introduced,5189
naturally,5109
raise,4944
drawn,4894
enormous,4742
whilst,4731
addressed,4623
unable,4622
rejected,4531
merely,4491
adopting,4320
totally,4284
extend,4245
opposed,4154
plenary,4138
truly,4137
personally,4092
consequently,4056
granted,3991
interesting,3943
suffering,3926
appear,3924
proposing,3901
functioning,3865
generally,3860
emphasis,3827
spent,3752
lastly,3702
affect,3623
started,3573
delighted,3539
nonetheless,3434
placed,3433
guaranteed,3418
effectiveness,3409
traditional,3387
continued,3345
purposes,3314
examples,3282
exists,3241
remarks,3209
knows,3176
amounts,3131
hence,3084
surely,3069
involves,3066
cooperate,3028
allocated,3024
undoubtedly,3000
requested,2997
happens,2961
drawing,2940
introducing,2934
allows,2918
welcomed,2870
latest,2870
constantly,2868
historic,2845
intends,2843
behaviour,2812
largest,2793
clarify,2782
succeed,2769
debating,2729
follows,2698
significantly,2680
perfectly,2677
waiting,2658
careful,2648
suffer,2630
highlighted,2603
difficulty,2598
producing,2591
seeing,2584
referring,2583
significance,2562
vessels,2561
preparation,2560
genuinely,2548
valuable,2540
enjoy,2470
previously,2466
requests,2462
constitute,2461
elsewhere,2446
thursday,2445
identified,2429
guaranteeing,2414
opposite,2384
meant,2380
interpretation,2374
thanking,2363
category,2353
suffered,2352
carrying,2352
deserves,2335
hundreds,2334
affects,2324
seeks,2312
conducted,2304
chosen,2300
helped,2285
purely,2259
ratified,2241
accordingly,2227
whereby,2213
depend,2204
demanding,2197
foremost,2174
phenomenon,2171
considerably,2159
savings,2159
everybody,2155
refers,2154
doubts,2152
competences,2146
decades,2140
worrying,2133
powerful,2132
experienced,2128
promised,2126
legitimacy,2122
denmark,2120
bureaucracy,2110
enhance,2097
contributed,2092
encouraged,2081
reflected,2067
greenhouse,2053
biggest,2041
examined,2034
regarded,2034
removed,2027
basically,2022
thorough,2014
obtained,1991
presenting,1985
nearly,1985
fairly,1963
necessarily,1932
bureaucratic,1925
jointly,1909
alongside,1907
financed,1902
negotiate,1898
outstanding,1894
reflects,1882
drafted,1866
repeatedly,1866
fewer,1855
resulted,1838
surprised,1837
underline,1826
repeated,1819
insufficient,1808
gradually,1797
warmly,1792
widely,1778
occurred,1777
covers,1770
similarly,1770
uncertainty,1760
lithuania,1759
fifteen,1758
causing,1756
sphere,1750
freely,1749
offering,1748
amend,1739
recommend,1736
approximately,1729
pursuant,1728
demonstrates,1722
raw,1706
listened,1703
frequently,1701
withdraw,1700
engaged,1698
shortly,1689
founded,1688
weight,1677
prevented,1672
arising,1671
promoted,1648
hopefully,1642
agrees,1635
efficiently,1634
sincerely,1632
talked,1627
strictly,1627
afford,1611
moved,1609
simplify,1604
campaigns,1593
disappointed,1584
restrict,1579
troops,1573
defining,1572
experiencing,1565
connected,1564
consulted,1545
hoped,1542
imposing,1538
forgotten,1537
coastal,1532
replaced,1523
achievements,1518
showed,1513
characteristics,1512
refused,1509
contributing,1502
whatsoever,1498
raises,1495
preliminary,1494
joining,1493
representing,1460
banned,1454
destroyed,1447
comparison,1447
surrounding,1435
movements,1432
sadly,1432
regularly,1426
unlike,1421
gained,1417
losing,1417
experiences,1417
mistakes,1417
thousand,1409
consistency,1409
inhabitants,1406
apparently,1402
containing,1401
solved,1400
fourthly,1396
accepting,1395
resolving,1394
monitored,1387
criminals,1386
liked,1379
functions,1371
wages,1363
fortunately,1345
criterion,1334
virtually,1330
answered,1328
appointed,1325
sight,1323
voters,1323
ranging,1312
immunity,1310
endorsed,1304
focusing,1296
badly,1289
damaging,1279
adequately,1278
dictatorship,1277
enables,1272
died,1264
laying,1263
commend,1258
autumn,1258
tackled,1255
emerged,1254
murder,1252
disastrous,1251
foodstuffs,1251
switzerland,1233
enshrined,1230
birth,1226
disadvantaged,1226
explicitly,1224
struck,1223
fulfilled,1222
repercussions,1222
accused,1218
linguistic,1212
presents,1209
ensured,1208
frankly,1208
delivered,1202
initiated,1195
transferred,1191
originally,1189
broadly,1188
whenever,1186
detriment,1177
inequalities,1175
findings,1163
openly,1155
placing,1150
pillars,1147
topical,1141
automatically,1136
systematically,1132
draftsman,1132
seventh,1131
stating,1127
criticisms,1121
recorded,1120
incidentally,1120
assessed,1119
appreciation,1115
normally,1115
criticised,1112
likewise,1112
stopped,1110
onto,1108
lesson,1106
kurdish,1104
ideological,1104
subjected,1103
demanded,1101
