word,count
ó,2364858
í,1320309
á,1043127
é,621421
ñ,522263
ú,290326
º,8711
ü,7583
ö,5406
ä,1775
è,1348
š,895
ç,637
č,620
à,427
ª,416
ê,363
ã,348
ß,339
ø,313
ń,305
ò,299
ă,281
ş,278
ï,260
ő,228
æ,213
ł,200
ô,197
ć,163
å,141
ė,135
ţ,128
ë,102
ž,96
ý,85
â,78
ę,76
ň,69
α,64
ś,62
ğ,61
ľ,57
ż,45
ř,43
ì,42
ū,41
σ,40
î,39
_,38
ι,37
ο,34
û,33
ρ,30
τ,27
η,25
ν,25
ī,24
ε,23
а,22
β,21
μ,20
ˇ,16
κ,16
µ,15
ź,15
е,15
о,15
π,15
³,14
²,14
υ,14
ς,13
õ,13
đ,13
ί,12
т,12
н,11
р,10
ě,10
δ,10
ή,10
ʼ,10
ķ,9
ť,9
ı,9
ǎ,9
в,8
с,8
и,8
ό,8
ą,8
φ,7
ù,6
к,6
χ,6
λ,6
д,6
м,6
œ,6
л,5
ά,5
ψ,5
έ,5
þ,5
½,4
й,4
з,4
ш,4
¾,4
ύ,4
п,4
і,3
ω,3
я,3
ώ,3
ģ,3
ņ,3
ч,3
у,3
ϊ,2
ъ,2
ā,2
į,2
г,2
б,2
ē,2
ǐ,2
ď,2
ь,2
ð,2
є,2
ю,1
ї,1
ĺ,1
ů,1
ÿ,1
i̇,1
ų,1
ǔ,1
¹,1
γ,1
¼,1
ĉ,1
ŵ,1
ζ,1
ξ,1
ж,1
ы,1
ș,1
ō,1
