letter,count
ó,2364528
í,1320045
ñ,522260
á,1035194
é,612799
ú,289012
ä,1771
É,8622
ü,7562
º,8711
ö,5206
ø,296
ô,196
ç,536
ê,355
Á,7933
ã,348
ª,416
è,1347
ò,299
ë,102
à,426
Í,264
Ö,200
Å,75
Ó,330
æ,211
³,14
ï,256
ß,339
_,38
ý,82
â,75
Ý,3
ù,6
Ü,21
²,14
ì,31
Â,3
È,1
½,4
õ,12
Α,35
σ,40
ă,281
Ρ,4
ν,17
Ε,9
ł,192
Ι,20
Ν,8
ć,162
ο,28
š,382
č,580
ź,15
Ο,6
Š,513
ė,135
Č,40
Ž,24
ń,305
ś,52
ę,76
Є,1
в,8
р,10
о,14
п,3
е,15
й,4
с,8
к,6
и,8
а,21
л,5
м,4
н,9
т,11
і,3
є,1
д,5
ї,1
α,29
Œ,3
ľ,55
Κ,10
ő,148
Ś,10
ā,2
ř,41
ι,17
ρ,26
Ő,80
ň,69
ž,72
ū,41
ż,44
Ľ,2
ī,24
Ÿ,1
ť,9
Õ,1
ě,10
ş,266
Î,2
Ş,12
δ,10
ε,14
ί,12
ή,10
χ,6
η,24
μ,11
ά,5
τ,26
ω,3
İ,1
ğ,61
ų,1
œ,3
Н,2
з,4
я,3
г,2
ı,9
ǔ,1
ţ,23
ш,4
Β,8
Ţ,105
¾,4
Đ,11
π,13
ό,8
ψ,5
φ,7
ς,13
ώ,3
ύ,4
κ,6
υ,11
β,13
λ,6
γ,1
А,1
ą,8
ǎ,9
¼,1
Ł,8
Ř,2
ē,2
ǐ,2
Π,2
έ,5
ņ,3
Τ,1
ŵ,1
О,1
ч,3
у,2
ж,1
П,1
ы,1
ь,2
Ć,1
ș,1
Ð,1
Υ,3
ʼ,10
