word,count
también,177408
hemos,67281
hecho,61819
trabajo,55940
señora,53594
cuestión,53480
respecto,52750
ciudadanos,52216
decir,50266
situación,49825
tenemos,48991
ello,48821
están,46470
nuestro,43833
comisario,38739
nuestros,37595
apoyo,37321
dicho,35640
quisiera,35606
ejemplo,35563
deben,34909
común,34838
nosotros,34517
europeos,34154
además,32971
ámbito,31714
debería,30412
ayuda,30260
información,30153
enmiendas,29234
millones,28878
necesario,28592
manera,27864
aunque,27539
importancia,26599
nacionales,26027
empleo,25968
día,25622
gustaría,25507
condiciones,25498
garantizar,25480
nuestras,24915
mujeres,24517
necesidad,24398
presupuesto,23746
decisión,23716
estrategia,22755
aún,22543
instituciones,22252
atención,22088
nuevos,21585
cualquier,21352
posición,21146
cuanto,21121
podría,20811
competencia,20575
pasado,20247
salud,20119
calidad,19582
mayoría,19346
respuesta,19327
hacia,19257
duda,18731
todavía,18532
regiones,18419
puesto,18085
nuevas,18062
decisiones,18022
ampliación,17648
cual,17601
gestión,17434
pueda,17403
miembro,17167
procedimiento,17104
plazo,16905
creación,16880
oportunidad,16681
solución,16515
mejorar,16480
ellos,16313
interés,16157
comunicación,16126
realidad,16108
asimismo,15689
fundamentales,15615
medios,15517
esfuerzos,15423
ningún,15308
población,15300
naciones,15182
siendo,15163
ninguna,15153
crear,15135
puedo,15036
misma,14845
cierto,14736
esos,14734
puedan,14681
refiere,14605
práctica,14511
poner,14294
financiación,14272
entonces,14218
producción,14201
deseo,14081
supuesto,14075
ustedes,13882
ejercicio,13808
adhesión,13691
puntos,13653
turquía,13629
dinero,13607
deberíamos,13265
tenido,13264
según,13245
éxito,13183
sigue,13055
igualdad,12810
apoyar,12786
acciones,12752
existen,12741
tendrá,12643
estabilidad,12614
deberían,12561
respeto,12462
constituye,12100
consecuencias,12021
declaración,11998
cumbre,11980
riesgo,11895
presentado,11779
transparencia,11638
financiera,11558
reducir,11467
internacionales,11421
participación,11334
solidaridad,11326
había,11319
debido,11310
educación,11286
gobiernos,11240
esencial,11220
elecciones,11208
consecuencia,11120
consiguiente,11113
hablar,11029
capacidad,11025
conformidad,11001
reducción,10930
criterios,10773
preguntas,10690
tampoco,10554
organizaciones,10469
disposiciones,10422
ámbitos,10367
fronteras,10219
procedimientos,10193
evaluación,10090
llegar,10071
ayudas,10019
aceptar,9845
financieros,9820
confianza,9773
hacerlo,9725
necesaria,9668
alguna,9668
precios,9608
costes,9572
voluntad,9527
puestos,9473
sostenible,9448
violencia,9430
razones,9394
satisfacción,9393
varios,9382
éste,9312
quiere,9299
dicha,9271
servicio,9245
ayudar,9213
quienes,9158
preocupación,9133
mismos,9078
revisión,8983
dejar,8965
trabajar,8945
estructurales,8871
mejora,8864
llevar,8816
víctimas,8816
pequeñas,8793
dificultades,8761
prioridad,8678
efectos,8651
ésta,8642
expresar,8444
financiero,8386
habría,8381
cumplir,8370
inmigración,8341
cuentas,8258
coordinación,8249
necesidades,8242
cuatro,8209
hayan,8182
financieras,8164
menudo,8148
señalar,8132
cambios,8132
espacio,8124
haciendo,8026
propios,8024
quien,8010
necesarias,7983
podamos,7885
emisiones,7818
competitividad,7792
funcionamiento,7778
desarrollar,7704
comunes,7680
asegurar,7668
compromisos,7618
esfuerzo,7577
voy,7564
permítanme,7527
discriminación,7450
competencias,7433
convención,7417
adopción,7382
colaboración,7379
ocasión,7376
función,7370
inversiones,7360
actuales,7337
comerciales,7330
reforzar,7316
tarea,7283
posibilidades,7268
diciembre,7258
niveles,7197
inversión,7174
tengan,7172
peligro,7139
creemos,7117
declaraciones,7115
podrían,7093
eficacia,7060
supone,7058
contenido,7038
únicamente,6983
mayores,6982
soluciones,6904
contribución,6877
conclusiones,6853
propuesto,6848
pienso,6842
presión,6832
cuales,6814
allí,6763
innovación,6698
algún,6684
construcción,6665
circulación,6663
ocasiones,6644
intención,6641
fuerza,6608
debo,6586
adecuada,6550
hacen,6538
riesgos,6524
aprobado,6508
siguen,6426
autoridad,6416
serán,6403
junio,6402
quizás,6369
ejecución,6355
