word,count
ä,954906
õ,892090
ü,453107
ö,251691
š,7132
ž,3874
á,2273
é,2263
ó,920
í,857
è,607
č,501
ú,384
ă,337
ş,305
ł,283
ń,246
ç,244
ô,214
ő,204
ã,190
ß,178
à,174
ć,174
ā,158
ţ,143
ø,129
ñ,126
ė,112
ê,110
ū,102
ę,79
ň,65
ï,64
ğ,64
â,61
α,61
ř,58
ż,53
ι,48
ε,47
σ,46
ý,46
ō,44
ρ,42
ο,40
ś,38
τ,35
ν,35
η,32
å,32
ë,30
ò,28
υ,28
ī,27
ḩ,27
μ,26
_,23
ί,21
ľ,21
δ,20
ź,20
ς,18
ą,17
π,17
º,16
į,16
ˮ,16
ŏ,16
κ,16
λ,15
ǎ,13
а,13
đ,13
β,12
ή,11
ķ,11
ē,11
о,10
ώ,10
φ,9
έ,9
χ,9
ı,9
ω,8
î,8
е,8
т,8
ě,7
ņ,7
н,7
ύ,6
ό,6
γ,6
û,6
æ,6
с,6
ξ,5
ζ,5
в,4
и,4
р,4
ψ,4
ť,3
²,3
ч,3
ш,3
к,3
л,3
ά,3
м,3
ģ,3
ϊ,2
ù,2
½,2
þ,2
ŗ,2
i̇,2
ď,2
ό,2
у,2
й,2
з,2
я,2
ь,2
ə,2
п,2
ů,1
¹,1
µ,1
眠,1
œ,1
ų,1
ŀ,1
ŵ,1
ì,1
ж,1
г,1
д,1
ы,1
ș,1
舃,1
ð,1
