letter,count
õ,890271
ä,953819
á,2216
í,823
č,464
ö,251460
Ü,27924
Õ,1819
à,174
é,2233
è,607
ł,270
ę,79
ó,887
Å,30
ü,425183
š,5744
Ώ,4
ρ,42
α,35
τ,32
ω,8
ν,28
ψ,3
η,32
φ,9
ο,35
ι,38
ώ,6
έ,9
λ,15
ξ,5
ε,35
ã,190
ž,3834
ò,28
Š,1388
Κ,6
ύ,6
σ,46
δ,20
κ,10
π,15
ή,11
ς,18
υ,26
ό,6
Ε,12
ϊ,2
β,5
ί,21
γ,6
μ,18
χ,9
ζ,5
ř,56
Ä,1087
ů,1
Ψ,1
ô,214
Ö,231
ß,178
ş,290
ţ,36
ă,337
ø,129
Á,57
ç,243
_,23
ń,246
ý,45
ê,110
ć,173
¹,1
ň,65
î,8
ñ,126
ú,382
Ţ,107
ï,64
Č,37
ù,2
â,61
ë,30
Ó,33
ś,31
Α,26
Ι,10
Ν,7
ķ,11
ē,11
ą,17
ż,53
ė,112
ľ,19
ğ,64
½,2
É,30
Đ,11
Β,7
ő,185
ı,9
µ,1
ū,102
Ő,19
Τ,3
Ο,5
Ş,15
ť,3
å,2
Í,34
А,1
а,12
М,2
û,6
Ž,40
ǎ,13
ź,20
Ý,1
þ,2
²,3
Ś,7
Ç,1
º,16
Ģ,2
Ł,13
ā,158
ī,27
Ľ,2
ě,7
Ḩ,21
眠,1
Ř,2
ḩ,6
ŗ,2
į,16
ō,44
œ,1
Μ,8
ģ,1
ų,1
ņ,7
Ú,2
æ,6
İ,2
Π,2
đ,2
ď,2
ˮ,16
ŀ,1
ό,2
ŵ,1
ŏ,16
ì,1
О,1
т,7
е,8
ч,3
с,6
в,4
о,9
п,1
н,6
и,4
Н,1
ш,3
к,3
у,2
ж,1
й,2
з,2
м,1
л,3
П,1
р,4
я,2
г,1
д,1
Т,1
ы,1
ь,2
Ć,1
ə,2
ș,1
舃,1
Ð,1
Υ,2
ά,3
