word,count
ä,12846069
ö,1567391
é,7264
š,6913
á,4900
ü,2903
í,2539
ó,2446
ž,2099
è,1437
ú,894
č,683
ç,617
æ,582
ñ,503
à,437
ã,436
å,391
ß,374
ê,362
ò,327
ă,327
ł,324
ń,321
ş,311
ø,310
ï,284
ő,239
ė,218
ć,210
â,158
ţ,155
ý,92
ô,85
ę,83
ë,81
º,73
ň,72
ř,59
α,59
ľ,58
ū,54
ī,51
ś,51
ε,51
ż,50
ι,44
ğ,42
β,35
_,30
ν,29
ρ,28
û,24
ì,24
î,23
õ,21
ο,20
ź,19
τ,17
σ,16
а,15
µ,14
ą,14
μ,14
о,13
đ,13
ù,12
е,12
ί,10
ě,10
η,10
ı,10
ǎ,10
δ,9
ς,9
т,9
н,9
π,9
υ,9
κ,9
³,8
ģ,8
œ,8
²,7
½,7
χ,7
ķ,7
и,7
с,7
ť,6
ή,6
р,6
þ,6
ā,5
в,5
έ,5
λ,5
д,5
ð,5
¹,4
ά,4
з,4
ш,4
л,4
ų,3
я,3
ĳ,3
ό,3
ņ,3
ч,3
к,3
ů,2
м,2
г,2
б,2
ζ,2
ē,2
ώ,2
ύ,2
ď,2
γ,2
у,2
й,2
ь,2
ʼ,2
ċ,2
п,2
¼,1
ļ,1
ω,1
i̇,1
ǔ,1
ъ,1
ĉ,1
φ,1
ŵ,1
ξ,1
ж,1
ы,1
ș,1
ō,1
¾,1
ŝ,1
