word,count
é,7383564
à,1318228
è,998607
ê,439502
ô,121497
ç,67478
î,54792
û,53641
ù,47949
â,42317
œ,28546
ï,12094
ë,7294
ö,6489
á,4389
ü,2514
í,2347
ó,2229
ä,1921
ʼ,1872
º,1639
š,909
č,630
ú,620
ñ,508
ã,402
ß,354
æ,348
ø,337
ń,334
ò,317
ă,296
å,279
ş,273
ł,240
ő,212
ė,170
ć,170
ţ,140
_,138
ž,108
ę,77
α,75
ň,73
ğ,73
ś,71
ý,68
ľ,54
ī,49
ř,48
ū,47
²,43
ì,41
ι,36
ε,35
ᵉ,28
ż,27
ρ,27
ᵐ,25
ν,25
μ,24
а,22
ο,21
µ,20
ź,20
³,18
ą,18
β,18
σ,16
τ,16
õ,15
е,15
о,15
đ,14
т,12
ı,11
η,11
н,11
р,10
ě,10
ǔ,10
ǎ,10
υ,10
ί,9
ς,9
π,9
κ,9
в,8
с,8
и,8
ť,8
ķ,7
δ,7
к,6
λ,6
ή,6
þ,6
д,6
м,6
л,5
ŕ,5
ǐ,5
χ,5
έ,5
½,4
й,4
з,4
ш,4
ό,4
ά,4
ð,4
п,4
і,3
я,3
ģ,3
γ,3
φ,3
ņ,3
ч,3
у,3
ъ,2
ā,2
ų,2
г,2
б,2
¹,2
ώ,2
ύ,2
ď,2
ь,2
є,2
ю,1
ї,1
ů,1
ļ,1
i̇,1
ĉ,1
ŵ,1
ζ,1
ψ,1
ξ,1
ș,1
ж,1
ы,1
ē,1
¾,1
ō,1
ˆ,1
