word,count
é,3048889
á,2937297
ö,949436
ó,906541
ő,698586
ü,554276
í,448563
ú,265524
ű,119851
š,639
è,530
č,498
ä,398
ń,270
ă,259
ł,189
ş,187
ç,179
à,168
ã,160
ţ,138
ß,135
ć,125
ø,116
ê,109
α,80
ň,76
ę,75
ñ,75
â,67
ž,58
ε,56
ι,55
ğ,53
σ,51
ū,51
ο,51
τ,47
ρ,46
ř,46
ν,46
ý,45
_,40
η,39
ė,39
ï,36
ś,30
υ,29
μ,26
ί,23
κ,23
π,22
ľ,22
δ,21
ς,21
õ,20
λ,16
ò,14
ë,14
ź,14
ī,14
å,14
φ,13
º,13
а,13
đ,13
ή,12
ż,12
β,12
ą,11
ώ,11
ô,10
о,10
ω,9
έ,9
ό,9
χ,9
ǎ,8
ě,8
е,8
ψ,8
т,8
н,7
ύ,6
î,6
ı,6
ť,6
û,6
æ,6
с,6
ξ,5
γ,5
ζ,5
ά,5
ș,4
ǐ,4
²,4
в,4
и,4
р,4
ķ,3
ч,3
ш,3
к,3
л,3
м,3
ϊ,2
ģ,2
³,2
ē,2
œ,2
ˮ,2
ď,2
ņ,2
у,2
й,2
з,2
я,2
ь,2
п,2
ů,1
¹,1
µ,1
ĉ,1
ù,1
ŕ,1
ŵ,1
ì,1
ж,1
г,1
д,1
ы,1
ā,1
ð,1
