letter,count
ő,697332
ü,550503
é,3036086
ö,931551
á,2929398
ú,254503
Í,5335
í,443228
ó,906282
Ü,3773
č,460
ű,119817
à,166
è,528
ł,178
ę,75
É,12803
Ώ,4
ρ,45
α,47
τ,41
ω,9
ν,35
ψ,7
η,39
φ,13
ο,41
ι,45
ώ,7
έ,9
λ,16
ξ,5
ε,37
Ú,11021
ã,160
ò,14
Á,7899
Κ,11
ύ,6
σ,51
δ,21
κ,12
π,20
ή,12
ς,21
υ,26
ό,9
Ε,19
ϊ,2
β,6
ί,23
γ,5
μ,19
χ,9
ζ,5
ř,44
š,301
ů,1
ä,398
Ψ,1
Ö,17885
ï,36
õ,20
ß,135
Å,13
ă,259
ţ,30
Š,338
Ő,1254
Ó,259
ø,111
ń,270
ç,177
_,40
ý,45
ê,109
ć,124
¹,1
ň,76
ş,178
î,6
Ţ,108
Č,38
â,66
ë,14
À,2
ľ,20
ś,25
Α,33
Ι,10
Ν,11
ž,44
ğ,53
ñ,75
Đ,11
Â,1
Β,6
ı,6
µ,1
ô,10
ū,51
ė,39
Ş,9
ť,6
Ο,10
å,1
Ű,34
ą,11
Ç,2
А,1
а,12
М,2
û,6
Ž,14
ș,4
ź,14
ż,12
Ś,5
º,13
Ģ,2
ī,14
ǎ,8
Ł,11
Τ,6
Ľ,2
ě,8
Ρ,1
Ř,2
³,2
ē,2
œ,2
Μ,7
ĉ,1
ǐ,4
ù,1
ŕ,1
æ,6
ķ,3
Π,2
È,2
đ,2
ˮ,2
ď,2
ņ,2
²,4
ŵ,1
ì,1
Ø,5
О,1
т,7
е,8
ч,3
с,6
в,4
о,9
п,1
н,6
и,4
Н,1
ш,3
к,3
у,2
ж,1
й,2
з,2
м,1
л,3
П,1
р,4
я,2
г,1
д,1
Т,1
ы,1
ь,2
ā,1
Ć,1
Ð,1
ά,5
Υ,3
