word,count
à,801216
è,606047
ù,207543
é,189078
ò,176463
ì,80195
ʼ,9551
ö,6250
á,4430
ü,2506
í,2438
ó,2164
ä,1823
º,1064
ú,977
š,953
č,704
ç,529
ñ,468
ã,387
ß,383
ê,372
ø,344
æ,333
ă,308
ń,282
ş,273
ï,258
ć,256
ő,227
å,212
ł,195
ė,179
ţ,140
ž,122
â,100
ś,100
î,99
ę,83
ý,76
ň,70
ľ,67
_,62
ô,59
α,58
ë,55
ū,52
ğ,50
ī,48
ª,46
ř,41
ι,39
ο,37
τ,36
ε,33
ν,32
û,27
ρ,21
μ,21
ź,18
κ,18
ě,17
β,16
а,15
σ,15
ą,13
о,13
đ,13
²,12
е,12
µ,11
ς,11
õ,10
δ,10
η,10
ǎ,10
υ,10
ķ,9
λ,9
т,9
ż,9
н,9
ί,8
ť,8
π,8
и,7
с,7
ı,7
ό,7
ή,6
χ,6
ά,6
р,6
ů,6
в,5
ĺ,5
έ,5
д,5
з,4
ш,4
л,4
ņ,4
½,3
į,3
я,3
œ,3
ǐ,3
ч,3
к,3
ð,3
м,3
г,2
б,2
ģ,2
ē,2
ώ,2
ύ,2
ď,2
γ,2
у,2
й,2
ь,2
ā,2
п,2
ŕ,1
ω,1
i̇,1
ų,1
ǔ,1
ъ,1
¹,1
φ,1
ŵ,1
ζ,1
ξ,1
ж,1
ы,1
舃,1
³,1
ܧ,1
ō,1
¾,1
