letter,count
ì,80188
è,588498
à,801206
ù,207531
ò,176432
é,188496
í,2421
á,4180
ó,2074
ä,1821
º,1064
È,17549
ö,6001
ø,302
ã,387
ô,59
ç,510
ê,367
Ü,21
ü,2485
Á,250
Ö,249
û,27
ï,257
ñ,468
ú,975
É,582
ß,383
Å,153
ë,51
â,99
î,97
å,59
æ,333
Ø,42
À,10
ª,46
Ú,2
Ù,12
Í,17
²,12
_,62
Ï,1
Ë,4
ý,75
Ý,1
ð,2
Ó,90
õ,10
Ì,7
Α,42
Ν,22
Τ,21
Ο,21
Â,1
ă,308
½,3
Ρ,3
ć,255
š,436
β,6
č,591
ş,261
ί,8
Š,517
ė,179
Č,113
ł,184
į,3
ī,48
ń,282
Ž,46
ľ,65
ę,83
Β,10
ŕ,1
ś,86
Ε,19
Ś,14
Ç,19
ą,13
ř,39
ő,140
ğ,50
Ő,87
ň,70
ž,76
ū,52
Ι,23
Μ,8
ź,18
ě,17
Î,2
ť,8
Ş,12
δ,10
ε,14
ή,6
χ,6
ρ,18
η,10
μ,13
ά,6
τ,15
ω,1
ν,10
µ,11
İ,1
ų,1
ķ,9
Н,2
е,12
з,4
а,15
в,5
и,7
с,7
м,2
я,3
г,2
т,8
ǔ,1
д,4
о,12
б,2
ъ,1
р,6
н,7
ţ,35
Д,1
ш,4
л,4
ů,6
¹,1
Ţ,105
Đ,11
ı,7
Ż,1
ż,8
Ģ,2
ǎ,10
Ł,11
ņ,4
ĺ,5
Ľ,2
Ř,2
М,1
ē,2
œ,3
ǐ,3
ο,16
υ,7
α,16
ι,16
σ,15
ώ,2
κ,7
ύ,2
Π,2
ό,7
đ,2
ď,2
έ,5
φ,1
λ,9
ς,11
ŵ,1
ζ,1
γ,2
ξ,1
Κ,11
О,1
ч,3
п,1
к,3
у,2
ж,1
й,2
П,1
Т,1
ы,1
ь,2
ā,2
Ć,1
舃,1
³,1
Ð,1
ܧ,1
ō,1
Υ,3
π,6
ʼ,9551
Ê,5
Ò,31
Ä,2
¾,1
