word,count
ų,1075208
ė,1012786
š,801450
ą,606713
ž,541853
į,412014
ū,388939
č,294252
ę,128210
á,1587
é,1487
ö,1147
ü,683
ó,644
è,513
í,507
ä,416
ă,223
ş,176
ő,164
ć,162
ł,157
à,154
ß,144
ç,133
ń,126
ê,122
ø,117
ţ,98
ã,86
ú,71
ñ,71
ň,67
ğ,53
ο,50
α,50
â,47
ε,43
σ,42
ρ,42
ι,42
ķ,37
τ,37
_,36
ý,33
ř,33
η,32
ï,32
ν,31
ś,30
υ,28
º,23
ί,22
π,20
ς,19
μ,19
δ,18
κ,18
ò,17
ż,17
å,17
ī,15
ľ,15
β,15
λ,14
ē,14
đ,13
φ,11
ώ,11
έ,9
ή,9
χ,9
ë,9
ź,9
ô,9
ω,8
ό,8
ı,7
²,7
ǎ,7
æ,7
ύ,6
¹,6
î,6
ģ,6
û,6
ě,6
ξ,5
ζ,5
а,5
ĳ,5
ψ,5
ā,5
γ,4
ť,4
¾,4
ņ,4
ǐ,4
œ,3
ά,3
õ,3
ϊ,2
ˇ,2
舣,2
ļ,2
ů,1
µ,1
ŗ,1
м,1
у,1
ĉ,1
ù,1
т,1
ŵ,1
ì,1
ď,1
ð,1
ʻ,1
⅔,1
с,1
ș,1
