word,count
dėl,104387
taip,63314
kaip,59139
būtų,42734
apie,38503
buvo,38453
pirmininke,37246
mūsų,36999
tačiau,34473
todėl,34255
komisijos,32133
norėčiau,31579
turime,25294
reikia,24753
šiuo,24245
jų,24109
sąjungos,23507
manau,23068
turėtų,20966
pone,19306
šį,18850
ypač,18715
narių,18668
valstybių,18641
valstybės,18276
teisės,17649
prieš,17356
šios,17243
dabar,16844
daugiau,16776
užtikrinti,16767
daug,16387
nėra,15758
siekiant,15559
politikos,14922
jis,14520
visų,14262
svarbu,14096
teisių,13649
iki,13497
šio,13253
ekonomikos,13137
šalių,12825
srityje,12756
žmogaus,12372
tarybos,12310
pagal,12283
ką,12168
šių,12157
visiškai,11814
narės,11795
galima,11746
kurių,11637
klausimas,11591
metų,11530
šiandien,11372
priemonių,11166
šią,11032
kurį,10997
žmonių,10980
sąjunga,10954
veiksmų,10722
pranešimą,10676
pasakyti,10375
žemės,10255
toliau,10225
energijos,10201
galėtų,10167
jeigu,9832
būtina,9795
raštu,9771
tuo,9718
apsaugos,9563
jūsų,9289
taryba,9265
pirma,9123
prekybos,9058
rinkos,8753
tarp,8710
klausimą,8685
ponia,8642
ponios,8618
biudžeto,8519
ponai,8449
atveju,8409
europoje,8372
pranešime,8234
kuriuos,8193
klausimu,8127
kurią,8060
piliečių,7962
klimato,7958
vardu,7902
svarbus,7895
balsavau,7824
dėmesį,7811
žinoma,7786
lisabonos,7784
dėlto,7715
kitų,7704
pasiekti,7642
saugumo,7506
būtent,7495
ūkio,7489
šiame,7468
padėkoti,7445
šioje,7437
frakcijos,7293
galimybę,7236
imtis,7207
priemones,7150
atsižvelgiant,7112
tikrųjų,7102
labiau,7097
vidaus,7029
politiką,6973
finansų,6970
pasaulio,6951
įgyvendinti,6844
atžvilgiu,6820
sveikatos,6754
turėtume,6724
galime,6712
darbą,6665
pirmiausia,6649
aiškiai,6636
tikiuosi,6460
padaryti,6439
krizės,6433
pritariu,6376
maisto,6319
sukurti,6224
priemonės,6169
mėn,6163
visiems,6144
noriu,6122
priimti,6101
siekiama,6082
tikrai,6027
sistemos,5936
komiteto,5934
sąjungoje,5924
nustatyti,5905
negali,5871
požiūriu,5817
galiausiai,5780
pabrėžti,5729
klausimus,5716
diskusijos,5674
reiškia,5649
žmonės,5564
šiuos,5551
tarybai,5467
bendrijos,5463
šalyse,5452
metus,5438
valstybėse,5435
kuriuo,5434
kurias,5428
aplinkos,5422
padėti,5405
moterų,5404
kurioje,5353
įskaitant,5336
šalies,5331
padėtį,5328
kurio,5311
ateityje,5276
jiems,5274
šalis,5270
institucijų,5255
pranešimas,5246
juos,5244
plėtros,5242
nariai,5236
visuomenės,5225
nuomone,5193
valstybėms,5174
šalys,5153
kadangi,5150
kodėl,5069
institucijos,5058
spręsti,5051
sutarties,5030
sistemą,5026
bendradarbiavimo,5026
pasiūlymą,5025
kitas,5011
pranešimo,4998
pasaulyje,4968
nebuvo,4934
gerai,4925
privalome,4918
energetikos,4913
lygmeniu,4874
dalis,4873
priežiūros,4866
suteikti,4860
teisę,4851
kalbant,4848
norime,4838
skatinti,4796
tikslas,4792
lygio,4767
direktyvos,4759
paslaugų,4717
valdžios,4700
taisyklių,4686
vaidmenį,4656
nepaisant,4642
sąlygas,4627
kuriame,4607
pagrindinių,4599
susitarimo,4576
vartotojų,4540
skirti,4523
užsienio,4523
vieną,4516
vietos,4512
problemų,4503
narys,4492
pramonės,4489
narėse,4462
pagalbos,4460
sumažinti,4453
darbuotojų,4423
padėtis,4423
nary,4416
išteklių,4411
laiko,4406
narėms,4397
piliečiams,4390
produktų,4361
šalims,4355
šia,4325
dažnai,4315
paramą,4260
reikėtų,4257
privalo,4256
klausimų,4243
tiesų,4239
lėšų,4225
toks,4224
geriau,4215
gauti,4212
kuriais,4200
mokesčių,4200
negalime,4187
aktų,4168
bendrą,4145
kelia,4125
mažiau,4113
srityse,4108
sprendimą,4108
turėti,4103
daryti,4090
duomenų,4086
naujų,4079
pradėti,4078
svarbi,4068
neturi,4063
pirmininko,4046
esmės,4044
poveikį,4037
antra,4015
gyventojų,4000
žmonėms,3961
informacijos,3944
šias,3923
reikalų,3921
valdymo,3921
tyrimų,3920
sprendimo,3903
tinkamai,3897
strategijos,3875
turiu,3870
susitarimą,3862
įmonių,3836
siekti,3820
kiek,3819
taikyti,3781
sprendimas,3774
socialinės,3770
tada,3770
parlamentui,3763
įtraukti,3762
tikslų,3748
rinką,3746
klausimais,3736
jūros,3724
džiaugiuosi,3715
šiam,3703
turės,3700
atkreipti,3659
žinome,3653
vadovų,3647
visą,3645
regiono,3642
galbūt,3614
pirmininkas,3603
vaikų,3590
vietų,3565
dėkoju,3555
galėtume,3553
dėmesio,3511
tokių,3505
šalyje,3495
nebus,3486
dauguma,3481
pinigų,3478
remiantis,3472
problemos,3451
susitarimas,3443
vyriausybės,3439
kuriomis,3435
vyksta,3428
šiol,3405
pasinaudoti,3405
piliečiai,3404
sektoriaus,3400
dalies,3391
anksčiau,3387
susijusių,3375
kovos,3348
susiję,3330
demokratijos,3322
sprendimus,3318
galimybes,3276
balsavimas,3272
saugos,3268
kitaip,3266
bendros,3263
tokios,3261
pasiūlymas,3259
dirbti,3255
tikslus,3230
sanglaudos,3230
žingsnis,3226
vėl,3222
finansinių,3221
kitos,3220
pastangas,3214
laikas,3211
keletą,3209
rezoliucijos,3208
bendradarbiavimą,3171
teisingumo,3167
kaitos,3160
kovoti,3156
atrodo,3143
laikytis,3140
apsaugoti,3132
klausimai,3130
krizę,3110
veiklą,3107
tvarkos,3107
beveik,3094
sąjungai,3083
žr,3081
direktyva,3078
vystymosi,3077
finansavimo,3074
kelią,3069
padėties,3069
protokolą,3069
problemą,3063
mokslinių,3061
kontrolės,3060
derybų,3047
sprendimų,3046
išspręsti,3036
galimybių,3027
galimybės,3027
naują,3021
klausimo,3004
susijęs,3002
gyvenimo,3002
tarptautinės,2996
rusijos,2995
dujų,2985
sudaro,2969
išorės,2962
programos,2951
įgyvendinimo,2948
pagalbą,2947
taisykles,2946
padidinti,2939
greičiau,2921
priežasčių,2918
regionų,2916
strategiją,2911
vykdyti,2904
gamybos,2903
pavyzdžiui,2901
rinkoje,2896
afrikos,2894
naujas,2888
aišku,2884
šiais,2882
dalį,2878
neturėtų,2876
įmanoma,2861
nuolat,2859
rezoliuciją,2856
sutartis,2852
ekonominės,2849
pakeisti,2847
neseniai,2847
parengti,2845
kalbėti,2843
jokių,2829
komisiją,2815
atsižvelgti,2811
sektoriuje,2811
balsavimo,2806
užimtumo,2798
nebūtų,2797
galiu,2789
poveikio,2785
laisvės,2771
apsaugą,2763
daugelis,2763
informaciją,2743
valstybes,2736
įvairių,2723
sutartį,2720
svarbiausia,2715
greitai,2714
dalyvauti,2711
pagerinti,2700
rezultatų,2700
kitą,2695
dalykas,2692
kelių,2685
diskusijų,2663
pasiūlymo,2658
pakankamai,2656
pasiūlymus,2651
kuriems,2650
augimo,2641
šalimis,2631
įmonėms,2630
reglamento,2621
mlrd,2609
tų,2604
sudaryti,2602
remti,2594
pasveikinti,2587
tapti,2587
sąlygomis,2577
visoje,2568
pagrindinis,2562
labiausiai,2553
