word,count
Ankstesnio,328
posėdžio,1077
protokolų,184
tvirtinimas,350
žr,3076
protokolą,2991
Komitetų,182
ir,455291
delegacijų,270
sudėtis,396
Pateikti,252
dokumentai,646
Rašytiniai,257
pareiškimai,1478
116,123
Darbo,2330
tvarkos,3100
taisyklių,4664
straipsnis,1488
Veiksmai,146
įgyvendinant,2120
Parlamento,20750
pozicijas,500
rezoliucijas,265
Tarybos,11240
perduoti,962
susitarimų,1764
tekstai,167
Peticijos,80
Bendru,37
sprendimu,613
priimtų,731
teisės,17026
aktų,4168
pasirašymas,151
Tyrimo,19
komiteto,5808
laikinojo,114
sudarymas,187
protokola,238
Darbų,73
Kito,253
darbotvark,219
Posėdžio,472
pabaiga,501
skončilo,9
23,783
00,536
Plenarinio,60
atidarymas,100
The,114
sitting,25
was,15
opened,4
at,37
9,1309
Sprendimas,206
dėl,95911
skubaus,109
klausimo,2962
Diskusijos,1210
žmogaus,11485
teisių,13501
demokratijos,3262
teisinės,1670
valstybės,17240
pažeidimo,542
atvejų,1768
paskelbiami,62
pateikti,6706
pasiūlymai,1408
rezoliucijų,462
1,4332
Reglamento,349
2004,1108
Kroatija,510
keitimas,110
balsavimas,2164
2,3416
Protokolas,27
pagrindų,1027
susitarimo,4510
prekybos,8837
bendradarbiavimo,4973
Korėjos,421
atsižvelgiant,5291
į,81828
ES,44992
plėtrą,1472
3,2510
Maldyvų,14
įtraukimas,271
šalių,12767
nukentėjusių,153
gruodžio,1960
mėn,6163
Indijos,590
vandenyne,86
kilusių,126
cunamių,4
sąrašą,878
4,1938
Krovinių,17
vežimo,460
vidaus,6405
vandenų,242
keliais,481
statistika,262
5,2685
Sąjungos,22560
pilietyb,5
asis,42
pranešimas,4665
6,1563
Prekybos,221
moterimis,191
vaikais,315
gali,18791
būti,42931
išnaudojami,90
seksualiai,32
prevencija,301
7,1505
Bendrijos,4707
išorės,2681
aviacijos,998
srityje,12754
8,1733
Santykiai,26
Rusija,2089
Kinija,1356
oro,4273
transporto,6594
Nous,13
en,54
avons,8
à,88
terminé,8
avec,9
la,115
de,956
votes,17
l,35
2006,2166
Balsavimo,379
pataisymai,268
La,156
suspendue,11
12h35,2
est,80
Posiedzenie,26
zostało,26
o,29700
godz,26
05,174
Se,39
abre,19
sesión,44
a,585
las,54
horas,54
Finansinperspektyva,2
Specialios,12
ribojančios,37
priemonės,6068
taikomos,1657
tikriems,178
asmenims,1109
įtariamiems,8
dalyvavus,3
Libano,133
buvusio,154
Pirmininko,1890
Rafik,1
Hariri,3
nužudyme,1
Kasybos,11
pramonės,4031
atliekų,1689
tvarkymas,71
Maudyklų,1
vanduo,155
Orhuso,22
konvencijos,929
nuostatų,1454
taikymas,620
institucijoms,1759
organams,29
10,2711
Homofobija,3
Europoje,8372
11,1245
Klimato,320
kaita,2282
12,1765
Tvaraus,27
vystymosi,2831
aplinkosaugos,1190
aspektai,753
Con,4
questo,2
si,22
conclude,10
il,12
turno,20
di,22
votazioni,11
seduta,41
sospesa,13
alle,53
13,985
20,3127
è,42
ripresa,13
15,1742
Kitos,185
sesijos,400
24,690
30,1887
bendrųjų,460
pozicijų,282
perdavimas,293
Bendrovės,28
Equitable,21
Life,26
Assurance,4
Society,5
žlugimas,64
Numanomas,3
CŽV,140
vykdytas,28
kalinių,388
gabenimas,39
neteisėtas,159
kalinimas,27
Europos,124688
šalyse,5422
nariams,2116
elgesio,715
normos,324
pakeitimai,1260
mažųjų,637
įmonių,3779
chartijos,460
įgyvendinimas,1133
Bendras,202
rinkų,1586
organizavimas,134
cukraus,318
sektoriuje,2798
Paramos,54
schemos,141
ūkininkams,1094
cukrus,15
Padėtis,447
Čečėnijoje,56
po,8762
rinkimų,2415
pilietinvisuomenRusijoje,1
Lisabonos,7784
strategijos,3803
ateitis,587
lyčių,1524
perspektyvą,352
Ώρα,4
των,4
ψηφοφοριών,3
έληξε,4
Įgaliojimų,46
tikrinimas,90
115,84
prezidento,996
Alberto,5
Fujimori,1
ekstradicija,16
procesas,1963
Negalia,2
vystymasis,346
concluye,1
votación,2
Sprendimai,151
kai,26250
kurių,11635
dokumentų,1135
Per,2277
šį,17965
posėdį,503
tekstų,251
Kitų,174
posėdžių,409
kalendorinis,116
Asignavimų,78
perkėlimas,320
levée,16
kelių,2612
veikla,2298
susiję,3326
socialiniai,392
aktai,1252
susijusių,3373
socialinių,2164
suderinimas,243
Vyrų,36
moterų,4908
lygybEuropos,8
Sąjungoje,5854
Pašto,18
direktyvos,4269
Viduržemio,2053
jūros,3707
žuvų,823
ištekliai,950
les,12
Sesijos,171
pertrauka,55
Je,8
déclare,7
interrompue,7
session,14
du,3535
Parlement,7
11h45,1
22,581
25,1379
v,14
Restauruotos,1
padangos,18
Autotraukinių,1
mechaninio,2
sukabinimo,1
įtaisų,31
sudedamųjų,95
dalių,659
sausųjų,2
pašarų,389
rinkos,8663
Dviejų,43
reglamentų,448
pinigų,3435
politikos,14869
klausimais,3732
panaikinimas,400
Vietinis,3
eismas,85
per,18015
sieną,295
valstybių,18308
narių,18655
išorinių,226
sausumos,185
sienų,1944
Saliamono,3
Salų,20
partnerystės,2196
susitarimas,3270
žvejybos,2158
Graikijos,1433
valdžios,4653
institucijų,5235
vykdomas,608
automobilių,2120
