letter,count
š,938787
ē,1442815
ā,3011172
ī,1794781
ū,335154
ņ,285046
á,1427
í,425
č,23011
ļ,219666
ģ,108577
Ķ,4891
à,152
é,1202
è,472
ł,155
ę,75
ó,598
ž,128703
Č,3087
Ώ,4
ρ,43
α,38
τ,35
ω,8
ν,29
ψ,5
η,35
φ,11
ο,40
ι,38
ώ,6
έ,9
λ,14
ξ,5
ε,33
ķ,81046
Ž,611
ã,88
ò,16
Ā,7065
ö,1094
Š,41306
Κ,9
ύ,6
σ,47
δ,19
κ,10
π,17
ή,12
ς,19
υ,25
ό,8
Ε,9
ϊ,2
β,5
ί,22
γ,5
μ,18
ü,655
χ,9
ζ,5
ř,32
ů,1
Ī,6389
ä,415
Ψ,1
õ,6
Ö,38
ß,149
Å,8
Ļ,1796
ş,170
ţ,12
ă,208
љ,4
Ņ,3468
ћ,1
ø,110
Į,5
ą,30
Ģ,894
_,36
ń,144
ý,37
Ū,193
Ē,1194
ŗ,12
й,3
ć,212
¹,1
į,141
ú,69
Ţ,84
ǎ,12
ç,143
ï,32
Ó,29
¾,5
Α,24
Ι,10
Ν,10
ś,36
ė,162
ê,122
ľ,23
ğ,51
î,5
Đ,11
ñ,74
Á,34
ő,123
ı,6
ë,15
µ,1
Ő,21
Τ,6
Ο,8
Β,4
É,16
ų,8
å,2
Í,13
Æ,1
Ç,1
А,1
а,12
М,1
û,6
ġ,1
ź,9
ż,12
Ż,1
у,3
ť,4
ň,68
н,7
ά,4
Ś,6
½,2
¼,1
â,52
ě,5
ĳ,2
ₒ,1
º,7
Ü,6
Ρ,1
Ř,2
ō,5
Ł,3
œ,2
Μ,3
Ľ,1
р,6
з,4
в,6
ĉ,1
ǐ,4
ù,1
³,1
æ,7
Π,2
ď,2
đ,1
²,7
ô,4
ŵ,1
ì,1
О,1
т,7
е,8
ч,3
с,8
о,9
п,1
и,4
Н,1
ш,3
к,3
ж,1
м,1
л,3
П,1
я,2
г,1
д,1
Т,1
ы,1
ь,2
Ć,1
Ð,2
ș,1
Ş,9
Υ,3
