word,count
eiropas,126091
mēs,99470
arī,89720
kā,80760
tā,52584
kungs,37196
ļoti,32390
šajā,32217
attiecībā,28806
priekšsēdētāja,28373
tās,27801
tomēr,24607
tāpēc,22986
šī,22885
īpaši,22086
pēc,21903
bija,21605
savienības,21288
darba,20505
gada,20100
tiesību,18669
šīs,18619
vēlos,18489
valsts,18421
vēl,18406
jomā,16852
līdz,16551
varētu,16350
vērā,15902
kundze,15876
laikā,15706
vairāk,15679
finanšu,15642
tādēļ,15640
starp,15015
ziņojumu,14464
valstu,14422
tika,14364
savu,14265
uzskatu,14117
saistībā,14007
taču,13861
svarīgi,13707
valstīm,13485
atbalstu,13053
jautājumu,12994
esmu,12841
piemēram,12533
daudz,12436
tagad,12422
jautājums,12025
priekšsēdētājas,11362
dalībvalstīm,11252
jābūt,11229
dalībvalstu,11148
tirgus,10899
padomes,10846
rakstiski,10563
kurā,10275
gadā,10164
tad,10151
iespējams,10102
dēļ,9985
šodien,9973
viņu,9883
nekā,9850
tiesības,9819
eiropā,9548
grupas,9477
cilvēku,9464
dalībvalstis,9460
viņi,9311
budžeta,9243
vēlētos,9205
tiem,9190
saskaņā,9168
tajā,9080
manuprāt,9046
pirms,8907
kungi,8867
dāmas,8822
drošības,8791
nodrošināt,8755
ņemot,8697
tieši,8674
ziņojumā,8671
problēmas,8649
tirdzniecības,8600
vārdā,8486
attīstības,8421
joprojām,8398
iespēju,8376
viens,8366
gadījumā,8280
iespējas,8231
mērķis,8220
jūsu,8165
lisabonas,7877
savienībā,7865
valstīs,7812
klimata,7706
turklāt,7698
līmenī,7646
savienība,7636
pasaules,7636
šeit,7627
cilvēktiesību,7624
attiecas,7574
priekšlikumu,7567
valstis,7551
balsoju,7408
nodrošinātu,7371
šim,7273
tādējādi,7195
savienībai,7112
krīzes,7045
izmantot,6975
gadu,6940
varam,6935
gribētu,6906
lauksaimniecības,6893
iedzīvotāju,6891
atbalsta,6860
pašlaik,6779
ziņojums,6778
veselības,6738
darbības,6727
aizsardzības,6725
savas,6638
pasākumus,6604
padome,6592
ceru,6539
pilnībā,6477
jautājumiem,6448
parlamentā,6415
domāju,6397
panākt,6393
pārtikas,6355
cik,6344
nozīmē,6294
pasākumi,6265
atzinīgi,6243
patiešām,6235
pateikties,6212
tām,6209
viņa,6121
eiropa,6110
noteikti,6089
viņiem,5983
pasaulē,5885
kopienas,5881
komitejas,5875
pilnīgi,5873
veidā,5867
viņš,5851
situāciju,5830
sabiedrības,5821
sistēmu,5774
tiktu,5721
parlamentam,5712
šā,5704
tāpat,5652
mērķi,5630
enerģijas,5625
dalībvalstīs,5543
kopā,5432
visā,5403
kurš,5347
iestādes,5343
šiem,5318
ziņā,5284
vajadzētu,5274
pilsoņu,5241
eiro,5233
palīdzību,5228
iestādēm,5198
kunga,5185
aizsardzību,5100
pirmkārt,5097
uzmanību,5088
iespēja,5060
svarīgs,5058
būtiski,5014
problēmu,5001
citiem,4997
sociālo,4991
cilvēkiem,4953
vienmēr,4890
cilvēki,4870
vēlas,4856
ārkārtīgi,4832
sadarbību,4829
situācija,4829
