word,count
Iepriekšējās,389
sēdes,805
apstiprināšana,725
protokolu,3228
Komiteju,191
delegāciju,506
sastāvs,438
Dokumentu,264
iesniegšana,414
Rakstiskas,824
deklarācijas,1321
Saistībā,980
nostājām,156
rezolūcijām,252
veiktie,282
pasākumi,6173
Padomes,9482
nosūtītie,89
nolīgumu,3859
teksti,148
Lūgumraksti,73
Koplēmuma,61
procedūrā,464
pieņemto,685
tiesību,18454
aktu,5373
parakstīšana,171
Izmeklēšanas,23
komitejas,5787
pagaidu,1325
izveidošana,304
Darba,808
kārtība,798
Nākamās,260
darba,19697
Sēdes,495
slēgšana,413
Zasedání,10
ve,5
atklāšana,278
Lēmums,132
steidzamu,156
procedūru,2393
cilvēktiesību,6324
demokrātijas,2963
tiesiskuma,1204
principu,2704
pārkāpumiem,1189
paziņošana,115
iesniegtajiem,253
rezolūcijas,3002
priekšlikumiem,1561
Regulas,356
EK,1915
Nr,2178
533,1
grozīšana,94
Horvātija,393
balsojums,1966
Protokols,55
tirdzniecības,7892
sadarbības,3816
pamatnolīgumam,13
Korejas,237
pēc,19164
paplašināšanās,912
Maldīvu,4
salu,397
iekļaušana,368
lēmumā,97
ietverto,96
valstu,13688
sarakstā,627
gada,20008
decembra,494
cunami,123
Indijas,488
okeānā,92
attiecībā,25288
uz,96205
preču,1694
pārvadājumiem,346
iekšzemes,581
ūdensceļiem,77
Eiropas,126090
Savienības,20696
pilsonība,92
ziņojums,5984
Sieviešu,506
bērnu,3851
kas,111563
neaizsargāti,93
pret,25235
seksuālo,273
izmantošanu,3246
apkarošanas,601
stratēģijas,3469
Kopienas,5080
aviācijas,883
ārējās,768
programmas,3209
attīstīšana,95
Attiecības,50
Krieviju,1567
Ķīnu,834
gaisa,2265
satiksmes,1385
jomā,16849
présent,9
première,1
séance,31
année,1
Balsojumu,423
labojumi,301
reprise,11
15h05,2
zamknięte,13
Finanšu,718
plāns,1281
Ierobežojoši,4
konkrētām,328
personām,1173
tur,1888
aizdomās,235
dalību,515
Rafiq,1
slepkavībā,16
Ieguves,6
rūpniecības,2056
atkritumu,1466
apsaimniekošana,101
Peldvietu,1
ūdeņi,22
Orhūsas,26
noteikumu,2908
piemērošanu,1378
iestādēm,5177
struktūrām,434
Eiropā,9548
Klimata,497
pārmaiņas,2813
Ilgtspējīgas,35
attīstības,7769
aspekti,1211
levanta,15
kopējo,1871
nostāju,3349
Sabiedrības,96
sabrukums,87
Iespējamā,19
veiktā,157
izmantošana,1629
lai,84231
pārvadātu,16
nelikumīgi,340
turētu,30
apcietinājumā,174
gūstekņus,23
deputātu,2100
Rīcības,262
kodekss,172
uzņēmumu,4057
hartas,414
īstenošana,1270
Cukura,10
tirgu,3653
kopīgā,288
organizācija,718
Lauksaimnieku,22
atbalsta,6817
cukurs,7
Čečenija,4
vēlēšanām,1092
pilsoniskā,185
sabiedrība,1308
Krievijā,510
Lisabonas,7877
nākotne,628
saistībā,13027
dzimumu,1569
līdztiesību,544
Pilnvaru,47
pārbaude,392
Peru,62
bijušā,116
tiesāšana,12
izraidīšana,37
Invaliditāte,2
attīstība,1741
esto,1
Lēmumi,137
atsevišķiem,494
dokumentiem,749
Sēdē,97
nosūtīšana,131
Nākamo,149
sēžu,593
datumi,127
Apropriāciju,79
pārvietojumi,81
23h25,2
aperta,10
Sociālās,117
jomas,2176
autotransporta,329
darbībām,1098
saskaņošana,469
autotransportu,50
vīriešu,826
vienlīdzība,125
Savienībā,7771
direktīvas,3355
piemērošana,614
Vidusjūras,1887
zivju,958
resursi,1036
Sesijas,158
pārtraukšana,240
européen,7
začalo,3
Atjaunotās,4
riepas,35
Transportlīdzekļu,10
mehānisko,134
sakabes,2
ierīču,104
Žāvētās,1
rupjās,3
lopbarības,167
tirgus,10784
Divu,42
regulu,1339
atcelšana,430
monetārās,544
Vietējā,21
pierobežas,137
satiksme,100
dalībvalstu,10870
ārējām,369
sauszemes,275
robežām,1378
Nolīgums,262
partnerattiecībām,133
starp,14568
Kopienu,1061
Zālamana,27
Salām,2
zveju,269
Salu,88
ūdeņos,329
Grieķijas,1285
varasiestāžu,4
automašīnu,360
konfiskācija,6
ņēmēju,1779
pakļaušana,25
optiskajam,1
starojumam,3
Globalizācijas,811
ietekme,2640
iekšējo,1097
Atjaunīgās,10
enerģijas,5483
avotu,798
apsildē,2
dzesēšanā,5
Balsošanas,339
concerning,1
suspended,6
resumed,6
Labojumi,2
iepriekšējo,577
balsojumos,34
dispečera,1
encerrada,1
Stratēģiskās,11
vadlīnijas,132
attīstībai,1985
g,195
Jaunais,182
finanšu,14924
mehānisms,839
Tūkstošgades,490
mērķu,1828
ietvaros,1333
Situācija,385
Baltkrievijā,452
martā,975
Risku,7
krīžu,315
pārvaldība,794
lauksaimniecībā,408
mežsaimniecības,222
debates,6257
Kultūras,355
mantojums,162
Azerbaidžānā,56
Ciò,7
iekļautas,576
reģistrā,143
Dichiaro,6
interrotta,5
sessione,6
Deputāta,12
mandāts,124
Tirgus,115
pieeja,2672
pakalpojumiem,1603
izbeigšana,42
Pasākumi,92
Gadskārtējās,14
Declaro,2
cerrado,2
sesiones,2
Cīņa,163
futbolā,23
rakstiska,62
deklarācija,271
Ukrainu,568
dažiem,1875
pakalpojumu,3862
aspektiem,1476
Garantiju,14
ārējai,67
darbībai,543
Akciju,8
sabiedrību,1759
veidošana,230
kapitāls,143
Dzimumu,115
līdztiesības,840
institūts,127
Pārvietošanās,19
reģionālās,918
kontekstā,1749
stratēģija,2316
dzīvsudrabu,38
Informācijas,289
izaugsmei,590
nodarbinātībai,352
Heure,8
turpinājums,147
notre,1
nodomi,371
balsot,1966
Mikronēzijas,2
Federatīvajām,2
Valstīm,1041
zvejas,1493
licencēs,1
apcietināšanas,352
ordera,98
izvērtēšana,68
Cilvektiesību,1
situācija,4444
Čadā,175
Piespiedu,17
prostitūcija,35
pasaules,6146
notikumu,672
laikā,15354
Sociālā,324
aizsardzība,2169
sociālā,2068
integrācija,503
videi,1687
draudzīgākie,1
paņēmieni,33
Izmaiņas,32
kārtībā,1372
Lauksaimniecības,831
produktu,2805
pārtikas,5864
ģeogrāfiskās,180
izcelsmes,1728
norāžu,105
cilmes,109
vietu,1942
nosaukumu,429
Gatavošanas,1
sanāksmei,347
bioloģisko,377
dažādību,208
drošību,4222
Brazīlija,205
iesniegšanas,188
termiņi,137
Cilvēktiesības,101
Moldovā,101
īpaši,21443
Piedņestrā,33
Nesodāmība,5
Āfrikā,593
Hissène,1
Habré,1
Juridiskās,212
vispārēja,303
interese,214
sistēmu,5766
darbību,3810
iesniegtie,245
rezolūciju,3809
priekšlikumi,1583
Sitzung,21
um,21
Uhr,21
eröffnet,11
Apstiprinātu,3
labdarības,59
organizāciju,1317
apgāde,35
vistrūcīgākajiem,35
iedzīvotājiem,4758
paredzētās,229
palīdzības,3214
īstenošanai,1141
Politisko,90
grupu,2551
Vieglo,4
automobiļu,1210
piekabju,23
riteņi,2
Mehānisko,26
transportlīdzekļu,834
adaptīvo,2
priekšējā,5
apgaismojuma,10
reģiona,3481
nolīgumam,493
Izraēlas,1087
Valsti,30
Dānijas,261
nolīgums,2189
jurisdikciju,105
spriedumu,373
atzīšanu,564
izpildi,1041
civillietās,48
komerclietās,31
līgumtiesības,36
pārskatīšana,498
turpmākā,262
virzība,340
Kotonū,192
nolīguma,2132
pārskats,379
paredzēto,484
līdzekļu,4263
apjoma,757
fiksēšana,2
Kultūraugu,2
veicināšana,662
mērķiem,2788
saistīti,2028
pārtiku,1178
sesiju,232
kalendārs,26
Diabēts,2
rakstiskas,212
bēgļu,974
nometnēs,153
Maltā,93
Dabas,69
ugunsgrēki,161
plūdi,231
sausums,77
Reģionālās,562
Pieprasījums,127
aizstāvēt,822
deputāta,503
imunitāti,237
Pamatnostādnes,19
enerģētikas,4326
tīkliem,340
Dalībvalstu,278
nodarbinātības,2584
pamatnostādnes,927
sanāksmju,172
atklātums,8
gadījumos,2861
tā,41465
darbojas,2224
kā,73315
likumdevējs,87
Piekļuve,46
iestāžu,4482
Ekonomikas,1513
vispārējās,525
gadam,4686
To,2327
koordinatoru,147
kopīga,593
ko,40047
aizsardzības,6640
iestādes,5308
norīkojušas,1
darbā,1902
ārzemēs,196
galvaspilsētas,102
tem,2
10h00,2
imunitāte,48
Vienkāršots,3
režīms,632
balstīts,163
dažu,1453
Šveices,227
Lihtenšteinas,71
izdotu,29
uzturēšanās,495
atļauju,805
vienpusēju,76
dalībvalstīs,5499
teritorijā,1446
ārkārtas,1335
putnkopības,11
joma,1167
Izplūdes,1
kondicionēšanas,12
sistēmām,1005
ombuda,356
īpašais,143
sūdzību,401
skolām,182
Pasaules,1490
veselības,6389
ĀKK,815
Apvienotās,1097
parlamentārās,374
asamblejas,332
darbs,2621
gadā,10157
Palīdzības,50
efektivitāte,417
jaunattīstības,2420
valstīs,7371
Damit,4
Dārfūra,5
Irāka,76
asīriešu,7
kopiena,324
cietumos,166
16h50,1
delegācijas,515
D14,1
nosaukums,237
pieaugušu,11
liellopu,247
liemeņu,2
klasificēšanai,20
ražošanas,3043
konkurences,2077
noteikumi,3653
Solidaritātes,717
fonda,2633
mobilizēšana,21
Budžeta,1232
grozījumu,3069
Hlorfluorogļūdeņražu,1
kvotu,1080
piešķiršana,312
jaunajām,1031
dalībvalstīm,10703
Tropisko,3
tunzivju,213
atbalstam,1191
izpausmju,25
daudzveidības,701
aizsardzību,5096
veicināšanu,746
Izdevumi,22
veterinārijas,20
Akvakultūras,4
dzīvniekiem,404
produktiem,1346
izvirzītās,79
veterinārsanitārās,1
prasības,2728
Pāreja,30
analogās,8
radioapraides,2
digitālo,209
radioapraidi,3
iespēja,4994
audiovizuālajai,8
politikai,2092
daudzveidībai,86
Mauritānijas,137
Islāma,129
Republikas,948
sadarbību,4824
zvejniecības,465
nozarē,3804
vispārējā,585
budžeta,8011
izpildes,1591
iedaļa,171
Padome,5908
Revīzijas,1458
palāta,658
sociālo,4823
lietu,2269
komiteja,2430
ombuds,153
uzraudzītājs,30
Attītības,1
Attīstības,652
arodizglītības,12
Dzīves,53
apstākļu,691
uzlabošanas,264
Rekonstrukcijas,58
aģentūra,675
Rasisma,19
ksenofobijas,81
uzraudzības,2224
Narkotiku,105
toksikomānijas,1
Vides,907
Aģentūra,53
drošībai,628
aizsardzībai,1099
Tulkošanas,24
Zāļu,111
Eurojust,209
Izglītības,128
Jūras,217
drošības,7955
Aviācijas,150
Pārtikas,491
nekaitīguma,711
iestāde,881
Ceļu,58
drošība,1355
sistēma,3616
neaizskaramību,92
Finansiālo,14
interešu,1222
τη,3
της,3
συνεδρίαση,10
λήγει,4
στις,10
μ,14
Rīsu,1
importēšanas,15
Atbalsts,124
šķiedras,37
linu,7
kaņepju,7
apstrādei,42
Albānijas,191
Serbiju,244
Melnkalni,79
Bijušo,53
Dienvidslāvijas,499
Maķedonijas,458
Rumāniju,212
Moldovas,621
Karalisti,162
Protokola,95
pagarināšana,100
Santomi,10
Prinsipi,34
Pakalpojumu,372
sniegšanas,297
vieta,739
PVN,842
atcelt,832
Uzturvērtības,4
veselīguma,52
norādes,323
Vitamīnu,2
minerālvielu,8
vielu,854
pievienošana,34
pārtikai,125
partnerattiecību,815
zivsaimniecības,2102
piemērošanas,819
pārraudzība,125
Spēkā,41
esošo,970
iekšējā,2162
ieviešana,908
Normatīvās,5
vienkāršošanas,209
Centrālās,418
locekļa,100
iecelšana,127
Pievienošanās,119
Ženēvas,201
aktam,102
rūpniecisko,158
dizainparaugu,19
starptautisko,2013
reģistrāciju,70
stātos,199
spēkā,4264
pievienošanās,1539
Iestāžu,183
disciplīnu,178
pareizu,544
pārvaldību,1805
Kravu,30
autopārvadājumu,91
ekoloģisko,127
īpašību,53
uzlabošana,495
Polo,49
Konkrētu,9
pārnēsājamu,2
sūkļveida,17
encefalopātu,2
profilakses,254
izskaušanas,141
standartizācijas,136
finansējums,1277
αρχίζει,5
grozījuma,451
Kohēzijas,487
politika,5808
izaugsmes,2217
darbavietu,1586
līdz,14990
ekonomiskās,2732
finansēšanas,779
Enerģētikas,277
kopienas,801
līguma,3371
noslēgšana,161
budžets,1406
Dienvidaustrumeiropas,28
līgums,2208
Nepāla,15
Taivāna,73
Tím,2
hlasování,2
ukončeno,2
Humanitārā,19
krīze,3559
palestīniešu,357
teritorijās,702
Uzņēmumu,119
reģistru,226
statistikas,765
vajadzībām,1630
Jauninājumu,11
konkurētspējas,850
pamatprogramma,115
Pediatrijā,2
lietojamās,6
zāles,505
Vienlīdzīgas,28
iespējas,8202
attieksme,900
vīriešiem,771
sievietēm,3107
jautājumos,2375
regulas,1843
piemēro,835
vispārējam,80
budžetam,343
īstenošanas,1654
Aizliegumi,6
uzliek,276
spriedumi,96
noziedzīgiem,21
nodarījumiem,36
bērniem,1784
Humanitāra,2
ieņēmumu,301
izdevumu,1035
tāme,14
Tirdzniecības,708
maksimāli,500
veicinātu,2337
ieguldījumu,4518
nabadzības,1771
apkarošanā,332
Energoefektivitāte,56
Zaļā,158
grāmata,229
Parlamentāro,22
Bulgārijas,710
Rumānijas,988
pielāgošana,79
attīstību,4298
pielikuma,73
Bosniju,113
Alpu,48
lauksaimniecību,638
kalnos,23
Gruntsūdeņu,12
piesārņojumu,419
Telpiskās,2
informācijas,4073
Kopienā,298
Plūdu,20
riska,1351
novērtējums,681
rīkojums,62
notiesāto,19
nodošana,140
narkomānijas,97
Gatavība,3
pandēmijai,8
reaģēšanas,308
pasākumu,3832
plānošana,161
Tiesas,587
septembra,306
sprieduma,144
Padomi,2518
Komisiju,4685
nosaukumi,41
interpretēšana,9
Datu,162
sniegšana,184
krastā,107
izkrautajiem,2
Vienotās,47
valūtas,561
Slovēnijā,92
janvārī,884
Krievijas,2581
sammits,87
Kājnieku,4
ieroči,106
vilcienu,180
dzelzceļu,299
pārvaldības,2475
signalizācijas,9
cīņa,872
krāpšanu,307
Ziemeļkoreja,21
Cilvēktiesību,1300
pārkāpumi,602
novērotāji,116
apspriesties,114
komiteju,1010
Struktūrpolitikas,5
kohēzijai,143
Reģionu,179
Transnacionālā,2
organizētā,93
noziedzība,140
nelikumīga,145
ievešana,20
cilvēku,9286
tirdzniecība,1036
Kā,7445
piemērot,1766
Konvenciju,321
Baterijas,4
akumulatori,7
bateriju,32
akumulatoru,18
atkritumi,143
Sociālais,131
teritoriālās,372
grupa,3972
ETSG,41
ārpustiesas,40
civillietu,22
komerclietu,5
dokumentu,1942
izsniegšana,35
vispārīgi,165
izveide,950
Kabotāža,5
līgumreisu,1
kuģu,1298
pakalpojumi,635
pašu,3323
resursu,2287
Jaunākās,14
izmaiņas,1777
perspektīvas,591
uzņēmējdarbības,1561
tiesībās,159
Policijas,146
pārrobežu,2082
pastiprināšana,86
starptautiskos,424
pasākumos,466
Tehniskās,15
ūdensceļu,92
kuģiem,475
Pētniecības,172
inovācijas,909
sekmēšana,45
ieguldījums,1194
apstrādes,210
rūpniecība,390
ceļā,1359
integrētāku,22
pieeju,3130
Starpvalstu,6
adopcija,43
Rumānijā,529
iekasēšana,16
krāpšanas,422
ari,16
nodokļu,4333
nemaksāšanas,28
apkarošana,328
Karību,303
partnerība,466
stabilitātei,235
kaimiņattiecību,893
partnerības,1087
Stabilitātes,791
Pirmspievienošanās,27
piešķirtās,166
ieviešanas,639
pilnvaras,2284
Savstarpējas,13
informēšanas,138
patvēruma,1664
imigrācijas,1280
Grozījumi,75
protokolā,203
privilēģijām,51
reorganizācijas,11
sociālās,3571
pārtveršana,5
pārskaitījumos,1
veic,1587
amerikāņu,157
slepenie,27
dienesti,357
Stratēģija,145
līdzekļi,2373
integrācijai,366
Attīstība,21
migrācija,234
Godīga,13
rīkoties,2547
Vārda,53
brīvība,1451
internetā,641
grafiks,148
projektu,3055
Schůze,1
skončila,1
Mežu,53
