word,count
ë,203764
é,71779
ï,29952
ó,22489
ö,20641
è,5364
á,5192
ü,4240
í,2617
ä,1775
ê,1701
à,1665
š,943
ú,928
ç,678
č,655
ñ,492
ò,408
ß,382
ã,377
ø,322
æ,289
ă,274
ń,267
ş,255
ł,238
ő,213
ć,205
ė,162
ţ,144
ž,118
å,113
ô,100
â,96
ś,86
ĳ,82
ę,81
ý,79
ň,72
ľ,59
ū,51
ī,49
ř,49
α,47
ì,41
ğ,41
_,40
ε,34
º,33
ι,32
β,31
ù,29
а,29
û,28
²,28
ο,26
õ,21
ρ,21
ν,21
ʼ,20
е,20
½,18
ź,18
î,18
τ,18
ż,17
о,16
т,15
η,15
ą,13
σ,13
đ,13
κ,12
ě,11
μ,11
н,11
р,10
ǔ,10
δ,10
к,9
υ,9
ί,8
в,8
с,8
и,8
µ,8
ǎ,8
ς,8
π,8
χ,7
ť,7
ķ,7
ı,7
ά,6
λ,6
д,6
³,5
л,5
ό,5
έ,5
ή,5
м,5
þ,4
й,4
¹,4
ģ,4
з,4
ш,4
œ,4
п,4
і,3
я,3
ē,3
ņ,3
ч,3
у,3
ð,2
ъ,2
ď,2
ā,2
ω,2
ů,2
ų,2
г,2
ĉ,2
б,2
ё,2
ώ,2
ύ,2
γ,2
ь,2
ʺ,2
є,2
ю,1
ї,1
ļ,1
ű,1
i̇,1
ǐ,1
φ,1
ŵ,1
ζ,1
ξ,1
ж,1
ы,1
ʻ,1
ș,1
ō,1
ψ,1
į,1
