letter,count
ë,203758
é,71658
í,2594
á,4940
ó,22404
ï,29950
ä,1774
ü,4205
ö,20130
à,1663
è,5360
ø,313
ê,1701
ã,377
ô,100
ç,625
Á,252
æ,289
½,18
ò,404
û,28
ñ,492
Ö,511
ú,926
É,121
º,33
²,28
³,5
ì,41
Å,43
ß,382
Ø,9
å,70
ù,29
Ü,35
â,95
Ò,4
î,15
À,2
Ç,53
Ï,2
_,40
õ,20
ý,75
Ý,4
ð,2
þ,4
Ó,85
Í,23
Α,33
Η,1
Â,1
ă,274
ć,204
š,437
č,618
ο,16
ι,16
κ,7
α,14
ρ,20
ί,8
υ,6
μ,10
ε,17
ν,10
τ,15
ś,70
ł,226
ę,81
ż,14
Ś,16
ő,134
ń,267
Š,506
ė,162
Ε,17
Č,37
Ν,11
Ο,10
Ž,47
ğ,41
Ż,3
Є,1
в,8
р,10
о,14
п,3
е,19
й,4
с,8
ъ,2
к,9
и,8
а,26
л,5
м,4
н,9
т,14
і,3
є,1
д,5
ю,1
У,1
ї,1
ď,2
ľ,57
ļ,1
β,23
ā,2
ř,47
Ő,79
ň,72
ž,71
¹,4
ū,51
ī,49
Δ,1
δ,9
η,14
χ,7
ά,6
ω,2
ů,2
ź,18
Ģ,4
ť,7
ű,1
ą,13
ş,243
ě,11
ĳ,80
Î,3
ǔ,10
Ú,2
Ş,12
ų,2
µ,8
İ,1
ķ,7
Н,2
з,4
я,3
г,2
ĉ,2
б,2
ţ,43
Д,1
ш,4
Β,8
ı,7
Ι,16
Đ,12
Ţ,101
Κ,5
ǎ,8
œ,4
А,3
Õ,1
Е,1
О,2
Ł,12
Ľ,2
ё,2
Ĳ,2
Ρ,1
Ř,2
Ë,6
М,1
ē,3
ņ,3
ǐ,1
È,4
σ,13
ώ,2
ύ,2
Π,2
ό,5
έ,5
φ,1
λ,6
ς,8
đ,1
Τ,3
ŵ,1
ζ,1
ή,5
γ,2
ξ,1
Μ,1
ч,3
у,2
ж,1
П,1
Т,1
ы,1
ь,2
Ć,1
ʻ,1
ș,1
ō,1
ʺ,2
ψ,1
Υ,3
π,6
į,1
Ä,1
ʼ,20
