letter,count
ë,203758
é,71658
í,2594
á,4940
ó,22404
ï,29950
ä,1774
ü,4205
ö,20130
à,1663
è,5360
ø,313
ê,1701
ã,377
ô,100
ç,625
Á,252
æ,289
½,18
ò,404
ñ,492
Ö,511
ú,926
É,121
º,33
²,28
³,5
ì,41
Å,43
ß,382
Ø,9
ù,29
Ü,35
â,95
À,2
_,40
õ,20
ý,75
Ó,85
Í,23
Α,33
Η,1
ă,274
ć,204
š,437
č,618
ο,16
ι,16
κ,7
α,14
ρ,20
ί,8
υ,6
μ,10
ε,17
ν,10
τ,15
ś,70
ł,226
ę,81
ż,14
Ś,16
ő,134
ń,267
Š,506
ė,162
Ε,17
Č,37
Ν,11
Ο,10
Ž,47
ğ,41
Ż,3
Є,1
а,26
і,3
є,1
ї,1
ľ,57
β,23
ā,2
ř,47
Ő,79
ň,72
ž,71
ū,51
ī,49
δ,9
η,14
χ,7
ά,6
ź,18
ť,7
ű,1
ą,13
ş,243
ě,11
Î,3
ǔ,10
Ş,12
ţ,43
Β,8
ı,7
Ι,16
Đ,12
Ţ,101
Κ,5
ǎ,8
œ,4
Õ,1
Ł,12
Ľ,2
ё,2
Ĳ,2
Ř,2
Ë,6
М,1
ē,3
ņ,3
ǐ,1
σ,13
ώ,2
ύ,2
Π,2
ό,5
έ,5
φ,1
λ,6
ς,8
Τ,3
ŵ,1
ή,5
γ,2
у,2
Ć,1
ʻ,1
ʺ,2
ψ,1
Υ,3
π,6
į,1
Ä,1
ʼ,20
