word,count
ook,310850
commissie,236371
moet,157632
bij,148513
zich,109192
zoals,86811
zullen,79372
willen,78573
alleen,75101
mevrouw,69941
daarom,66671
jaar,65165
tussen,64762
omdat,60997
eerste,54950
voorstel,52042
goed,51638
komen,49831
gaan,49583
daar,48022
eens,47099
burgers,46632
aantal,46388
grote,46298
duidelijk,46232
gebied,46220
zeggen,45462
politieke,44438
steun,44395
belangrijk,42166
vraag,41760
betreft,41040
plaats,40754
twee,40627
nodig,40438
laten,38789
ontwikkeling,38771
situatie,38018
geven,37988
zorgen,37955
belangrijke,37176
financiële,35579
verdrag,35198
richtlijn,35080
steeds,34913
vandaag,34890
samenwerking,34273
waarin,33980
uw,33677
vooral,33488
betrekking,33396
houden,32634
goede,32586
inzake,31664
zien,31137
gezegd,30893
probleem,30698
brengen,29687
krijgen,29379
denk,29359
voorstellen,29330
namelijk,29290
middelen,29215
amendementen,29206
verschillende,29124
blijven,28578
vragen,28574
toekomst,28473
tijdens,28414
verder,28364
feit,27934
graag,27732
voorzitterschap,27256
rechten,27209
toch,26778
weten,26463
wereld,26068
huidige,26006
wanneer,25885
gebruik,25366
volgens,25364
vrouwen,25254
natuurlijk,24897
zelfs,24687
onderzoek,24332
mensenrechten,24298
één,24143
derde,24143
zowel,23965
bijzonder,23895
bescherming,23771
bijvoorbeeld,23651
veiligheid,23028
gedaan,22964
bepaalde,22964
instellingen,22651
standpunt,22616
aandacht,22605
wijze,22565
gemaakt,22409
wetgeving,22277
ervan,22168
zodat,21977
begroting,21932
weet,21759
ervoor,21703
slechts,21433
verenigde,21359
zeker,21336
gemeenschappelijk,21241
resolutie,20936
drie,20790
gevolgen,20757
rekening,20427
weer,20324
laatste,20233
bovendien,20074
overeenkomst,19938
volledig,19850
waarop,19703
miljoen,19437
gezien,19321
heren,19271
gemeenschappelijke,19049
gesteld,18905
volgende,18807
aangezien,18651
zaak,18514
oplossing,18503
gemeenschap,18430
onderhandelingen,18322
dergelijke,18213
waarmee,18199
doelstellingen,18176
jaren,18079
immers,17875
stemmen,17849
betekent,17842
gestemd,17806
samen,17756
juist,17611
bestaat,17330
schriftelijk,17276
dames,17205
verordening,17148
geachte,17009
geweest,16927
besluit,16892
waarom,16859
erop,16794
voeren,16770
elkaar,16748
vormen,16715
allemaal,16567
gebieden,16447
antwoord,16283
misschien,16186
iedereen,16164
terwijl,16152
belangrijkste,16140
waarbij,16114
gehouden,15957
zetten,15940
systeem,15900
afgelopen,15805
wijzen,15754
betrokken,15727
bedrijven,15714
politiek,15699
daarbij,15593
