word,count
Hervatting,230
van,2216114
de,3918777
zitting,2813
verklaar,741
Europees,88478
Parlement,151519
die,523517
op,583879
vrijdag,1117
17,3486
december,7271
onderbroken,3112
te,782367
hervat,1621
wens,6315
allen,9094
een,1040071
gelukkig,2169
nieuwjaar,55
en,1443754
goede,32326
vakantie,371
gehad,8047
Zoals,16499
constateren,2074
is,750370
grote,45709
millenniumbug,12
uitgebleven,70
De,253473
burgers,46362
aantal,46358
daarentegen,2686
door,173043
verschrikkelijke,1161
natuurrampen,1255
U,13847
aangegeven,4508
deze,247710
vergaderperiode,1453
debat,43745
wilt,2634
over,261693
Nu,9452
ik,324779
graag,27093
verzoek,14415
s,89599
minuut,1577
stilte,640
in,998840
ter,33311
nagedachtenis,277
slachtoffers,6575
doel,20707
hiermee,4899
met,458580
noodweer,83
verschillende,28677
geteisterd,353
vragen,28401
staande,789
Het,216796
neemt,9575
Mevrouw,29226
motie,2246
orde,19849
stellen,41508
zult,4624
via,15918
vernomen,786
zich,109153
bomexplosies,2
schietpartijen,14
voorgedaan,1349
mensen,45654
recent,765
vermoord,1001
Kumar,1
Ponnambalam,1
maanden,11273
geleden,13752
bezoek,3078
bracht,786
aan,360759
mevrouw,40715
wellicht,5802
schrijven,1911
President,713
waarin,33943
laat,10672
weten,26398
moord,1363
overige,3077
brute,282
moorden,663
diep,1178
betreuren,2269
haar,55655
oproept,654
al,99959
nodige,7297
doen,52447
om,410223
moeilijke,4945
situatie,37767
vreedzame,2565
tot,199386
verzoening,1148
komen,49791
mijnheer,31876
Evans,470
dergelijk,4709
initiatief,12614
gepast,857
ermee,3256
instemt,516
geef,2593
gevolg,12911
uw,32060
suggestie,823
vraag,39709
advies,7070
artikel,19538
143,103
Reglement,7058
betrekking,33396
niet,411612
ontvankelijkheid,194
Mijn,10475
betreft,38378
zaak,18487
voor,628096
donderdag,1908
waarop,19655
dan,134541
opnieuw,14446
zal,132332
ingaan,4946
verslag,110760
Cunha,314
meerjarige,400
oriëntatieprogramma,142
vissersvloot,208
besproken,4734
In,86262
6,5959
dit,277402
voorgesteld,11663
soort,12541
strafkorting,4
vangstquota,94
houden,32608
jaarlijkse,2239
doelstellingen,18156
vlootinkrimping,2
Dit,61137
gebeuren,7068
weerwil,380
beginsel,7717
relatieve,528
stabiliteit,7143
Naar,5481
grondbeginsel,231
gemeenschappelijk,20872
visserijbeleid,2479
voorstel,51900
ondermijnen,1172
juridisch,3577
ontvankelijk,459
of,129218
bezwaar,1647
kan,120283
ingebracht,199
ontwerpwetgevingsvoorstel,2
aanstaande,1622
