word,count
ł,927837
ą,877144
ę,830947
ż,751500
ó,739922
ś,547808
ć,428896
ń,198407
ź,35659
á,1669
é,1410
ö,1149
ü,712
š,632
è,531
č,476
í,475
ä,408
ú,370
ă,267
ş,213
ç,192
ß,145
ő,141
à,138
ţ,125
ê,121
ø,120
ã,103
ė,103
ñ,88
â,74
α,72
ň,64
_,60
ι,59
ğ,58
ž,56
ū,49
ε,49
ο,48
σ,43
ý,43
ρ,42
ř,42
ν,42
τ,41
ï,34
η,31
υ,28
ľ,26
μ,26
ί,20
δ,19
ò,18
ς,17
π,17
κ,17
ī,16
β,16
λ,14
º,14
đ,14
а,11
ή,10
ë,10
о,10
å,10
ώ,10
φ,9
έ,9
χ,9
ω,8
ό,8
ǎ,8
е,8
т,8
²,7
ě,7
ô,7
н,7
ύ,6
ı,6
û,6
æ,6
с,6
ξ,5
γ,5
ζ,5
î,5
ť,5
ǐ,4
в,4
и,4
р,4
ψ,4
œ,3
ķ,3
ņ,3
ч,3
ш,3
к,3
л,3
ά,3
ϊ,2
õ,2
ģ,2
ē,2
⅔,2
ď,2
¼,2
у,2
й,2
з,2
я,2
ь,2
п,2
ů,1
¹,1
ű,1
³,1
ĉ,1
ù,1
ˇ,1
¾,1
ŵ,1
ì,1
ж,1
м,1
г,1
д,1
ы,1
ā,1
ð,1
ō,1
⅓,1
