word,count
że,159878
oraz,48376
które,46700
przez,45308
tego,43514
europejskiej,36508
również,32868
sprawie,29746
komisji,28267
bardzo,26680
czy,26071
być,26034
będzie,25461
musimy,23783
państwa,22755
ponieważ,21373
może,21346
tylko,20139
który,20052
państw,19610
dlatego,19449
praw,18742
należy,18722
już,18188
członkowskich,18109
też,17045
polityki,16882
chciałbym,16777
pracy,16425
która,16352
sposób,15898
wszystkich,15395
zakresie,15093
rzecz,14830
europejska,14664
lub,14507
jeśli,14225
których,13827
działania,13628
prawa,13338
europy,12861
bardziej,12714
bezpieczeństwa,12695
sprawozdania,12596
członkowskie,12535
sprawozdanie,12411
między,12195
rozwoju,12107
wiele,12068
obywateli,12055
będą,12033
rynku,12022
człowieka,11859
jeżeli,11846
środków,11767
przewodnicząca,11753
którzy,11681
jeszcze,11583
obecnie,11485
przed,11277
kwestii,11259
możemy,10984
działań,10861
europie,10684
można,10675
uwagę,10621
sytuacji,10621
poseł,10574
ramach,10296
wszystkim,10263
chodzi,10203
naszych,10202
europejski,10066
grupy,10054
strony,10052
innych,9991
powinniśmy,9872
sobie,9859
ważne,9854
mają,9787
dotyczące,9760
związku,9684
gdy,9562
piśmie,9557
mogą,9479
wielu,9367
przypadku,9303
krajów,9270
osób,9249
oczywiście,9217
jestem,9176
współpracy,9111
europejskich,9097
przy,8977
którym,8961
nadzieję,8845
niż,8803
poprzez,8745
komisarz,8711
muszą,8681
której,8648
wszystkie,8598
panowie,8564
szczególnie,8546
właśnie,8525
podczas,8498
nawet,8432
państwo,8363
środki,8336
powiedzieć,8274
moim,8235
było,8192
imieniu,8166
znaczenie,8125
pomocy,7990
przykład,7916
dotyczących,7893
powinna,7873
chciałabym,7868
będziemy,7857
więcej,7854
europejskim,7825
odniesieniu,7816
stanowi,7750
sprawozdaniu,7628
takich,7614
nasze,7576
kiedy,7479
jakie,7454
zwłaszcza,7415
lecz,7386
dziś,7316
europejską,7311
pomiędzy,7258
tę,7236
wobec,7157
dziedzinie,7134
kryzysu,7116
zapewnić,7098
przyjęciem,7016
powinny,6955
zarówno,6954
nowych,6945
ludzi,6824
rezolucji,6793
zgodnie,6784
komisję,6761
przyszłości,6717
przede,6653
szczeblu,6651
kobiet,6628
możliwości,6584
zdaniem,6573
dzięki,6496
szczególności,6472
traktatu,6398
względu,6382
państwach,6366
mieć,6361
podziękować,6348
jedynie,6299
więc,6291
dotyczy,6280
iż,6232
posła,6187
ponadto,6185
naszej,6141
dyrektywy,6112
krajach,6105
pragnę,6077
wniosek,6064
wszyscy,5975
stanie,5959
informacji,5926
finansowych,5863
którego,5832
była,5825
mnie,5821
jesteśmy,5770
oznacza,5667
celów,5650
swoje,5641
zmiany,5637
życie,5606
świecie,5586
naszym,5579
dzieci,5563
pracowników,5493
były,5467
którą,5457
