word,count
Zatwierdzenie,214
protokołu,989
poprzedniego,555
Skład,333
komisji,2751
delegacji,916
Składanie,253
dokumentów,1536
Oświadczenia,1136
pisemne,1305
art,4022
Regulaminu,1929
Działania,573
podjęte,1039
wyniku,2766
stanowisk,625
rezolucji,6788
Teksty,93
porozumień,833
przekazane,306
przez,44638
Radę,2466
Petycje,73
Podpisanie,114
aktów,942
przyjętych,794
trybie,429
współdecyzji,435
Utworzenie,142
śledczej,34
tymczasowej,227
obrad,1454
ve,5
Otwarcie,287
Decyzja,356
pilnym,218
Debaty,117
temat,10539
przypadków,1258
łamania,551
praw,16557
człowieka,10960
demokracji,4164
państwa,20608
prawa,13038
ogłoszenie,176
złożonych,470
projektów,2468
Zmiana,232
rozporządzenia,3562
WE,1825
533,1
Chorwacja,405
Protokół,118
Umowy,307
ramowej,505
współpracy,8793
Republiką,405
Umieszczenie,11
Malediwów,8
liście,475
państw,19345
dotkniętych,446
Oceanie,54
Indyjskim,31
grudniu,727
Statystyki,105
dotyczące,9759
towarów,1700
wodami,61
śródlądowymi,46
Obywatelstwo,14
czwarte,447
sprawozdanie,9859
Strategie,34
zwalczania,1803
kobietami,309
dziećmi,605
narażonymi,13
wykorzystywanie,587
seksualne,193
Wspólnotowa,29
polityka,4176
zewnętrzna,67
zakresie,15093
lotnictwa,492
Stosunki,158
UE,37856
Chiny,1383
lotniczego,582
terminé,8
première,1
année,1
Korekty,263
suspendue,11
12h35,2
Perspektywa,39
finansowa,375
Środki,531
ograniczające,107
skierowane,540
przeciwko,4823
osobom,1069
podejrzanym,20
udział,2315
zabójstwie,17
Haririego,3
Gospodarowanie,3
odpadami,358
przemysłu,2394
wydobywczego,26
Wody,24
kąpieliskach,2
Zastosowanie,56
Konwencji,460
instytucji,3934
organów,1389
Wspólnoty,1899
Homofobia,4
Europie,10682
Zmiany,311
klimatyczne,634
Środowiskowe,1
zrównoważonego,1825
rozwoju,10443
sospesa,13
ripresa,13
kolejnej,414
miesięcznej,146
levanta,15
Komunikat,169
nt,59
wspólnych,2119
Upadek,22
spółki,529
Domniemane,5
wykorzystanie,1502
europejskich,8404
CIA,157
nielegalnego,320
przetrzymywania,114
więźniów,719
postępowania,1401
posłów,4435
zmiana,1119
Wdrażanie,53
Europejskiej,29636
Małych,17
Przedsiębiorstw,22
WOR,19
sektorze,3379
Systemy,102
wsparcia,4079
dla,56352
rolników,1703
cukier,36
Czeczenia,4
po,19131
wyborach,932
oraz,48367
społeczeństwo,1303
obywatelskie,460
Rosji,2010
Przyszłość,121
Lizbońskiej,9
punktu,3499
widzenia,3230
równouprawnienia,353
płci,1257
Ώρα,4
των,4
ψηφοφοριών,3
έληξε,4
Weryfikacja,44
pełnomocnictw,27
przypadkami,204
zasad,3964
praworządności,497
Peru,53
