word,count
ã,3069444
ç,2307137
á,1251623
é,1218466
í,1014622
õ,641664
ó,573430
ê,418436
à,413199
ú,279459
â,147335
º,40538
ô,20064
ö,5654
ü,2567
ä,1824
è,1486
ª,1477
š,976
č,643
ñ,485
ï,407
ß,350
ş,349
ń,320
ă,317
ò,316
ø,314
å,256
æ,251
ł,247
ő,216
ć,188
ė,168
α,144
ţ,138
ž,122
ο,96
ν,95
τ,94
ę,85
ğ,85
ý,79
ň,76
ľ,70
ι,70
ś,70
ë,62
ū,56
μ,50
ř,49
ī,47
_,34
ì,31
ρ,28
ʼ,27
ε,27
β,24
û,23
а,22
î,18
ź,17
σ,16
е,16
ż,16
о,15
µ,14
ą,14
ǎ,14
κ,14
т,12
н,11
½,10
р,10
ı,10
η,10
ù,9
δ,9
ě,9
ς,9
υ,9
³,8
ί,8
в,8
с,8
и,8
ť,8
ή,8
đ,8
π,8
²,7
ķ,7
λ,7
¾,6
к,6
д,6
м,6
л,5
χ,5
έ,5
й,4
ē,4
į,4
ά,4
з,4
ш,4
ģ,4
γ,4
п,4
і,3
я,3
ό,3
ņ,3
ч,3
¼,3
ð,3
у,3
ъ,2
ā,2
ů,2
ų,2
г,2
б,2
œ,2
ώ,2
ύ,2
ď,2
ь,2
є,2
ŕ,1
ю,1
ї,1
ω,1
ű,1
i̇,1
ǔ,1
¹,1
ǻ,1
ĉ,1
ț,1
φ,1
ŵ,1
ξ,1
ŝ,1
ж,1
ы,1
舃,1
