letter,count
í,1011164
ã,3069347
ú,278579
é,1134472
á,1236528
ó,572890
õ,641437
ê,418416
à,410754
ç,2306775
º,40538
É,83994
ô,19999
ä,1821
â,147269
Á,15095
Í,3458
ö,5263
ø,297
è,1441
Ü,22
ü,2545
È,45
Ú,880
ª,1477
ò,316
ë,62
Ó,540
Â,66
ñ,480
Ö,391
æ,251
Ô,65
Ï,83
ï,324
³,8
µ,14
Å,199
ß,350
Ã,97
ì,19
²,7
ù,9
_,34
ý,78
Ý,1
ð,2
Α,132
Ν,86
Τ,81
Ο,83
Ι,56
ă,317
ć,187
ο,13
š,432
č,604
ί,8
ő,139
Š,544
ė,168
ł,236
Ž,45
Ż,3
Κ,9
ń,320
ę,85
ś,55
ъ,2
а,21
ю,1
У,1
Ś,15
ľ,68
ē,4
ź,17
Ε,11
ą,14
β,15
ā,2
ř,47
Ő,77
ž,77
ū,56
ī,47
ğ,85
Е,1
ň,76
ť,8
Č,39
ı,10
Ş,7
ş,342
ų,2
δ,9
ε,16
ή,8
χ,5
ρ,18
η,10
μ,9
ά,4
τ,13
ν,9
ű,1
İ,1
ż,13
Β,9
б,2
ţ,34
Д,1
Ţ,104
Đ,7
ě,9
А,1
ǎ,14
Ǻ,1
Ł,11
Ľ,2
σ,16
υ,6
α,12
λ,7
γ,4
ι,14
ς,9
Ř,2
œ,2
ț,1
ώ,2
κ,5
ύ,2
Π,2
ό,3
έ,5
φ,1
ņ,3
ŵ,1
Ŝ,1
у,2
¼,3
Ć,1
Υ,3
π,6
