word,count
comissão,246922
também,177373
união,153780
estados,128013
conselho,118086
relatório,115678
pelo,111224
membros,110476
pela,91969
seu,84769
gostaria,83393
questão,76565
deputado,73244
ainda,73164
direitos,72037
trabalho,68709
fazer,64985
desenvolvimento,61893
situação,55818
segurança,55580
mesmo,54104
cidadãos,51288
pessoas,49626
deputados,48526
assim,48520
comissário,47145
estão,46753
nosso,46591
nós,45374
deste,45032
apoio,44854
matéria,44766
têm,44626
suas,44429
respeito,44273
dizer,43483
primeiro,43325
outros,43238
possível,41679
qualquer,41596
alterações,41548
direito,40207
ponto,37907
pois,37590
nossos,37482
cooperação,37314
comum,36526
questões,36403
alguns,35947
exemplo,35884
senhores,35805
entanto,35689
propostas,34190
estas,34122
numa,34053
resolução,33696
termos,33600
deputada,33351
minha,33063
nesta,32982
além,32857
necessário,32823
protecção,32805
relativamente,32091
futuro,31909
lhe,31228
problemas,31183
posição,30325
serviços,30301
antes,30087
decisão,30069
devem,29825
milhões,29701
domínio,29684
relação,29591
alteração,29484
nome,29403
saúde,29393
cada,29280
necessidade,29121
presidência,28832
devemos,28797
outro,28623
melhor,28394
outras,28181
disso,27852
muitos,27838
dois,27829
razão,27492
estou,27221
condições,26852
durante,26750
tudo,26711
mulheres,26656
sejam,26236
nacionais,26154
objectivos,25891
importância,25869
nossas,25730
âmbito,25611
tão,25005
opinião,24894
algumas,24718
estar,24652
atenção,24362
legislação,24170
acção,23987
informação,23979
princípio,23955
orçamento,23800
aplicação,23737
diz,23346
ajuda,23050
estratégia,23043
instituições,23006
qualidade,22964
garantir,22867
primeira,22475
resposta,22407
investigação,22125
criação,22123
espero,22084
embora,21951
portanto,21714
muitas,21705
assuntos,21646
pouco,21515
enquanto,21389
três,21160
nomeadamente,21073
ordem,20948
assembleia,20917
negociações,20764
regiões,20756
vezes,20610
assegurar,20580
senhoras,20362
comércio,20228
depois,20206
recursos,20195
regulamento,20123
artigo,20030
deverá,19869
sobretudo,19697
duas,19645
fundos,19522
novas,18819
terá,18723
responsabilidade,18624
sociais,18605
conseguinte,18587
importantes,18562
trabalhadores,18558
autoridades,18461
justiça,18424
verdade,18416
poderá,18163
liberdade,18122
regras,18057
efeito,17975
oportunidade,17947
tenha,17895
lhes,17564
comunicação,17564
maioria,17514
considero,17445
contudo,17395
adesão,17369
alargamento,17341
pergunta,17312
compromisso,17301
crescimento,17260
comissária,17218
relações,17104
possibilidade,17094
membro,16998
deveria,16832
esses,16829
prazo,16740
solução,16711
fundamentais,16703
exercício,16677
porém,16646
creio,16513
utilização,16481
indústria,16446
fundo,16379
apoiar,16274
passado,16181
decisões,16177
nesse,16161
apesar,16084
saber,16039
programas,16012
produção,15996
abordagem,15814
respeita,15601
aumento,15601
pública,15592
acordos,15477
concorrência,15415
apresentar,15259
falar,15240
meios,15199
financiamento,15103
preciso,15076
texto,14806
realidade,14649
prática,14513
próprio,14402
gestão,14349
lisboa,14308
redução,14214
existem,14188
serão,14026
outra,14010
melhorar,14000
então,13982
após,13936
risco,13908
significa,13886
nações,13636
palavras,13635
mesma,13560
transportes,13558
perante,13510
própria,13503
convenção,13483
nº,13473
rússia,13319
sendo,13282
crianças,13215
disse,13094
eles,13087
alguma,13085
meio,13033
projectos,12951
dado,12951
essencial,12918
possam,12917
progressos,12886
intervenção,12850
avaliação,12837
declaração,12690
população,12686
estabilidade,12664
princípios,12584
permitir,12477
comunitário,12469
cimeira,12458
custos,12431
altura,12376
incluindo,12324
infelizmente,12243
palavra,12205
trabalhar,12202
integração,12136
algo,12120
contrário,12083
promover,12035
ideia,11961
vários,11961
devido,11955
orçamental,11905
pôr,11893
motivo,11857
deixar,11845
coisas,11839
razões,11812
naturalmente,11750
próprios,11733
coisa,11667
solidariedade,11620
formação,11605
disposições,11442
capacidade,11420
governos,11387
sistemas,11365
internacionais,11329
consequências,11314
desejo,11274
transparência,11066
poderia,11026
chegar,11016
financeira,11013
dentro,11012
terceiro,10941
financeiros,10899
eleições,10898
organização,10892
votei,10869
espaço,10858
critérios,10843
próximo,10824
participação,10814
coesão,10791
dinheiro,10779
reforçar,10745
aqueles,10729
fronteiras,10686
amanhã,10657
organizações,10655
caminho,10651
precisamente,10627
irão,10609
necessária,10606
partir,10595
educação,10589
origem,10557
dúvida,10521
efeitos,10459
aceitar,10427
relatórios,10424
preços,10410
ajudar,10399
