word,count
Reinício,229
da,910414
Declaro,388
reaberta,295
a,2182064
do,781512
Parlamento,139944
tinha,7877
sido,30397
interrompida,586
na,328438
feira,7051
17,3133
de,2576869
Dezembro,7260
e,1445841
renovo,21
os,588965
tenham,9979
tido,3586
boas,6615
férias,889
Como,21916
puderam,709
o,1206712
grande,42024
2000,11902
não,459958
aconteceu,4868
cidadãos,49511
alguns,33282
nossos,37481
foram,38119
vítimas,9364
naturais,3771
verdadeiramente,6519
terríveis,947
Os,44448
senhores,11582
manifestaram,941
desejo,8987
se,505933
nos,182278
dias,9018
durante,23844
este,118259
período,18584
gostaria,51061
também,165312
me,84848
foi,88791
por,295534
observássemos,8
minuto,1690
silêncio,1392
as,443488
nomeadamente,20704
das,275187
União,150930
Europeia,137106
Convido,436
levantarem,85
para,578739
O,154006
pé,1729
guarda,792
intervenho,682
ordem,20445
já,79583
tomou,2413
conhecimento,9408
notícias,1696
imprensa,3882
televisão,2356
à,316129
bomba,386
assassínios,379
no,398531
pessoas,49278
assassinadas,192
ainda,69313
há,64316
poucos,2894
poderia,10164
uma,526433
manifestando,324
esta,110553
outras,27672
país,45752
envidar,1429
ao,269770
obter,7942
reconciliação,1287
situação,55467
ali,1999
vive,1860
Senhor,159985
Deputado,8796
Evans,474
iniciativa,16403
acaba,3771
perfeitamente,5481
adequada,6366
Se,27931
assembleia,9120
estiver,2561
sugeriu,448
deputado,64448
Nos,4483
termos,33587
artigo,18964
143º,39
Regimento,6012
desse,11575
relação,29564
inadmissibilidade,43
A,194707
questão,76535
pretendo,1313
focar,683
incide,761
relatório,111771
quinta,2460
ocasião,5941
tenciono,477
levantá,23
la,7598
novamente,3403
programas,15839
orientação,4467
plurianuais,431
frotas,1028
dia,27477
contém,3831
nº,13420
6,5606
aplicação,23540
sanções,6003
sob,12161
forma,74398
redução,14163
Estados,127212
Membros,88680
cumpram,817
objectivos,24800
Mais,4283
propõe,6215
feita,5272
salvaguarda,1994
princípio,23924
estabilidade,9600
constitui,18737
minha,33054
opinião,24888
comum,33704
pelo,108108
qualquer,40271
vise,381
subvertê,5
lo,21705
é,441933
juridicamente,1233
inadmissível,1372
Gostaria,32332
objecção,679
deste,42933
meramente,1049
competência,6240
fazer,64817
efeito,17973
precisamente,10059
nessa,6723
altura,12375
desejar,1782
poderá,16681
isto,32065
apresentação,4399
coincidindo,30
primeira,21732
Unidos,15563
está,80224
lamentavelmente,1138
execução,9576
morte,6406
jovem,1127
34,780
X,126
francês,2704
apresentada,6997
petição,611
teve,7915
muitos,25579
signatários,646
entre,88978
abaixo,1536
assinado,1305
peço,3464
lhe,31227
conformidade,5288
expressa,1788
intervenha,245
prestígio,384
Instituição,1212
Governador,107
Bush,1055
poder,22295
