word,count
ă,1494702
î,561439
ţ,387430
ş,325329
ț,239929
ș,201531
â,138613
á,1492
é,851
ö,816
ü,496
š,428
ó,416
è,382
č,354
í,327
ä,168
ô,149
ł,146
ú,130
ń,126
à,125
ő,120
ã,115
σ,101
ć,100
ę,78
α,75
ė,73
ê,69
ι,69
ß,67
ň,67
ο,66
τ,65
ñ,64
ρ,63
ε,62
η,60
υ,58
ç,53
ø,53
ν,47
ί,45
μ,42
ž,40
ς,39
δ,36
ğ,34
κ,33
π,32
ï,31
ř,31
ś,31
ή,26
ū,24
λ,22
ό,15
ý,15
ò,14
γ,14
_,14
ī,13
đ,13
χ,12
ύ,12
ą,11
а,11
β,11
ω,10
ľ,10
о,10
φ,9
ǎ,9
ζ,8
ë,8
ź,8
е,8
т,8
ψ,7
º,7
н,7
ě,6
æ,6
έ,6
с,6
ϊ,5
ż,5
²,5
å,4
ά,4
ǐ,4
в,4
и,4
р,4
ώ,3
ķ,3
ч,3
ш,3
к,3
л,3
õ,2
ē,2
œ,2
ı,2
ď,2
ť,2
ņ,2
ì,2
ξ,2
у,2
й,2
з,2
я,2
ь,2
ȋ,2
м,2
п,2
³,1
ĉ,1
ù,1
ŵ,1
ж,1
г,1
д,1
ы,1
ā,1
ˮ,1
ō,1
û,1
