letter,count
ţ,386719
ş,322987
î,514708
ă,1494698
ó,403
ö,806
è,382
é,846
à,125
Î,46731
â,138613
ł,137
ę,78
ò,14
ã,115
ï,31
ä,168
ü,493
σ,101
υ,55
ν,46
ε,54
δ,36
ρ,63
ί,45
α,64
η,60
ι,67
κ,15
ό,15
π,30
τ,64
ς,39
μ,41
š,191
õ,2
Ö,10
í,323
á,1464
ß,67
λ,22
ή,26
γ,14
χ,12
ζ,8
Å,4
č,329
ý,15
Κ,18
ο,64
ψ,7
φ,9
Β,6
Μ,1
ά,4
ώ,3
ύ,12
ω,10
Ε,8
ϊ,5
β,5
ç,53
ê,69
ë,8
ț,239437
ą,11
ș,200293
ñ,64
Ş,2342
Ł,9
ź,8
Š,237
Ţ,711
ī,13
Ó,13
ř,29
ė,73
Ř,2
Ș,1238
ž,33
ć,99
ń,126
ś,27
ø,53
ú,130
³,1
ğ,34
ż,5
Ă,4
Á,28
Ž,7
º,7
ő,116
ľ,9
ň,67
ô,149
ě,6
Ȋ,1
Č,25
М,1
É,5
_,14
ē,2
œ,2
Ľ,1
Α,11
ū,24
ĉ,1
ǐ,4
Ț,492
ù,1
Ś,4
æ,6
ķ,3
Ι,2
Ν,1
ȋ,1
ǎ,9
Ő,4
Ü,3
Π,2
đ,3
ı,2
ď,2
ť,2
έ,6
ņ,2
Đ,10
Τ,1
Í,4
²,5
ŵ,1
ì,2
ξ,2
О,1
т,7
е,8
ч,3
с,6
в,4
о,9
п,1
а,11
н,6
и,4
Н,1
ш,3
к,3
у,2
ж,1
й,2
з,2
м,1
л,3
П,1
р,4
я,2
г,1
д,1
Т,1
ы,1
ь,2
ā,1
ˮ,1
Ć,1
ō,1
Ο,2
û,1
Υ,3
