word,count
să,212828
și,126435
că,115078
acest,52444
trebuie,52117
această,31859
fost,30537
prin,29757
europene,23050
lucru,22573
toate,21920
fie,21129
ceea,20503
trebui,19756
foarte,19076
dacă,18900
asemenea,18391
sau,18210
aceste,16819
dintre,16296
acestea,16057
comisiei,16008
comisia,15558
într,14993
faptul,14595
statele,14467
aceasta,14239
unei,14012
asupra,13886
astfel,13746
uniunea,13710
poate,13362
urmare,13278
noi,13205
există,12841
uniunii,12702
cadrul,12497
acord,11960
parlamentul,11939
deoarece,11609
după,11588
unui,11535
multe,11401
avem,11324
acum,11249
cred,10893
preşedinte,10809
timp,10779
iar,10642
privire,10628
către,10601
aş,10566
când,10437
precum,10311
muncă,10307
despre,10269
vă,10091
cât,10062
putea,10040
între,9724
însă,9585
acestui,9479
împotriva,9163
atât,8847
fără,8799
nevoie,8672
parlamentului,8560
rând,8371
noastre,8366
acestei,8153
reprezintă,8126
putem,8123
aplicare,8086
încă,8009
unor,7920
raportul,7906
consiliului,7877
economică,7583
votat,7514
până,7488
avea,7374
omului,7366
priveşte,7343
măsuri,7279
astăzi,7269
favoarea,7168
drepturile,7099
doresc,7090
decât,7000
statelor,6986
domeniul,6985
drepturilor,6926
dezvoltare,6887
politică,6853
domnule,6767
chiar,6690
mă,6574
atunci,6542
comisar,6497
loc,6185
primul,6147
clar,6075
două,5973
aș,5948
președinte,5938
financiare,5820
îi,5814
numai,5742
acestor,5683
cazul,5562
tuturor,5384
îl,5372
exemplu,5340
punct,5323
problemă,5292
fapt,5252
dnă,5214
suntem,5193
referitoare,5182
domnilor,5114
doamnelor,5013
făcut,4977
ţări,4871
dezvoltarea,4806
încât,4790
urmă,4766
celor,4697
asigura,4671
numele,4661
nostru,4596
europeni,4591
faţă,4583
îşi,4562
privește,4520
preşedintă,4505
europei,4496
politice,4482
drept,4437
aşa,4437
importantă,4419
politicii,4412
aceea,4402
viitor,4390
propunerea,4380
înainte,4349
criză,4323
persoane,4296
ţările,4286
importante,4268
acestora,4265
tot,4253
spus,4248
orice,4168
timpul,4157
doamnă,4145
milioane,4081
mulţumesc,4056
inclusiv,4027
fiecare,3999
membru,3995
fiind,3989
calitate,3984
unele,3982
câteva,3949
comisie,3936
având,3928
totuşi,3904
dreptul,3827
unul,3812
sectorul,3789
caz,3735
situaţia,3731
măsură,3715
posibil,3707
criza,3664
voi,3657
sprijin,3627
grupului,3618
tratatul,3611
crearea,3588
adevărat,3585
facem,3575
trei,3564
vederea,3563
comună,3523
înseamnă,3521
nivelul,3493
facă,3475
socială,3470
necesare,3469
legătură,3454
său,3446
dată,3430
dlui,3422
financiar,3405
țări,3391
acordul,3389
climatice,3383
anul,3378
dumneavoastră,3354
locuri,3331
doilea,3331
scopul,3323
fundamentale,3319
financiară,3305
desigur,3294
țările,3288
necesar,3283
bun,3279
mici,3274
împreună,3263
aspecte,3260
urma,3250
dorim,3244
măsurile,3225
acelaşi,3209
cetăţenilor,3194
adevăr,3185
altă,3181
raportului,3166
crizei,3162
întrucât,3158
nicio,3147
cetăţenii,3142
anumite,3141
grupul,3138
aibă,3103
domeniu,3096
problemele,3058
punerea,3054
puţin,3042
sprijinul,3025
referitor,3023
prea,3011
cadru,3000
propuneri,2954
naţionale,2942
cauza,2919
propunere,2911
conformitate,2896
își,2857
afaceri,2856
trecut,2855
vorba,2853
diferite,2853
subliniez,2844
poată,2838
lume,2820
cooperarea,2780
eforturile,2768
spune,2742
află,2736
bază,2731
politic,2708
rolul,2697
regulamentul,2691
întreaga,2690
dezbaterea,2686
piaţa,2626
momentul,2618
ţară,2617
spre,2608
îmi,2608
punctul,2606
președintă,2600
produse,2575
nouă,2566
niciun,2564
activitatea,2553
articolul,2552
utilizarea,2551
tratatului,2550
obiectivele,2523
totuși,2505
abordare,2494
sistemul,2487
necesară,2472
acesteia,2463
față,2460
oameni,2458
guvernul,2447
adoptat,2423
răspuns,2423
siguranţă,2423
toţi,2421
bugetul,2408
eficient,2403
chestiune,2382
femeilor,2380
posibilitatea,2369
vedea,2353
reducerea,2351
perioadă,2350
procedură,2348
subiect,2339
deşi,2334
comun,2333
succes,2331
consumatorilor,2315
coeziune,2313
energetică,2310
oferă,2304
adoptarea,2292
aproape,2280
așa,2268
libertatea,2259
votul,2257
vigoare,2249
protecţia,2244
necesitatea,2243
ele,2231
oamenii,2223
conform,2223
securitatea,2220
oferi,2207
deplin,2205
schimb,2203
ajuta,2199
consiliu,2187
mulţi,2173
schimbările,2169
situația,2161
multă,2155
referă,2138
obiective,2121
obiectivul,2120
asigurăm,2114
produselor,2107
asigure,2101
confruntă,2094
lumea,2090
cetățenilor,2082
cercetare,2078
mediului,2077
viitorul,2073
contextul,2072
situaţie,2068
externă,2061
noştri,2059
preşedintele,2059
ajutor,2057
strategie,2046
regiune,2042
persoanelor,2021
acţiune,2019
toată,2018
domenii,2016
piața,2014
creştere,2010
informaţii,2010
muncii,2007
întotdeauna,1993
început,1982
curând,1982
accesul,1978
directivă,1976
internaţionale,1972
rezoluţie,1970
continuă,1962
consolidarea,1958
obiectiv,1955
creşterea,1944
tocmai,1943
promovarea,1935
printre,1933
solicită,1931
combaterea,1931
întreprinderile,1930
aplicarea,1926
mulțumesc,1921
ajutorul,1917
serviciile,1912
lupta,1911
regiunea,1911
fondurile,1901
același,1897
puțin,1896
creștere,1895
viitoare,1894
eficientă,1891
cuvinte,1884
păcate,1881
programul,1879
servicii,1871
regulament,1863
preşedinţia,1857
întrebare,1852
responsabilitatea,1847
faptului,1846
lucruri,1844
fondul,1843
acestuia,1840
naționale,1840
rămâne,1829
corect,1828
constituie,1828
intermediul,1816
sistemului,1813
agricole,1810
luat,1806
ajuns,1804
ceva,1804
număr,1801
internaţional,1792
deosebit,1788
economia,1786
internă,1784
pieţei,1779
solidaritate,1779
decizie,1765
departe,1764
cetățenii,1762
esenţial,1756
sănătate,1752
resurse,1751
scurt,1745
negocierile,1732
privinţă,1730
piaţă,1730
drepturi,1726
noile,1725
persoanele,1724
respectarea,1718
forţei,1714
economiei,1710
întreprinderilor,1709
rândul,1699
directivei,1690
înalt,1687
munca,1683
puternic,1680
îndoială,1674
perioada,1673
bugetului,1672
acolo,1669
majoritatea,1667
fonduri,1664
creșterea,1663
prioritate,1660
durabilă,1656
protecţie,1656
introducerea,1654
acordului,1654
putut,1650
strategiei,1650
uniune,1649
probabil,1648
politicile,1647
vorbim,1647
felicit,1641
contribuie,1638
ciuda,1636
europă,1633
suficient,1631
prezentat,1628
produsele,1623
cheie,1622
procesului,1621
dnei,1614
resurselor,1613
ordinea,1606
lucrătorilor,1603
negocierilor,1600
energiei,1599
principiul,1598
țară,1597
doua,1594
eforturi,1592
serviciilor,1587
existente,1582
juridic,1582
pescuitului,1582
femei,1581
acorduri,1577
întrebarea,1575
luate,1574
cazuri,1572
mijlocii,1571
stabilitate,1569
fondurilor,1568
suplimentare,1566
regiuni,1566
privinţa,1565
publică,1564
dezvoltării,1564
potrivit,1560
acordat,1555
ajunge,1555
nimic,1555
siguranță,1554
ţara,1554
numărul,1553
chestiuni,1552
luăm,1539
forței,1538
eficiente,1536
următorul,1532
ați,1531
schimbărilor,1530
altor,1528
autorităţile,1527
printr,1526
parteneriat,1526
actuală,1525
afara,1522
progrese,1520
locale,1517
copiilor,1513
ultimii,1511
exista,1506
calea,1505
datelor,1505
atenţie,1504
întreprinderi,1502
resursele,1502
ridicat,1501
apoi,1497
include,1493
numeroase,1492
proiect,1490
abordarea,1490
asigurarea,1489
cinci,1485
domnul,1483
rezoluție,1482
susţin,1475
menţionat,1473
proiectul,1471
mâine,1463
reglementare,1461
cauză,1458
proiecte,1458
existat,1455
rezultatul,1455
turcia,1454
ţărilor,1453
adoptate,1452
afirmat,1452
deputaţi,1451
deci,1449
semnificativ,1447
decizia,1443
bineînţeles,1441
propunerile,1439
necesită,1438
deși,1438
arată,1435
condiţii,1429
politicilor,1427
discutăm,1423
noua,1423
ştim,1422
statului,1418
angajamentul,1415
poziţia,1415
întâmplă,1412
aceştia,1409
decizii,1405
interesele,1401
ideea,1401
actuale,1399
destul,1399
adecvate,1397
ultimul,1396
raportor,1395
patru,1392
internaționale,1388
seama,1386
toţii,1386
evaluare,1378
regiunile,1378
valoare,1376
importanţa,1374
femeile,1374
solicitat,1372
practică,1371
lucrurile,1370
anului,1369
condiţiile,1368
atenţia,1364
niciodată,1364
aspectele,1363
juridice,1362
pus,1359
unică,1357
asistenţă,1356
clară,1355
devină,1355
întrebări,1355
consideră,1353
globală,1352
cooperării,1350
instituţiile,1350
fondului,1349
dintr,1342
gestiune,1341
reală,1340
colegii,1339
aproximativ,1339
bugetare,1337
cetăţeni,1337
pună,1336
legislaţia,1336
datorită,1336
toți,1333
încredere,1331
faţa,1331
puternică,1324
informații,1324
structurale,1322
sărăciei,1321
oamenilor,1321
ambele,1321
pieței,1319
căreia,1315
vizează,1314
cărora,1312
urmează,1312
soluţie,1310
devenit,1310
ocuparea,1309
subliniat,1308
decembrie,1307
susţine,1307
afectează,1302
totodată,1300
exact,1298
imediat,1293
regulamentului,1293
permită,1291
motivul,1290
esențial,1287
altele,1286
interesul,1285
noul,1283
adecvat,1280
acțiune,1280
ofere,1278
realizat,1277
prim,1273
pescuit,1267
dreptului,1265
curtea,1264
nevoia,1263
alimentară,1259
obiectivelor,1258
statul,1254
primit,1251
indiferent,1250
gestionarea,1249
considerăm,1249
sprijini,1248
mecanism,1247
supraveghere,1245
internaţională,1245
săi,1243
preşedinţiei,1240
săptămâni,1237
stabilirea,1235
rezultatele,1235
calitatea,1234
locul,1230
ultimele,1230
transportul,1228
comunitar,1226
zonele,1226
standardele,1226
normele,1225
părţi,1223
tratat,1223
degrabă,1222
costurile,1222
vrea,1221
protecția,1221
adesea,1220
realiza,1219
terţe,1217
dreptate,1213
provocări,1210
largă,1209
acordurile,1209
copii,1208
propune,1204
sectorului,1200
duce,1192
aşadar,1192
făcute,1191
căruia,1191
următoarele,1189
răspunsul,1189
guvernului,1187
implică,1185
situație,1183
capacitatea,1179
principiile,1179
investiţii,1178
ştiu,1178
propunerii,1177
corespunzător,1175
protecție,1175
sperăm,1171
prezenta,1170
guvern,1168
cuvântul,1167
eliminarea,1167
părerea,1165
mediul,1162
impactul,1160
implicate,1157
responsabilitate,1157
acele,1157
realizarea,1157
noștri,1156
lumii,1149
proteja,1147
exprim,1146
negocieri,1146
dezbateri,1146
mondială,1143
posibilă,1142
concrete,1139
dorit,1137
odată,1136
totul,1134
permiteţi,1134
acorde,1133
majoritate,1133
măsurilor,1131
protejarea,1131
realitate,1130
începutul,1130
deveni,1124
grupuri,1122
nucleară,1120
mulți,1117
confruntăm,1116
integrarea,1113
merită,1111
vota,1109
adoptată,1106
dovadă,1106
celelalte,1104
internațional,1104
aderarea,1101
dificil,1099
propriile,1097
aplică,1094
puncte,1094
regională,1094
formă,1093
soluţii,1093
siguranţa,1093
cale,1090
banii,1090
teritoriul,1089
planul,1084
corespunzătoare,1083
acela,1080
rezoluţia,1080
afectate,1078
țărilor,1077
relaţiile,1077
activitate,1072
autoritățile,1071
întâmplat,1069
comunitatea,1069
românia,1067
aderare,1064
doreşte,1064
sistemele,1063
conturi,1063
solicităm,1062
reuşit,1057
ocazie,1056
uităm,1056
iunie,1055
răspunde,1054
martie,1052
capăt,1050
domnului,1049
sănătatea,1046
textul,1046
multor,1045
rapidă,1041
emisiilor,1040
angajament,1039
presus,1038
ocazia,1036
lângă,1034
solidaritatea,1034
subliniază,1033
elaborarea,1033
investiții,1033
dificilă,1031
văd,1031
reale,1030
instituţii,1029
finanțare,1027
prezintă,1027
veţi,1026
animalelor,1025
procedurile,1025
controlul,1025
