word,count
á,1531360
í,834837
ú,823694
ý,800788
ž,769298
č,697291
é,655378
ť,597919
š,564340
ľ,327882
ó,205716
ô,198834
ň,103248
ď,92515
ä,60358
ĺ,5517
ŕ,4568
ö,1216
ü,747
è,509
ă,269
ş,196
ç,177
ł,169
ė,158
ń,150
ß,136
ţ,126
à,121
ő,119
ê,118
ø,113
ã,97
ę,87
ñ,82
â,56
α,50
ğ,48
σ,47
ë,46
ο,46
ε,46
ρ,44
ć,44
ι,44
ř,43
ū,40
τ,39
η,35
ī,35
ν,34
υ,33
_,32
ï,32
ś,23
ί,22
δ,22
ς,21
κ,20
π,19
ò,16
μ,16
λ,16
º,14
ű,13
î,12
ή,11
ě,11
а,11
ą,10
ǎ,10
о,10
ώ,10
ω,9
φ,9
έ,9
χ,9
å,9
ύ,8
æ,8
е,8
т,8
ό,7
ż,7
н,7
ξ,6
ź,6
с,6
γ,5
ζ,5
ı,5
²,5
β,5
đ,5
û,4
в,4
и,4
р,4
ψ,4
ϊ,3
ķ,3
ņ,3
ч,3
ш,3
к,3
л,3
ά,3
õ,2
ģ,2
ˇ,2
³,2
œ,2
у,2
й,2
з,2
я,2
ь,2
п,2
ů,1
¹,1
µ,1
ù,1
ŵ,1
ì,1
ж,1
м,1
г,1
д,1
ы,1
ā,1
ē,1
ō,1
