word,count
Schválenie,408
zápisnice,377
z,62960
predchádzajúceho,615
rokovania,4197
Zloženie,333
výborov,571
a,480957
delegácií,290
Predložené,316
dokumenty,897
Písomné,1169
vyhlásenia,2349
článok,2123
116,124
rokovacieho,1029
poriadku,1939
Opatrenia,341
prijaté,1947
v,309107
následnosti,39
na,235507
pozície,895
uznesenia,3357
Parlamentu,9633
Zaslanie,156
zmlúv,907
Petície,77
aktov,355
prijatých,664
spolurozhodovacom,79
postupe,493
Zriadenie,71
vyšetrovacieho,15
nasledujúci,404
deň,2027
Skončenie,249
Zasedání,10
skončilo,289
23,804
00,728
Otvorenie,282
The,77
sitting,24
was,14
opened,4
at,32
9,1314
Rozhodnutie,306
o,132356
naliehavom,23
prípadoch,2512
porušenia,520
ľudských,8024
princípov,361
právneho,2390
oznámenie,848
návrhoch,880
1,4383
Zmena,278
doplnenie,575
nariadenia,3948
533,1
2004,1120
Chorvátsko,621
hlasovanie,3091
2,3474
rámcovej,341
s,99932
Kórejskou,33
rozšírení,265
3,2513
Zaradenie,30
do,47454
zoznamu,444
krajín,9512
ktoré,78086
sa,243974
tsunami,23
Indickom,30
oceáne,110
vzťahuje,642
príslušné,1160
rozhodnutie,3516
Rady,9550
4,1984
Štatistika,41
vnútrozemských,52
vodných,202
5,2741
Občianstvo,11
Únie,4007
6,1562
proti,20332
obchodovaniu,451
deťmi,355
7,1530
Vonkajšia,13
oblasti,26660
8,1726
Vzťahy,117
Ruskom,1311
leteckej,1076
Nous,13
en,37
avons,8
à,75
terminé,8
avec,12
la,123
de,941
votes,18
l,36
année,1
2006,2192
výsledkov,1004
hlasovania,3895
La,161
suspendue,12
est,84
reprise,12
15h05,2
Posiedzenie,26
zostało,26
godz,26
05,179
Se,40
abre,20
sesión,45
las,55
horas,55
Finančný,61
výhľad,104
Obmedzujúce,2
opatrenia,10867
podozrivým,16
atentáte,2
Rafiqa,1
Haririho,2
Nakladanie,8
ťažobného,13
priemyslu,1990
Voda,28
kúpanie,6
Uplatňovanie,135
Aarhuského,11
dohovoru,985
inštitúcie,3265
10,2843
Európe,10754
11,1279
12,1864
Environmentálne,36
aspekty,1302
udržateľného,1042
rozvoja,4015
Con,4
questo,2
si,44194
conclude,10
il,13
turno,20
di,24
votazioni,11
seduta,41
sospesa,13
alle,53
13,1023
20,3459
è,42
ripresa,13
15,1876
nasledujúcej,134
schôdze,333
24,718
30,1986
Oznámenie,180
spoločných,1578
pozícií,229
Úpadok,6
Equitable,22
Life,26
Society,10
Predpokladané,5
využívanie,1531
európskych,8361
prostredníctvom,8406
prepravy,412
zadržiavania,92
väzňov,623
Pravidlá,149
správania,590
zmena,1201
Vykonávanie,115
Európskej,29748
pre,78378
Spoločná,298
organizácia,719
cukrom,58
podpory,2954
poľnohospodárov,1503
voľbách,834
občianska,245
spoločnosť,2197
Budúcnosť,127
lisabonskej,880
stratégie,4451
ohľadom,1067
rodovú,468
rovnosťi,1
Preskúmanie,101
osvedčení,122
za,54802
poslanca,607
porušovania,593
115,88
EP,811
Extradícia,1
súdne,304
konanie,1011
prezidentom,296
Albertom,1
Fujimorim,1
Postihnutie,2
esto,1
Rozhodnutia,194
týkajúce,4561
dokumentov,603
textov,318
počas,7616
nasledujúcich,1369
schôdzí,167
Presun,94
finančných,5557
prostriedkov,4514
levée,16
Právne,184
predpisy,3799
sociálnej,2621
týkajú,1584
cestnej,933
Harmonizácia,61
právnych,4754
predpisov,4247
Rovnosť,73
žien,4987
mužov,1258
únii,6099
poštovej,13
smernice,5446
Stredozemnom,114
les,43
Prerušenie,106
zasadania,237
Je,20507
déclare,7
interrompue,7
session,13
du,23
Parlement,8
11h45,1
22,587
25,1405
začalo,448
Protektorované,1
Homologizácia,3
súčastí,47
súprav,4
vozidiel,1155
krmivom,27
Zrušenie,108
dvoch,2632
nariadení,1263
menovej,482
