word,count
č,918477
š,511038
ž,424303
á,1580
ö,1495
ø,1327
é,1325
ü,825
ó,657
è,520
í,517
ä,461
ă,307
ş,219
ń,216
ú,214
ć,187
ł,183
ç,172
ő,158
ß,150
ţ,131
à,126
ê,114
ã,81
ę,78
ė,73
ñ,69
ň,69
ë,59
_,57
â,56
ř,51
α,49
ğ,45
ý,44
ρ,39
ε,38
σ,37
ι,36
ο,34
ś,34
ï,33
ū,32
τ,30
η,29
ľ,28
ν,27
đ,27
υ,26
õ,24
ò,20
δ,17
ί,17
π,17
κ,17
μ,16
º,16
ς,15
ű,14
å,14
λ,13
ź,13
ī,13
ą,12
ŕ,11
а,11
î,10
о,10
ώ,10
φ,9
έ,9
ή,9
ω,8
χ,8
ǎ,8
ě,8
æ,8
е,8
ż,8
т,8
н,7
ύ,6
ό,6
ô,6
²,6
с,6
ξ,5
ť,5
γ,4
ζ,4
û,4
ǐ,4
в,4
и,4
р,4
ψ,4
ķ,3
ı,3
ņ,3
ч,3
ш,3
к,3
л,3
ά,3
β,3
ď,3
ϊ,2
ů,2
³,2
ģ,2
ì,2
ē,2
œ,2
у,2
й,2
з,2
я,2
ь,2
ð,2
п,2
ĺ,1
½,1
µ,1
ĉ,1
ˇ,1
ŵ,1
ж,1
м,1
г,1
д,1
ы,1
ā,1
ō,1
