word,count
Sprejetje,568
zapisnika,335
predhodne,492
seje,1180
glej,2213
zapisnik,3078
Sestava,296
odborov,552
in,414866
delegacij,269
gl,859
Predložitev,303
dokumentov,1094
Pisne,1044
izjave,2144
člen,2139
116,122
Nadaljnje,139
obravnavanje,830
stališč,513
resolucij,571
Parlamenta,6012
Posredovanje,202
besedil,433
sporazumov,1660
s,80467
strani,9567
Sveta,8116
Peticije,78
Podpis,89
aktov,344
sprejetih,586
v,309445
postopku,1561
soodločanja,503
Ustanovitev,86
preiskovalnega,20
odbora,2560
začasnega,225
Razpored,94
dela,7624
Dnevni,278
red,1151
naslednje,2253
Zaključek,247
Zasedání,10
skončilo,9
ve,507
23,754
00,702
Otvoritev,228
The,91
sitting,26
was,15
opened,4
at,34
9,1242
Sklep,92
o,90716
hitrem,106
Razprave,184
primerih,2190
kršitev,1419
človekovih,8372
pravic,12251
demokracije,2632
načela,2828
pravne,2838
države,28519
razglasitev,159
vloženih,164
predlogov,2404
1,4191
Sprememba,249
Uredbe,783
ES,3541
št,1347
533,1
2004,1114
Hrvaška,365
glasovanje,2959
2,3360
Protokol,74
k,21423
Okvirnemu,1
sporazumu,1678
trgovini,1998
sodelovanju,2646
Korejo,281
3,2437
Vključitev,89
Maldivov,6
na,174656
seznam,923
držav,21421
ki,183656
jih,33013
ta,24825
sklep,729
zajema,956
po,30309
cunamiju,17
Indijskem,33
oceanu,66
decembra,1762
4,1899
Statistika,52
prevoza,1410
blaga,1389
celinskih,161
plovnih,178
poteh,218
5,2557
Državljanstvo,9
Unije,3565
četrto,70
poročilo,17006
6,1502
Boj,311
proti,17540
trgovanju,196
z,91374
ženskami,1349
otroki,398
7,1432
Zunanja,38
letalska,67
politika,4663
Skupnosti,4899
8,1638
Odnosi,94
EU,42977
Rusija,1355
Kitajska,1225
področju,13705
zračnega,557
Nous,13
en,2233
avons,8
à,67
présent,9
terminé,8
avec,9
la,116
première,1
séance,32
de,827
votes,18
l,41
année,1
2006,2087
Popravki,270
glasovanja,3154
La,161
suspendue,12
12h35,2
est,80
reprise,12
15h05,2
Posiedzenie,27
zostało,27
zamknięte,13
godz,27
05,178
Se,209
abre,19
sesión,44
a,3803
las,74
horas,54
Finančna,244
perspektiva,92
Posebni,49
omejevalni,41
ukrepi,4728
zoper,269
nekatere,3995
osebe,965
so,96141
osumljene,13
sodelovanja,4182
pri,40033
atentatu,2
bivšega,22
libanonskega,8
ministrskega,44
predsednika,2947
Rafika,3
Haririja,3
Ravnanje,34
odpadki,584
iz,27072
ekstraktivnih,10
industrij,194
Kopalne,1
vode,1006
Uporaba,366
Aarhuške,4
konvencije,881
institucijah,433
organih,193
10,2687
Homofobija,3
Evropi,10852
11,1263
Podnebne,167
spremembe,7926
12,1825
Strategija,395
trajnostnega,695
razvoja,3279
Con,4
questo,2
si,16115
conclude,10
il,17
turno,20
di,23
votazioni,11
seduta,41
sospesa,13
alle,53
13,992
20,3329
è,42
ripresa,13
15,1822
naslednjega,383
zasedanja,804
levanta,14
24,685
30,1952
skupnega,1693
stališča,2385
Propad,5
družbe,2967
Equitable,23
Life,29
Assurance,2
Society,7
Domneve,2
uporabi,2392
evropskih,6948
za,227944
prevoz,781
nezakonito,833
pridržanje,231
ujetnikov,22
ameriške,182
obveščevalne,60
agencije,1746
CIA,54
Standardi,30
ravnanja,752
poslancev,2384
sprememba,1164
Poslovnika,658
Izvajanje,263
Evropske,18093
listine,374
mala,1738
podjetja,5742
Skupna,383
ureditev,1394
trgov,1645
sladkor,40
Sheme,9
podpor,42
kmete,620
Čečenija,4
volitvah,928
civilna,201
družba,771
Rusiji,735
Prihodnost,121
lizbonske,1184
strategije,3888
vidika,2534
enakosti,1224
spolov,1051
Ώρα,4
των,4
ψηφοφοριών,3
έληξε,4
Preverjanje,58
veljavnosti,885
mandatov,90
115,81
EP,843
Peru,8
Izročitev,10
proces,2367
nekdanjemu,25
predsedniku,862
Albertu,4
Fujimoriju,1
Invalidnost,2
razvoj,8862
esto,1
concluye,1
votación,2
Sklepi,151
nekaterih,4564
dokumentih,312
tej,9494
seji,299
Časovni,127
razpored,284
prihodnjih,1391
sej,175
Prerazporeditev,84
sredstev,6267
levée,16
23h25,2
aperta,10
Socialna,103
zakonodaja,1583
dejavnosti,4130
cestnega,280
Enakost,95
žensk,4219
moških,734
Evropski,15943
uniji,6696
Poštne,3
direktive,4085
Ribolovni,3
viri,896
Sredozemskem,78
morju,935
les,100
