word,count
seje,1180
Sestava,296
delegacij,269
Predložitev,303
Pisne,1044
izjave,2144
člen,2139
Nadaljnje,139
obravnavanje,830
stališč,513
resolucij,571
Parlamenta,6012
Posredovanje,202
besedil,433
sporazumov,1660
Sveta,8116
Peticije,78
Podpis,89
sprejetih,586
postopku,1561
soodločanja,503
Ustanovitev,86
preiskovalnega,20
odbora,2560
začasnega,225
Razpored,94
Dnevni,278
red,1151
naslednje,2253
Zaključek,247
ve,507
Otvoritev,228
Sklep,92
hitrem,106
Razprave,184
primerih,2190
kršitev,1419
človekovih,8372
pravic,12251
demokracije,2632
načela,2828
pravne,2838
države,28519
razglasitev,159
vloženih,164
predlogov,2404
Sprememba,249
Uredbe,783
št,1347
Hrvaška,365
glasovanje,2959
Protokol,74
k,21423
Okvirnemu,1
sporazumu,1678
trgovini,1998
sodelovanju,2646
Korejo,281
Vključitev,89
Maldivov,6
ta,24825
sklep,729
zajema,956
po,30309
cunamiju,17
Indijskem,33
decembra,1762
Statistika,52
prevoza,1410
blaga,1389
celinskih,161
plovnih,178
poteh,218
Državljanstvo,9
Unije,3565
četrto,70
poročilo,17006
Boj,311
trgovanju,196
ženskami,1349
otroki,398
Zunanja,38
letalska,67
politika,4663
Skupnosti,4899
Kitajska,1225
področju,13705
zračnega,557
présent,9
première,1
séance,32
Popravki,270
glasovanja,3154
12h35,2
zamknięte,13
Finančna,244
Posebni,49
omejevalni,41
ukrepi,4728
zoper,269
nekatere,3995
so,96141
osumljene,13
sodelovanja,4182
atentatu,2
bivšega,22
libanonskega,8
ministrskega,44
predsednika,2947
Haririja,3
Ravnanje,34
iz,27072
ekstraktivnih,10
industrij,194
Kopalne,1
Uporaba,366
Aarhuške,4
konvencije,881
institucijah,433
organih,193
Homofobija,3
Evropi,10852
Podnebne,167
spremembe,7926
trajnostnega,695
razvoja,3279
naslednjega,383
zasedanja,804
levanta,14
skupnega,1693
stališča,2385
družbe,2967
Assurance,2
Domneve,2
uporabi,2392
evropskih,6948
nezakonito,833
pridržanje,231
ujetnikov,22
ameriške,182
obveščevalne,60
agencije,1746
CIA,54
Standardi,30
ravnanja,752
poslancev,2384
sprememba,1164
Poslovnika,658
Izvajanje,263
Evropske,18093
mala,1738
podjetja,5742
Skupna,383
ureditev,1394
trgov,1645
sladkor,40
Sheme,9
podpor,42
kmete,620
volitvah,928
civilna,201
družba,771
Rusiji,735
Prihodnost,121
lizbonske,1184
strategije,3888
vidika,2534
enakosti,1224
spolov,1051
Ώρα,4
των,4
ψηφοφοριών,3
έληξε,4
Preverjanje,58
veljavnosti,885
mandatov,90
Peru,8
Izročitev,10
proces,2367
nekdanjemu,25
predsedniku,862
Fujimoriju,1
Invalidnost,2
razvoj,8862
concluye,1
votación,2
Sklepi,151
nekaterih,4564
dokumentih,312
seji,299
Časovni,127
razpored,284
prihodnjih,1391
Prerazporeditev,84
sredstev,6267
23h25,2
aperta,10
Socialna,103
zakonodaja,1583
dejavnosti,4130
cestnega,280
Enakost,95
žensk,4219
moških,734
Evropski,15943
uniji,6696
Poštne,3
direktive,4085
Ribolovni,3
viri,896
Sredozemskem,78
morju,935
Prekinitev,125
européen,7
Protektirane,1
Odobritev,57
mehanskih,4
spenjanje,1
med,28906
seboj,810
povezanih,1254
cestnih,89
vozil,1155
trga,5841
posušeno,2
krmo,143
Razveljavitev,20
dveh,2561
uredb,288
politike,12257
Obmejni,3
Salomonovi,2
otoki,149
ribolovu,210
obalnih,212
vodah,423
Salomonovih,4
otokov,143
Zaplemba,2
avtomobilov,563
grških,96
Izpostavljenost,11
delavcev,3492
tveganjem,222
nastanejo,139
zaradi,18191
fizikalnih,4
dejavnikov,395
Posledice,144
globalizacije,729
notranji,1474
trg,5289
Ogrevanje,2
hlajenje,18
obnovljivih,815
virov,3565
energije,5330
Čas,870
suspended,7
resumed,7
glasovanj,53
prejšnjih,344
Licenca,1
kontrolorje,4
prometa,1696
sessão,6
às,8
podeželja,1180
Novi,307
finančni,2058
okviru,7121
ciljev,3511
tisočletja,660
Razmere,463
Belorusiji,610
glede,24535
predsedniške,127
volitve,1223
marca,1210
Obvladovanje,21
tveganj,521
krizno,71
upravljanje,2268
kmetijstvu,588
gozdarske,34
unije,13622
razprava,4635
Kulturna,18
dediščina,81
Gvantanamo,77
vpisane,30
Dichiaro,6
interrotta,5
sessione,6
europeo,7
Mandat,27
Dostop,120
pristaniških,28
storitev,3661
zaključek,615
postopka,2086
postopkih,485
Sprejeti,156
podlagi,6315
Sklenitev,48
sesiones,2
letnega,219
rasizmu,98
nogometu,37
pisna,65
izjava,736
skupnostjo,360
določenih,1106
vidikih,414
Jamstveni,5
zunanje,3149
ukrepe,6795
Ustanavljanje,4
delniških,30
družb,850
inštitut,121
enakost,952
spoloma,269
Selitev,5
proizvodnje,1634
regionalnega,350
Evropska,12951
informacijska,59
zaposlovanje,1564
Heure,9
nadaljevanje,806
Chers,1
collègues,1
allons,1
reprendre,1
namere,388
sporazum,5777
Skupnostjo,24
Federativnimi,2
državami,7927
Mikronezije,2
Osnovni,38
morajo,10823
vsebovati,129
ribolovna,32
dovoljenja,413
evropskega,5126
naloga,3019
prijetje,354
Čadu,181
Prisilna,8
mednarodnih,1858
športnih,167
prireditvah,6
zaščita,763
vključenost,375
Okolju,9
prijaznejši,60
načini,223
ribolova,493
dnevnem,481
kršenja,169
Zaščita,170
geografskih,162
označb,82
porekla,512
kmetijske,1573
proizvode,937
živila,377
Priprave,49
srečanje,738
MOP,12
biološki,61
raznovrstnosti,672
varnosti,6287
Abstimmungsstunde,5
vložitev,55
Človekove,113
pravice,9958
Moldaviji,254
posebno,2626
Transnistriji,6
Nekaznivost,1
Afriki,1043
primer,9970
Hissène,1
Habré,1
chiuso,1
Pravni,40
poklici,31
splošni,655
delovanje,2700
pravnih,980
sistemov,1711
vloženi,140
predlogi,1948
Sitzung,21
um,26
Uhr,21
eröffnet,11
Oskrba,19
dobrodelnih,16
združenj,104
zadolžena,43
izvajanje,4156
pomoči,5644
hrani,356
najrevnejšim,129
Članstvo,67
političnih,3035
skupinah,265
Kolesa,2
osebne,332
avtomobile,271
njihove,2949
priklopnike,9
nastavljivih,1
sprednje,2
osvetlitve,3
motorna,52
Evro,146
sredozemskemu,5
Državo,33
širitvi,291
Danska,146
pristojnosti,3017
priznavanju,206
ter,28775
izvrševanju,133
sodnih,231
odločb,135
civilnih,288
gospodarskih,2303
zadevah,1319
pogodbeno,80
pravo,2586
pravnega,1026
Revizija,112
Cotonoujskega,6
sporazuma,4041
določitev,415
razvojni,354
ERS,113
Spodbujanje,174
nasadov,6
kulturnih,360
rastlin,151
neprehrambene,2
namene,1003
Sladkorna,1
bolezen,434
pisne,192
begunskih,51
taboriščih,107
Malti,93
Naravne,29
nesreče,1255
požari,179
suša,52
poplave,337
Vidiki,11
Zahteva,221
zaščito,3519
poslanske,139
imunitete,215
vseevropska,81
energetska,552
omrežja,850
zaposlovanja,1460
članic,10352
Odprtje,43
javnost,760
kadar,1577
slednji,122
nastopa,54
vlogi,796
zakonodajalca,77
institucij,2101
Širše,13
gospodarske,4958
uporaba,1437
uradnikov,333
zvezo,230
napotenih,33
organov,2139
prestolnica,29
kulture,851
23h20,1
tem,46856
início,2
Imuniteta,9
Poenostavljen,5
režim,753
oseb,1241
zunanjih,1093
mejah,715
enostranskega,30
priznanja,114
dovoljenj,300
prebivanje,251
izdata,2
Švica,138
Lihtenštajn,65
Poenostavljeni,4
Izredni,4
podporo,6898
trgu,3981
perutninarski,1
sektor,2884
Emisije,52
klimatskih,13
motornih,210
vozilih,147
Posebno,274
Evropskega,9855
varuha,621
človekih,1
vsled,1
pritožbe,361
evropske,7659
šole,355
Svetovni,264
zdravja,1547
Delo,237
Skupne,73
skupščine,334
letu,3600
Učinkovitost,54
korupcija,117
državah,12409
razvoju,5052
Damit,4
asirska,1
skupnost,1339
razmere,4612
zaporih,163
Poimenovanje,2
medparlamentarne,9
delegacije,604
Lestvica,1
razvrščanje,59
odraslega,11
goveda,39
kodificirana,72
različica,295
Pravila,135
proizvodnji,419
kmetijskimi,120
proizvodi,709
Solidarnostnega,328
Predlog,1233
proračuna,3476
Dodelitev,14
kvot,696
delno,741
halogeniranih,7
klorofluoroogljikovodikov,8
nove,5505
članice,14465
Konvencija,154
okrepitvi,292
Medameriške,2
komisije,1921
tropske,24
Unesca,21
zaščiti,1209
spodbujanju,1144
raznolikosti,655
kulturnega,152
izražanja,944
Odhodki,12
veterine,5
Zdravstveno,20
varstvo,3028
živali,1948
proizvodov,2059
ribogojstva,177
Prehod,34
analognega,2
digitalnemu,8
oddajanju,6
priložnost,4874
avdiovizualno,17
kulturno,400
raznolikost,519
Mavretanija,32
morskega,154
ribištva,508
Razrešnica,160
Oddelek,122
Sodišče,599
Evropskih,1112
skupnosti,3339
Oddekel,1
Računsko,337
sodišče,1346
ekonomsko,390
socialni,2289
odbor,1611
varuh,362
nadzornik,62
podatkov,4673
center,309
poklicnega,453
usposabljanja,895
fundacija,71
izboljšanje,2642
življenjskih,338
delovnih,3737
razmer,2278
agencija,710
obnovo,721
spremljanje,1314
nadzorovanje,101
rasizma,127
ksenofobije,90
zasvojenosti,127
okolje,3204
varnost,5371
zdravje,2521
delu,2361
Prevajalski,6
vrednotenje,75
zdravil,633
Eurojust,68
ustanova,67
usposabljanje,991
pomorsko,253
letalstvu,296
varno,505
hrano,1596
Varnost,199
cestnem,502
prometu,1194
klic,89
sili,346
vse,19578
Prijava,1
finančnih,3668
interesov,1282
τη,3
της,3
συνεδρίαση,8
λήγει,3
στις,8
μ,14
Izjava,135
finančnem,679
interesu,1489
Uvozni,3
riž,23
Pomoč,182
predelavo,98
lanu,1
konoplje,5
goji,37
vlakna,36
Republika,150
Srbija,343
Črna,195
Nekdanja,74
jugoslovanska,79
Romunija,627
Kraljevina,18
Podaljšanje,47
Sporazumu,99
Demokratično,50
republiko,336
Tomé,2
Príncipe,1
opravljanja,112
DDV,808
odvzem,161
Tobiasu,7
Pflügerju,7
Prehranske,5
zdravstvene,860
trditve,174
živilih,205
Dodajanje,6
vitaminov,4
mineralov,20
drugih,6653
snovi,1137
živilom,24
ribiškem,236
sektorju,3537
Nadzor,85
uporabe,3006
zakonodaje,3768
posledice,2601
vpliv,2376
veljavne,299
notranjega,1467
poenostavitve,250
zakonodajnega,623
Imenovanje,66
člana,164
izvršilnega,30
Pristop,166
Ženevskemu,2
mednarodni,1834
registraciji,41
Uveljavitev,36
pristopa,1284
Medinstitucionalnega,31
proračunski,811
poslovodenju,35
Večja,89
okoljska,275
učinkovitost,2111
tovornega,179
Polo,49
Predpisi,51
preprečevanje,1603
nadzor,3554
izkoreninjenje,131
transmisivnih,4
spongiformnih,4
encefalopatij,4
Financiranje,92
standardizacije,85
Kohezijska,155
zaposlovanju,433
Strateške,5
financiranje,2326
razvojnega,462
gospodarskega,1851
Solidarnostni,146
Pogodbe,1443
Energetski,41
Letna,20
politik,2705
Komisije,13989
vidiki,632
Pogodba,459
jugovzhodni,70
Nepal,44
Tajvan,136
Humanitarna,31
kriza,3135
palestinskih,169
ozemljih,124
vloga,1025
Potrditev,25
prejšnjega,565
suspensa,3
00h10,1
Poslovni,12
statistične,165
Okvirni,75
program,3071
konkurenčnost,1619
Zdravila,11
pediatrično,2
uporabo,4348
Enake,30
možnosti,5278
enako,2721
poklicnem,110
uredbe,2432
uporablja,1968
proračun,3130
Prepovedi,8
posledica,1560
obsodb,44
spolne,353
otroci,1036
Načrt,159
prihodkov,447
odhodkov,248
proračunsko,627
Trgovinske,13
dosego,784
maksimalnega,4
prispevka,291
trgovine,2312
boju,2835
revščini,1233
Energetska,137
Zelena,85
knjiga,238
στη,1
medparlamentarnih,23
Prilagoditev,32
Akta,82
pristopu,901
Bolgarije,384
Romunije,481
Priloge,46
gorskem,2
Alpski,1
konvenciji,291
Varstvo,147
podzemnih,21
onesnaževanjem,48
Infrastruktura,15
prostorske,9
informacije,2729
Ocenjevanje,19
obvladovanje,495
poplav,165
izvršilni,62
nalog,1636
Načrtovanje,19
pripravljenosti,255
odgovora,388
epidemijo,39
gripe,122
sodbe,212
Sodišča,561
dne,1346
septembra,890
Komisija,19083
13h20,1
23h55,1
Imena,7
Razlaga,39
iztovoru,2
ribiških,337
članicah,4957
Prevzem,9
enotne,454
valute,376
Sloveniji,120
vrh,965
Lahko,1259
orožje,496
malega,83
Uvedba,185
železniške,145
signalizacije,22
12h25,1
15h00,1
Severna,82
Kršitve,31
opazovalci,117
posvetovanju,198
Ekonomsko,75
socialnim,332
Vpliv,82
strukturne,500
kohezijo,512
Odborom,197
regij,1406
Mednarodni,346
organizirani,116
tihotapljenje,69
trgovina,769
ljudmi,1654
določb,903
Baterije,4
akumulatorji,12
odpadne,69
baterije,12
združenje,149
teritorialno,136
sodelovanje,7561
EZTS,9
Vročanje,2
zunajsodnih,16
pisanj,2
ali,36215
Splošne,65
določbe,1570
Evropskem,2866
skladu,7904
socialnem,401
Kohezijskem,18
Kohezijskega,59
Kabotaža,5
mednarodne,1965
prevozne,57
storitve,2026
plovbi,8
lastnih,745
Nedavni,127
dogodkov,996
nadaljnje,1042
prava,2334
Okrepitev,49
čezmejnega,355
policijskega,100
dogodkih,245
Tehnični,25
predpisi,1009
plovila,304
namenjena,946
plovbo,48
Naložba,9
Celovitejši,1
pristop,4575
industrijski,272
politiki,3481
Mednarodne,351
posvojitve,140
Romuniji,598
Poenostavitev,107
računanje,4
pomoč,7350
preprečevanju,594
utaje,60
izogibanja,57
davkom,153
Karibov,27
stabilnost,2367
sosedski,144
predpristopno,47
IPA,22
Določitev,37
postopkov,1466
uresničevanje,363
Komisiji,2926
podeljenih,19
izvedbenih,128
pooblastil,436
Medinstitucionalni,27
uredba,1130
Vzajemno,26
obveščanje,305
področjih,3046
azila,299
priseljevanja,1169
Spremembe,193
privilegijih,17
imunitetah,12
Ekonomske,34
socialne,3786
prestrukturiranja,223
podjetij,3740
Prestreganje,1
bančnih,241
nakazil,25
ameriških,159
tajnih,68
služb,412
Vključevanje,72
unijo,4257
Razvoj,219
Pravična,7
AIDS,41
Zdaj,3242
čas,4926
odpravo,1493
g,182
PANELLE,4
oddajo,71
osnutkov,58
dopolnitev,104
Gozdni,8
kmetijstvo,1810
korist,1529
manjših,239
egejskih,4
spodbujanje,3101
gojenja,61
sviloprejk,2
Oprostitev,6
davkov,595
uvoz,514
pošiljk,37
nekomercialnega,4
značaja,96
tretjih,1887
Dajatev,1
mlečnih,411
odhodkih,28
tolmačenje,73
einige,1
solemne,1
Aplausos,1
boja,1465
onesnaženju,26
ladij,467
Als,1
nächster,1
folgt,1
Fortsetzung,1
Abstimmungen,1
vrnitev,279
odboru,1412
Unijo,608
Komori,52
Sejšeli,52
Stabilizacijsko,69
pridružitveni,154
Albanijo,85
model,995
prihodnost,2864
ribiške,661
Ψηφοφοριών,1
Haaški,11
konferenci,732
mednarodnem,650
zasebnem,169
pravu,342
Okoljsko,12
označevanje,432
Bližnjem,593
Vzhodu,48
Odložitev,3
pogajanj,2472
razvojnem,82
načrtu,710
Ponarejanje,26
Sodelovanje,270
Haaške,9
Združenimi,855
evidence,151
imen,181
letalskih,554
potnikov,1126
12h40,1
Prosilci,7
Tajskem,47
Sporočila,29
predsedstva,1628
Stanovanja,3
Janisa,1
Sakellariouja,1
Mediji,34
Čistejši,1
zrak,96
listina,220
kakovosti,1977
mobilnost,725
izobraževanje,1580
Ključne,35
sposobnosti,701
vseživljenjsko,177
učenje,333
Tematska,14
onesnaževanju,64
zraka,393
Oblikovanje,115
okvira,1628
priznavanje,394
kvalifikacij,385
Reanudamos,1
evra,1140
ponarejanjem,45
Perikles,2
nesodelujoče,2
Upoštevanje,18
članicami,3186
Bissau,73
Program,295
socialno,2436
solidarnost,1850
koheziji,233
Povečati,66
izboljšati,1771
učinkovito,3457
Izkoriščanje,19
staležev,320
morske,181
plošče,24
Severnem,277
Ekološka,9
pridelava,84
kmetijskih,974
tovrstno,109
pridelanih,16
živil,838
GALILEO,11
Darfurju,176
ženske,2828
Izboljšanje,112
Odstranjevanje,5
plavuti,19
morskih,274
krovu,47
plovil,359
Nanoznanosti,1
nanotehnologije,19
12h50,2
Prihodnji,58
Bolgarija,409
centra,253
zasvojenost,28
Turčija,970
Turčije,826
Avstralija,51
Nova,531
Urugvaj,4
Maldivi,14
Upravljanje,70
satelitskega,41
navigacijskega,22
Kakovost,79
primernih,119
lupinarje,3
Zavajajoče,3
primerjalno,25
oglaševanje,225
Trajanje,14
varstva,2930
avtorske,94
sorodnih,46
dajanja,80
posojanja,11
sorodne,7
avtorski,8
pravici,423
lastnine,590
ameriškega,119
kaparja,1
Statistična,8
posebna,496
statistična,18
področja,2258
Izredna,6
finančna,1717
Kosovu,373
dobro,7694
počutje,276
Nadaljevalno,1
svobodnih,172
poklicev,61
Rusijo,1698
umoru,54
novinarke,16
Ane,32
Politkovskaje,5
Združeni,247
narodi,672
odobritev,853
kategorij,115
njihovo,3597
splošno,3383
konstrukcijo,10
statuta,179
Finančni,121
prispevek,1410
Norveške,31
delovanju,769
Bogdanu,1
privilegijev,30
Strateško,35
Južno,229
Afriko,523
Podporni,6
evropski,7840
avdiovizualni,37
Mehanizem,52
zaščite,2090
Glavni,367
izvedbeni,56
direktivo,1884
preglednosti,1723
Priseljevanje,36
mesto,1061
priseljenk,15
Izterjava,1
Mladi,187
akciji,80
Akcijski,118
vseživljenjskega,227
učenja,323
državljane,3064
Omejitve,43
trženju,54
perfluorooktan,1
sulfonatov,1
Vzpostavitev,182
Politkovskaïe,1
Rak,18
dojk,25
splošnega,771
Ribiške,8
registrirane,25
najbolj,4436
oddaljenih,382
regijah,1277
Pridnestrje,5
Gruzija,226
Južna,136
Osetija,21
Izvoz,31
strupenih,79
Kazenskopravno,3
sredozemski,93
konferenco,477
podnebnih,2475
spremembah,1290
Nairobiju,16
Celostni,6
akcijski,702
Pasamos,1
Para,1
detalles,1
véase,1
Acta,4
Tibet,109
Sojenje,4
Riosu,1
Monttu,1
16h25,1
vprašanja,8474
odgovor,2858
predložitev,261
sheme,195
neposrednih,399
skupne,3717
uvedba,587
shem,71
podpori,871
kmetijskega,345
EKSRP,29
Kanada,255
visokošolskega,64
izobraževanja,1554
mladine,77
ZDA,2464
visokem,38
šolstvu,16
izobraževanju,389
usposabljanju,225
zaposlene,289
družinske,183
člane,233
gibljejo,57
tujih,399
neprisotnih,9
vrst,861
ribogojstvu,49
Konvencije,284
dostopu,468
informacij,3384
udeležbi,132
javnosti,1381
odločanju,197
okoljskih,914
imenu,9288
davka,636
vrednost,1537
trošarine,49
potujejo,306
Tretji,155
Sklad,157
zaščitno,43
zgradbo,38
Černobilu,45
Podpora,158
Gabriela,9
Albertinija,67
Onestaja,1
Ukrepi,297
Merilne,2
naprave,245
vsebujejo,436
Vodenje,19
interrompons,1
place,2
solennelle,1
morsko,95
Hipotekarni,1
krediti,50
15h10,1
splošnih,452
preferencialov,189
Storitve,34
notranjem,707
prepovedi,826
biloškega,1
orožja,1040
BTWC,1
kasetnih,51
bomb,73
konvencionalnega,22
Baltik,17
dimenzije,64
Ženske,313
Etiopija,13
Bangladeš,56
Iran,541
0h25,1
Farmacevtske,5
učinkovine,4
Uskladitev,41
tehničnih,553
upravnih,572
civilnega,320
letalstva,269
Tehnične,11
zahteve,2497
Republiko,313
Zelenortski,10
Jamstvo,9
investicijski,113
banki,194
Prehodna,9
določba,248
jezikovni,47
ureditvi,367
udeležbo,445
Sedmega,24
okvirnega,459
razširjanje,84
rezultatov,1013
raziskav,1348
Dajanje,26
pirotehničnih,1
izdelkov,1452
integrirane,43
statistike,216
ESAE,3
Človeški,7
Sedmi,51
okvirni,480
RTRPD,5
Zamisli,13
Zmogljivosti,14
ga,22404
bo,69418
pomočjo,1456
ukrepov,5487
izvajalo,133
Skupno,120
raziskovalno,85
središče,341
jedrske,1003
raziskave,2804
Območje,40
svobode,2171
višjo,207
podjetništvo,153
m,36
Zakonodajni,52
delovni,791
Vrh,144
unija,9067
romunskega,45
Računskega,305
sodišča,1319
Podrobnosti,14
Republike,336
Islandije,127
Kraljevine,22
agenciji,165
operativno,140
Preprečevanje,76
Statistični,59
mladoletnikov,186
človeškega,214
dostojanstva,371
zvezi,22866
konkurenčnostjo,103
avdiovizualne,36
industrije,1715
spletnih,360
informacijskih,205
Brezpapirno,2
trgovino,1683
Raziskave,114
strukturi,166
gospodarstev,558
uradi,59
premoženjske,29
koristi,2642
podzemne,22
poslabšanjem,11
Carinski,21
zakonik,88
Trženje,15
krmnih,18
mešanic,17
Struktura,24
podružnic,24
industrializiranimi,49
ozemlji,57
visokim,166
dohodkom,54
reprenons,1
nevarnih,400
snoveh,62
bolgarščine,2
romunščine,5
jezike,147
stopnje,1213
medkulturnega,179
Homologacija,7
emisije,1105
dostop,3520
popravilo,58
Obdobje,25
ureditve,950
radijskega,36
televizijskega,30
oddajanja,20
določene,1274
elektronsko,165
opravljene,83
Kolektivni,5
naložbeni,41
podjemi,5
vlaganja,445
prenosljive,27
vrednostne,153
papirje,157
kakor,1694
spremenil,343
oddelki,71
Postopek,135
predhodni,183
pregled,1597
posvetovanje,360
nekaterimi,553
Odprava,115
cestni,174
vodnih,155
zaupnih,42
statističnih,372
ulovu,76
severovzhodnem,9
Atlantiku,101
Merila,29
živalskih,108
bolezni,1709
Paragvaj,4
Raziskovalne,4
razvojne,884
inteligentnih,128
proizvodnih,316
Norveška,85
Japonska,251
Združene,1150
sladkorja,150
ustanovitev,703
začasne,206
prestrukturiranje,280
širitve,556
pravosodje,703
begunce,336
Uvajanje,9
zahtev,1240
dvojnem,10
trupu,3
enakovrednih,56
konstrukcijskih,2
tankerje,8
enojnim,11
vključevanje,1061
državljanov,6243
Številčna,1
Vozniška,1
dovoljenjenja,1
prenovitev,170
odbori,239
kvestorji,5
Temeljne,42
državljanstvo,209
Kazensko,7
kriminala,348
boj,3978
njemu,218
druge,5484
generacije,553
Schengenskega,31
informacijskega,196
2424,1
Sklepa,76
Vizumi,4
prehod,509
meja,1572
pravosodnega,190
kazenskih,301
punto,1
siguiente,1
otokih,94
Fidži,26
Vpletenost,3
mirovnih,131
primere,811
spolnih,277
zlorab,223
Liberiji,13
Haitiju,347
Mjanmar,21
Burma,75
Haaška,7
konvencija,245
vrednostnih,101
papirjih,6
16h35,1
Vprašanja,224
Izvolitev,19
podpredsednikov,20
kandidatur,6
kvestorjev,5
sprememb,5299
attente,1
midi,1
Preiskovalni,4
podaljšanje,396
mandata,718
Cotonouja,169
Izdajanje,3
spričeval,28
vlakovno,2
osebje,372
upravlja,170
lokomotive,11
vlake,42
Veljavno,6
nepogodbene,3
obveznosti,2400
RIM,2
Sedmo,2
osmo,4
letno,737
izvozu,97
Imenovanja,7
predlog,9263
predsednikov,489
premikanjem,3
prtljage,38
prednjega,2
vidnega,27
polja,50
voznika,37
motornega,13
znanstvenem,104
tehnološkem,95
trajnosti,404
Gabonsko,1
okrepljeno,244
pacifiškimi,80
Statut,25
zasebni,365
lasti,228
beendet,3
Naloga,133
dodeljena,270
poslancu,207
klasifikaciji,7
neobdelanega,1
lesaKlasifikacija,1
Recikliranje,14
Vloga,235
družbenem,88
gospodarskem,1428
političnem,531
življenju,764
Turčiji,584
Das,2
Protokoll,2
mezzanotte,1
Makrofinančna,20
Ohranitev,35
izrazito,128
selivskih,4
Viseče,1
vseevropskem,19
prometnem,91
omrežju,95
radijskem,7
spektru,35
jour,1
appelle,1
Glasovalne,1
delničarjev,58
Proračunska,32
državam,4440
Nezakonit,18
ribolov,456
Strateški,33
dokumenti,253
Malezija,38
Brazilja,1
poenostavitvi,309
izdajanja,170
vizumov,974
kratkoročno,335
bivanje,204
Rusko,96
federacijo,90
ponovnem,367
sprejemu,304
Letno,83
Razprava,1173
kitajsko,121
vlado,1340
odposlanci,19
Lame,26
naslednjih,1669
Število,205
številčna,4
erkläre,1
Sitzungsperiode,1
Parlaments,1
intervencij,27
usmerjevalnega,7
jamstvenega,22
Konzumno,1
proizvedeno,65
Estoniji,92
Preudarna,1
presoja,83
prevzemov,7
povečanje,2464
poslovnih,396
deležev,30
Družbena,23
odgovornost,3225
Kolektivno,6
čezmejno,345
avtorskih,198
zakonite,196
internetne,66
glasbene,20
terminée,1
διακόπτεται,1
pridobljenega,29
starega,83
največ,754
dvanajst,67
mesecev,1171
Ratifikacija,30
pomorstvu,21
leta,13427
organizacije,2292
Socialne,35
pomena,4297
