word,count
ä,5236788
ö,4393192
å,3796500
é,39062
á,5466
ü,3611
í,3345
è,3232
ó,2819
š,1206
ç,1075
ú,943
č,650
ñ,565
à,550
ã,500
ł,473
ê,369
ń,369
ï,357
ò,326
ă,317
ß,315
ø,305
ő,290
ş,266
æ,255
ć,184
ė,182
ë,179
ţ,151
ž,134
ľ,101
ô,94
º,93
ę,92
ř,86
ý,83
ň,75
ğ,74
â,72
ż,72
ū,71
ś,63
ε,55
ī,52
α,46
ι,46
_,37
ν,23
а,21
õ,20
ρ,20
ź,19
ì,17
σ,16
ο,16
ą,14
β,14
ģ,13
ě,13
τ,13
κ,13
ʼ,12
т,12
²,11
η,10
đ,10
δ,9
ı,9
ς,9
μ,9
υ,9
с,8
ť,8
ί,8
π,8
ā,7
ή,7
χ,6
ǎ,6
λ,6
ð,6
έ,6
м,4
ά,4
ē,4
œ,4
ŭ,3
γ,3
ό,3
ņ,3
у,3
ї,2
ů,2
ώ,2
ύ,2
¾,2
є,2
ļ,1
ĉ,1
φ,1
ŵ,1
ζ,1
ō,1
